batch,line,ident,type,detail
pilot,36,105838,exact_group_recomputed,ex_2e9d1584->ex_314bc8f65da47d99
pilot,37,103997,exact_group_recomputed,ex_fb9379ad->ex_2b3357f9bfef72d6
pilot,38,102815,exact_group_recomputed,ex_bad1a506->ex_8808303bacc7d238
pilot,39,101183,exact_group_recomputed,ex_c83d8613->ex_3f9b116e26862a83
pilot,40,105259,exact_group_recomputed,ex_25107d95->ex_d7997bf100314830
pilot,41,100903,exact_group_recomputed,ex_1ceb57ba->ex_3e69778cb0fc1336
pilot,42,102021,exact_group_recomputed,ex_ea207c02->ex_dc7c681f59e8849e
pilot,43,100082,exact_group_recomputed,ex_016844d1->ex_9517e3278d4ffe3d
pilot,44,103944,exact_group_recomputed,ex_ab23c591->ex_5f4e0af7df380676
pilot,45,102766,exact_group_recomputed,ex_f2097d85->ex_be5321eb20933003
pilot,46,101308,exact_group_recomputed,ex_816a7fd2->ex_9af35961c1b67cc9
pilot,47,103559,exact_group_recomputed,ex_fb961cd4->ex_f43bb1c6d8a2b658
pilot,48,101187,exact_group_recomputed,ex_711087b3->ex_77f9b59b5879267b
pilot,49,100919,exact_group_recomputed,ex_514b55cf->ex_a98436ec8be15774
pilot,50,102201,exact_group_recomputed,ex_ff7b9c21->ex_6170cd7324071eee
pilot,51,102979,exact_group_recomputed,ex_efd285b1->ex_ed97619b62fd7973
pilot,52,106164,exact_group_recomputed,ex_9e63f91d->ex_533dc49c10212c60
pilot,53,104639,exact_group_recomputed,ex_1ce39b7c->ex_6ee1405aa572fa7f
pilot,54,100036,exact_group_recomputed,ex_e65b1e04->ex_3bd06a1f13119936
pilot,55,105436,exact_group_recomputed,ex_c689a3d1->ex_a0e5d78131517669
pilot,56,103889,exact_group_recomputed,ex_cd71c6a8->ex_5ba9c424e1f70fb0
pilot,57,104645,exact_group_recomputed,ex_d2298f28->ex_34a201c9c3a8f625
pilot,58,103365,exact_group_recomputed,ex_5b2adcb6->ex_fe9e920c13d1aa7c
pilot,59,100025,exact_group_recomputed,ex_60c87419->ex_92decfcec59e1bde
pilot,60,104961,exact_group_recomputed,ex_8900c457->ex_c053332d23f429a8
pilot,61,103452,exact_group_recomputed,ex_6e1e667c->ex_544ed8f2257115e1
pilot,62,101451,exact_group_recomputed,ex_9bb7a93b->ex_1d0c32b9fb395ac7
pilot,63,105198,exact_group_recomputed,ex_6f3b4ae8->ex_7c425bf10de6311a
pilot,64,102717,exact_group_recomputed,ex_2b3f3c5f->ex_18db8f59c06f2e0e
pilot,65,102655,exact_group_recomputed,ex_8702c8a3->ex_afeb0569ec7bdbb1
pilot,66,104749,exact_group_recomputed,ex_63833c03->ex_cce523074ace3b02
pilot,67,102055,exact_group_recomputed,ex_7a8f0418->ex_b8d53d2ace688971
pilot,68,100914,exact_group_recomputed,ex_de8c94c1->ex_b5e474523de3205c
pilot,69,100681,exact_group_recomputed,ex_921a5515->ex_16c1a1a5bfcb1a42
pilot,70,105291,exact_group_recomputed,ex_48f09044->ex_b50a9f71202c9dbb
pilot,71,101103,exact_group_recomputed,ex_8b0438cc->ex_bd579532a3dfd1bb
pilot,72,101055,exact_group_recomputed,ex_8ecb7112->ex_b094fe7e75b52a79
pilot,73,104393,exact_group_recomputed,ex_eda315ac->ex_8932f1736da17031
pilot,74,103819,exact_group_recomputed,ex_db0a11ec->ex_7625ec5bf3e9fcfa
pilot,75,100995,exact_group_recomputed,ex_d1db28ef->ex_7f031c7f65d64536
pilot,76,103656,exact_group_recomputed,ex_9a25de16->ex_4439ef417c6a799e
pilot,77,101233,exact_group_recomputed,ex_e4e813df->ex_749f06c89529f5d1
pilot,78,104558,exact_group_recomputed,ex_d9d24958->ex_ff172c2cd910446b
pilot,79,102561,exact_group_recomputed,ex_cde8cd22->ex_df893ebb14b997cd
pilot,80,102412,exact_group_recomputed,ex_20439326->ex_a8dda05540f94c9b
pilot,81,104868,exact_group_recomputed,ex_48eaadce->ex_90f33c4df047d267
pilot,82,104526,exact_group_recomputed,ex_0b7438d1->ex_41fc42afb8103617
pilot,83,101623,exact_group_recomputed,ex_df9b3cb1->ex_dc8a4b1496adffa4
pilot,84,101422,exact_group_recomputed,ex_c3d8c394->ex_4ca969e6d66a247d
pilot,85,105585,exact_group_recomputed,ex_bce19b62->ex_848cf7e1b20bf656
pilot,86,100771,exact_group_recomputed,ex_52535572->ex_73bb807b6410c7a8
pilot,87,100525,exact_group_recomputed,ex_df0bceac->ex_7883ab727028d517
pilot,88,100453,exact_group_recomputed,ex_f08a7dda->ex_50e0091ce789826a
pilot,89,104028,exact_group_recomputed,ex_a1f7b241->ex_425e30f3306e8d4a
pilot,90,100822,exact_group_recomputed,ex_fd1dca03->ex_e2eb1dd4399862a4
pilot,91,104035,exact_group_recomputed,ex_ce668b28->ex_72963a9f19e78ef2
pilot,92,100559,exact_group_recomputed,ex_fa417d29->ex_daaf8d4162e9403c
pilot,93,105567,exact_group_recomputed,ex_c73a5285->ex_2fd4029f2107d579
pilot,94,102787,exact_group_recomputed,ex_ccda96d4->ex_c1a83eddb643eb0f
pilot,95,102284,exact_group_recomputed,ex_f1459bcc->ex_59955f84397b36ad
pilot,96,102190,exact_group_recomputed,ex_9e1fa617->ex_b5b60c441b05153d
pilot,97,105787,exact_group_recomputed,ex_5e867549->ex_df1ec39a6e66dcb2
pilot,98,101139,exact_group_recomputed,ex_8a12e535->ex_4f69582f4b9c797e
pilot,99,100068,exact_group_recomputed,ex_df930568->ex_d453034fc80cba44
pilot,100,105284,exact_group_recomputed,ex_63390d6a->ex_03ade56c891f238b
pilot,101,102001,exact_group_recomputed,ex_2653c6fa->ex_bce7afe0eea7523a
pilot,102,102265,exact_group_recomputed,ex_dd3cdf7d->ex_0ba9d52f9ca5928c
pilot,103,104569,exact_group_recomputed,ex_8a3a9936->ex_d6b590d4ee6b674f
pilot,104,101000,exact_group_recomputed,ex_07f52c87->ex_20224184fb54db45
pilot,105,104846,exact_group_recomputed,ex_624a7154->ex_43637131239fcf87
pilot,106,105839,exact_group_recomputed,ex_85d98d25->ex_7341b6e44905e340
pilot,107,102000,exact_group_recomputed,ex_7a83b486->ex_c7f25f66c624cacd
pilot,108,100250,exact_group_recomputed,ex_1972d227->ex_a28676f83906bdbd
pilot,109,105854,exact_group_recomputed,ex_a9a1b1d8->ex_cac8b5afdf098aab
pilot,110,101891,exact_group_recomputed,ex_5bdff337->ex_12bc08b774564359
pilot,111,104433,exact_group_recomputed,ex_bad823ab->ex_6954b469d74a716f
pilot,112,104128,exact_group_recomputed,ex_f8b5e841->ex_035d82f180ea2172
pilot,113,105282,exact_group_recomputed,ex_282e38f7->ex_f014f2746994bb65
pilot,114,100555,exact_group_recomputed,ex_01b49d3c->ex_5059ba19a2916ece
pilot,115,104432,exact_group_recomputed,ex_df447917->ex_f97354925c54700a
pilot,116,100519,exact_group_recomputed,ex_032814d0->ex_7661c001039e1602
pilot,117,104582,exact_group_recomputed,ex_70210611->ex_d9538f02b7bb7532
pilot,118,101002,exact_group_recomputed,ex_25c70d1e->ex_7e624f25c83dc47c
pilot,119,101060,exact_group_recomputed,ex_d5b866a6->ex_1a0b2f6a4ea9be85
pilot,120,100089,exact_group_recomputed,ex_27c4351e->ex_6515560723b9da32
pilot,121,102749,exact_group_recomputed,ex_6102a3b9->ex_9e29565110e06351
pilot,122,105887,exact_group_recomputed,ex_0f0f3321->ex_1d7d9edb2f77b7a9
pilot,123,100879,exact_group_recomputed,ex_68d943a8->ex_3e19c00692e0b67a
pilot,124,103098,exact_group_recomputed,ex_9d5201c1->ex_bab1b38855f3b364
pilot,125,106135,exact_group_recomputed,ex_d9a32b8f->ex_19a638a09a80b564
pilot,126,100659,exact_group_recomputed,ex_974529be->ex_9f716135fcc5bd7a
pilot,127,104116,exact_group_recomputed,ex_9654eff8->ex_18efb2d0d2520690
pilot,128,100316,exact_group_recomputed,ex_67d0e172->ex_86d861f3bbb87594
pilot,129,102386,exact_group_recomputed,ex_15c8167a->ex_fd33d9d1d45fa79f
pilot,130,105684,exact_group_recomputed,ex_90dad1bf->ex_48cb2b442eadb296
pilot,131,100113,exact_group_recomputed,ex_94951c38->ex_488f6fa13bdcb537
pilot,132,104780,exact_group_recomputed,ex_a237a66f->ex_b3e2645f3efb5e80
pilot,133,101632,exact_group_recomputed,ex_b283dec4->ex_206d30aad0f535af
pilot,134,105071,exact_group_recomputed,ex_5fa9a1f2->ex_ada2c7c076995dfc
pilot,135,102077,exact_group_recomputed,ex_2a82b006->ex_3a553d814449e573
pilot,136,101253,exact_group_recomputed,ex_7729df0d->ex_404e568f5ac57e39
pilot,137,100009,exact_group_recomputed,ex_c032ba55->ex_57215f0df1ef71bb
pilot,138,105271,exact_group_recomputed,ex_06fde452->ex_b10c5b24d858363a
pilot,139,103927,exact_group_recomputed,ex_082665b7->ex_0b1b7fd896d163f3
pilot,140,103235,exact_group_recomputed,ex_ff74db93->ex_6bdcf6e94bf1c39d
pilot,141,105454,exact_group_recomputed,ex_9cd071c8->ex_0eb89b7cf78de93f
pilot,142,105113,exact_group_recomputed,ex_f70a2c70->ex_0048a304179d7dff
pilot,143,103510,exact_group_recomputed,ex_df503c00->ex_5e4fc312a52710d0
pilot,144,103487,exact_group_recomputed,ex_8371fd59->ex_ff6c1a1aca376a62
pilot,145,105217,exact_group_recomputed,ex_e4c02f97->ex_85bcef2737f9cbd1
pilot,146,100522,exact_group_recomputed,ex_4f46c46d->ex_9a983e8a572d51be
pilot,147,105993,exact_group_recomputed,ex_eb84d106->ex_9d9ebabfd66256a5
pilot,148,105470,exact_group_recomputed,ex_a2efe5a0->ex_021c1622963d3bb4
pilot,149,100187,exact_group_recomputed,ex_a08b5890->ex_b5a466e9da7c6856
pilot,150,101938,exact_group_recomputed,ex_3a3f575c->ex_ea7e28b553e43920
pilot,151,103960,exact_group_recomputed,ex_b9f0af10->ex_dd106a93ed66a1b1
pilot,152,102486,exact_group_recomputed,ex_f1fb97f6->ex_b8b89a3fb597685d
pilot,153,101803,exact_group_recomputed,ex_89f45312->ex_278a54640378373a
pilot,154,104860,exact_group_recomputed,ex_c8108091->ex_1df2e8813a1ad8fb
pilot,155,100165,exact_group_recomputed,ex_15b683ac->ex_b63e6096519fe9cf
pilot,156,105600,exact_group_recomputed,ex_2978b298->ex_e7d38cbf87a86a85
pilot,157,100667,exact_group_recomputed,ex_10a57090->ex_7240a9b04ccd0574
pilot,158,102740,exact_group_recomputed,ex_a2cf117c->ex_7aa6c0f0be63f24f
pilot,159,100238,exact_group_recomputed,ex_73d97568->ex_8d92c445b65a347e
pilot,160,102871,exact_group_recomputed,ex_fb4e6514->ex_5cc9415a9315babe
pilot,161,100767,exact_group_recomputed,ex_9200986e->ex_9cce379110aa6d73
pilot,162,100032,exact_group_recomputed,ex_5682896e->ex_439ff53d64d0006e
pilot,163,100797,exact_group_recomputed,ex_21c68d2e->ex_f4f7059c8ff132e2
pilot,164,103634,exact_group_recomputed,ex_39686e0d->ex_ddcddad15d7875a8
pilot,165,104784,exact_group_recomputed,ex_e0e9fb5a->ex_6fd99a072665f798
pilot,166,104643,exact_group_recomputed,ex_cdf89b88->ex_65632b1d68b3a8f7
pilot,167,100269,exact_group_recomputed,ex_b4bd46b8->ex_bfb4f72e946bf446
pilot,168,102222,exact_group_recomputed,ex_414b0278->ex_f29d74654d906e76
pilot,169,102775,exact_group_recomputed,ex_70a72516->ex_41caa96fa10f27e2
pilot,170,101032,exact_group_recomputed,ex_7960149c->ex_7b0bc97ea172bf01
pilot,171,105965,exact_group_recomputed,ex_66fbda78->ex_d7a1974981b11281
pilot,172,103620,exact_group_recomputed,ex_e8f2b646->ex_4318500864edca72
pilot,173,100296,exact_group_recomputed,ex_a5a21f35->ex_4efd62642c5140f6
pilot,174,104342,exact_group_recomputed,ex_e20fd729->ex_4d05948a9267380a
pilot,175,102356,exact_group_recomputed,ex_fa33b874->ex_1e6012f6d3110b3c
pilot,176,101759,exact_group_recomputed,ex_2a0000c2->ex_2d6bcebfd0b791cf
pilot,177,100358,exact_group_recomputed,ex_c2f92b03->ex_66f80a787fa4dd54
pilot,178,100159,exact_group_recomputed,ex_33bcca4a->ex_295022554d06d84e
pilot,179,103156,exact_group_recomputed,ex_71bbbd56->ex_b618da12cbafaec0
pilot,180,103580,exact_group_recomputed,ex_ccba6595->ex_db299ee7f8889da2
pilot,181,102592,exact_group_recomputed,ex_9b9a3551->ex_4a54987705fbfeb2
pilot,182,103354,exact_group_recomputed,ex_9262e0d6->ex_057d3c14a03ff3b2
pilot,183,104440,exact_group_recomputed,ex_82124c27->ex_672c7eeb2b1f5796
pilot,184,106126,exact_group_recomputed,ex_c9c892aa->ex_cb2e1c7feece6004
pilot,185,100634,exact_group_recomputed,ex_1f849759->ex_bad4d03b6e914e2c
pilot,186,103516,exact_group_recomputed,ex_4713f94f->ex_cca257af770ca8fb
pilot,187,106014,exact_group_recomputed,ex_3543fe30->ex_590cfd782208838d
pilot,188,104019,exact_group_recomputed,ex_52402b0c->ex_36cb0303534d2882
pilot,189,103319,exact_group_recomputed,ex_43c6dfcb->ex_fd8a96147ff0a8ff
pilot,190,101560,exact_group_recomputed,ex_12cce632->ex_d8020348d456df31
pilot,191,103954,exact_group_recomputed,ex_dc550388->ex_b0e1255b21352f2a
pilot,192,103519,exact_group_recomputed,ex_6e9d8896->ex_ae3a72c6f724eb05
pilot,193,103550,exact_group_recomputed,ex_e59fc23d->ex_5553cf58df8d2402
pilot,194,101787,exact_group_recomputed,ex_418bfe97->ex_9130ba4779b5c8e8
pilot,195,101814,exact_group_recomputed,ex_17a20639->ex_ff698ffa9f424ef2
pilot,196,106012,exact_group_recomputed,ex_f73ec216->ex_38489f60973110c4
pilot,197,100176,exact_group_recomputed,ex_651732ac->ex_51421883966f3a14
pilot,198,105432,exact_group_recomputed,ex_4a7e82df->ex_b77d619c7eaba0f0
pilot,199,105926,exact_group_recomputed,ex_9094528f->ex_043aa738c9d347b8
pilot,200,104969,exact_group_recomputed,ex_9b177aa8->ex_e584239b2fb480d3
pilot,201,105014,exact_group_recomputed,ex_3c2fc02e->ex_805dc51ced3b0e2f
pilot,202,105894,exact_group_recomputed,ex_c2f1c86b->ex_774248fa52ed5b4b
pilot,203,100338,exact_group_recomputed,ex_a6b79891->ex_d5061a2b9b976d08
pilot,204,104527,exact_group_recomputed,ex_adc69e91->ex_2c929242c57886e4
pilot,205,105040,exact_group_recomputed,ex_4a44e442->ex_1f06841a603c6edf
pilot,206,104152,exact_group_recomputed,ex_dacd5809->ex_7d5ae9fa1f093705
pilot,207,103211,exact_group_recomputed,ex_1e1f4942->ex_937f210157755a80
pilot,208,101745,exact_group_recomputed,ex_29ddf527->ex_b2b64e14f885a2bd
pilot,209,104204,exact_group_recomputed,ex_d6fedb32->ex_160e3c9ac128576b
pilot,210,104673,exact_group_recomputed,ex_00e63267->ex_f44fba1c4ea13eae
pilot,211,104345,exact_group_recomputed,ex_ce1b50f6->ex_e27c3ee7b382e522
pilot,212,103492,exact_group_recomputed,ex_9bebfae9->ex_8bd2c889aa71a628
pilot,213,103242,exact_group_recomputed,ex_bc08789a->ex_7889631ee90a0459
pilot,214,104510,exact_group_recomputed,ex_c2922d78->ex_7c4943b7c98f4012
pilot,215,102969,exact_group_recomputed,ex_e63e5f23->ex_ea262fd7cd1b4d4a
pilot,216,101596,exact_group_recomputed,ex_2265be36->ex_d6e8843ec1873044
pilot,217,100963,exact_group_recomputed,ex_387dc7b1->ex_b735e7ec85497af9
pilot,218,100208,exact_group_recomputed,ex_4f82242e->ex_21ec3a270910e16e
pilot,219,103275,exact_group_recomputed,ex_289ba9d7->ex_ad8f1ce5d423947d
pilot,220,105544,exact_group_recomputed,ex_193aadc0->ex_2335d360ec125942
pilot,221,100952,exact_group_recomputed,ex_75a4f910->ex_d8e2021a4537637f
pilot,222,102376,exact_group_recomputed,ex_651efd1a->ex_dce27648bcbf2850
pilot,223,102319,exact_group_recomputed,ex_cf88dc4c->ex_082bbbcf34976ec8
pilot,224,100606,exact_group_recomputed,ex_e28fc485->ex_5d5d368a881cb0b1
pilot,225,100625,exact_group_recomputed,ex_3391894b->ex_c1e5298f36bbab21
pilot,226,105225,exact_group_recomputed,ex_685870ad->ex_45c481792da35def
pilot,227,102382,exact_group_recomputed,ex_aec94dc7->ex_22dd2ac34d7672aa
pilot,228,100661,exact_group_recomputed,ex_9deb355b->ex_cc50bc4f96ea608e
pilot,229,105789,exact_group_recomputed,ex_4ea36194->ex_5ac7b65d6b8a75a2
pilot,230,101790,exact_group_recomputed,ex_44d4afe5->ex_b91dae9669b237ed
pilot,231,103026,exact_group_recomputed,ex_867bba58->ex_d51357a962babefd
pilot,232,105846,exact_group_recomputed,ex_7451cd88->ex_927af520fdcad624
pilot,233,101947,exact_group_recomputed,ex_eb3cd782->ex_687ecdecc74095f1
pilot,234,102211,exact_group_recomputed,ex_1dc9e388->ex_1c62e94618904b5c
pilot,235,104761,exact_group_recomputed,ex_7c107388->ex_d3987b84c1b4eed1
pilot,236,100526,exact_group_recomputed,ex_1f49eaa7->ex_699f8782c3e513ed
pilot,237,100852,exact_group_recomputed,ex_ff919a56->ex_5fd1712186ce3b16
pilot,238,101654,exact_group_recomputed,ex_b3d92338->ex_55b92b09dc8fbd22
pilot,239,101385,exact_group_recomputed,ex_95cffd6a->ex_1ad4fcb1ce6fad18
pilot,240,101895,exact_group_recomputed,ex_92a84f1d->ex_9b4dffca3051af3c
pilot,241,100374,exact_group_recomputed,ex_782736f4->ex_ecbe3f6a746829bf
pilot,242,106090,exact_group_recomputed,ex_8eb7d309->ex_017ba1112d48c881
pilot,243,105629,exact_group_recomputed,ex_d8eb72e0->ex_ef0ffc85ddee949b
pilot,244,102941,exact_group_recomputed,ex_74b888e2->ex_6c28a21d52586a10
pilot,245,104779,exact_group_recomputed,ex_f9bd61bd->ex_751e4310d1e2948f
pilot,246,105365,exact_group_recomputed,ex_6cc59706->ex_50249764e4b9b03d
pilot,247,103737,exact_group_recomputed,ex_116af00b->ex_d42b6dde6e91f04c
pilot,248,100239,exact_group_recomputed,ex_0ffb7b1f->ex_4f9333a1af7373dc
pilot,249,100251,exact_group_recomputed,ex_a53b4223->ex_776f934737b904c5
pilot,250,100083,exact_group_recomputed,ex_c6b5b124->ex_afb563f3c1ad9cba
pilot,251,104896,exact_group_recomputed,ex_2e2cbd76->ex_333f509e5151597b
pilot,252,106047,exact_group_recomputed,ex_98b7a454->ex_abb9c98fef347b84
pilot,253,105984,exact_group_recomputed,ex_1bb3b504->ex_1384049d28782f7a
pilot,254,106025,exact_group_recomputed,ex_4e7f0242->ex_668115bb2779348c
pilot,255,105452,exact_group_recomputed,ex_bdbf91a5->ex_d15ef5bc065a1c4b
pilot,256,102989,exact_group_recomputed,ex_dca0d54e->ex_b09ef55c05454eaa
pilot,257,101857,exact_group_recomputed,ex_cbe7c56c->ex_ed041aa42059e8d0
pilot,258,103385,exact_group_recomputed,ex_f78a3c1e->ex_c2e765bad042d779
pilot,259,100866,exact_group_recomputed,ex_3ffb1d05->ex_536b1bf52695350c
pilot,260,103875,exact_group_recomputed,ex_36fa7c84->ex_e0c0f7a54e9e7c82
pilot,261,104238,exact_group_recomputed,ex_42248a5a->ex_1a2045e918fc008b
pilot,262,100261,exact_group_recomputed,ex_6f67b082->ex_b3cf4fa7cb04eb7a
pilot,263,100563,exact_group_recomputed,ex_49667803->ex_9f74148440925bc2
pilot,264,104478,exact_group_recomputed,ex_2810a2d5->ex_e7fbbc677bbf857a
pilot,265,103416,exact_group_recomputed,ex_61bfeb24->ex_60aab585237d8d29
pilot,266,101877,exact_group_recomputed,ex_44e55940->ex_3a084d36cc0b99d4
pilot,267,101616,exact_group_recomputed,ex_8198c0d3->ex_eb8b6a207673a0ec
pilot,268,101161,exact_group_recomputed,ex_c47430d7->ex_25bf57d5d13e7b2b
pilot,269,104712,exact_group_recomputed,ex_7e193ac8->ex_8854e8e6dbd896c1
pilot,270,101140,exact_group_recomputed,ex_9eb9827d->ex_3cf2ef87867ff46d
pilot,271,104193,exact_group_recomputed,ex_8fc19293->ex_a04f7d5513b83b77
pilot,272,104935,exact_group_recomputed,ex_a0c747f0->ex_4391be4dda11cf44
pilot,273,103809,exact_group_recomputed,ex_8534d5fb->ex_9ff638c03e8be3d7
pilot,274,106039,exact_group_recomputed,ex_038ac9fc->ex_253780b8b6f4dc78
pilot,275,100544,exact_group_recomputed,ex_50bab89c->ex_76c0f0525d89d9bb
pilot,276,104811,exact_group_recomputed,ex_d3eeb70a->ex_77c65af65ee7c12f
pilot,277,104635,exact_group_recomputed,ex_a8faadbb->ex_6f99af8d34d239be
pilot,278,103197,exact_group_recomputed,ex_05f66eae->ex_f340b7b5c1f583f5
pilot,279,100093,exact_group_recomputed,ex_a269d617->ex_41b8193a100359fe
pilot,280,102784,exact_group_recomputed,ex_cf071c7b->ex_a7d571003d328297
pilot,281,103884,exact_group_recomputed,ex_04d99d3f->ex_190ab40bc799dc06
pilot,282,104519,exact_group_recomputed,ex_f3c89c62->ex_0f054c352b496717
pilot,283,101890,exact_group_recomputed,ex_d65ba5a4->ex_0270cb5781765282
pilot,284,103995,exact_group_recomputed,ex_5f4a2ea8->ex_c78885e90e9df68b
pilot,285,103640,exact_group_recomputed,ex_f606d212->ex_bc63c3aafaa0c3e5
pilot,286,103127,exact_group_recomputed,ex_f33f4e0a->ex_328124e63557e731
pilot,287,102267,exact_group_recomputed,ex_2a222402->ex_9010515e03dfaae4
pilot,288,103587,exact_group_recomputed,ex_cd807b99->ex_d007dc01d14703fc
pilot,289,100152,exact_group_recomputed,ex_c83505b7->ex_d51b37b3a6357e54
pilot,290,105422,exact_group_recomputed,ex_29d1f0b2->ex_ab4c2b22a02c9442
pilot,291,103362,exact_group_recomputed,ex_0112d58d->ex_fee06fec52ea5acf
pilot,292,101332,exact_group_recomputed,ex_c829b5f7->ex_e33a560f8e06eed7
pilot,293,104560,exact_group_recomputed,ex_399f6669->ex_13600d51f44f128b
pilot,294,104272,exact_group_recomputed,ex_f5db5a0b->ex_3e42b7fbdb692a31
pilot,295,102646,exact_group_recomputed,ex_580d75e7->ex_b99ba9e5a0af7fcc
pilot,296,103685,exact_group_recomputed,ex_6242ca33->ex_2e119a3eb73ce02e
pilot,297,101871,exact_group_recomputed,ex_12902149->ex_9117279b754abf3b
pilot,298,101727,exact_group_recomputed,ex_e9776416->ex_89113b80e2dde30f
pilot,299,103380,exact_group_recomputed,ex_64e620f6->ex_1d7717595add2f42
pilot,300,104886,exact_group_recomputed,ex_dddf0aa4->ex_d8066d0297a52ce0
round1,1,105571,exact_group_recomputed,ex_2ecb818f->ex_0346cabe97260f99
round1,2,101487,exact_group_recomputed,ex_b8ff8653->ex_04d95fb235c18ccd
round1,3,102396,exact_group_recomputed,ex_c7c4c5a0->ex_fc3165ce53b97fc9
round1,4,101274,exact_group_recomputed,ex_fdfe12ce->ex_3c526178545c1cc7
round1,5,106059,exact_group_recomputed,ex_28645275->ex_9364e61375384e22
round1,6,104101,exact_group_recomputed,ex_391d1e6e->ex_803066fe8a1dd0f4
round1,7,104236,exact_group_recomputed,ex_e585df1c->ex_4e81bb5451dfbde1
round1,8,100367,exact_group_recomputed,ex_03fe53b8->ex_c46a74d12b2baa89
round1,9,100010,exact_group_recomputed,ex_a9ad84ad->ex_c34ae135dd656c96
round1,10,103306,exact_group_recomputed,ex_50c42e01->ex_f7dfc16f89aa5eb4
round1,11,101347,exact_group_recomputed,ex_bfd9b2bc->ex_7a438c2045dd6ca9
round1,12,101142,exact_group_recomputed,ex_74ccb7b0->ex_4bdd4dc0638d0c60
round1,13,102611,exact_group_recomputed,ex_59fa5227->ex_7ff7b4591fc3e8b8
round1,14,104624,exact_group_recomputed,ex_e0d6e2a4->ex_7fda5bdce4a7c745
round1,15,101962,exact_group_recomputed,ex_39f845cb->ex_9bf9e1aa0675c79f
round1,16,104180,exact_group_recomputed,ex_7866e704->ex_95c2d49f7938c40c
round1,17,104591,exact_group_recomputed,ex_ea114cab->ex_8e8e8185e07943a7
round1,18,105097,exact_group_recomputed,ex_020f22f4->ex_fe9dfbbb8fcf1d79
round1,19,101158,exact_group_recomputed,ex_b608c573->ex_ef9bb8fe99fd7d82
round1,20,100929,exact_group_recomputed,ex_1fa8f8c8->ex_106125507f51307b
round1,21,106033,exact_group_recomputed,ex_bf1ea575->ex_ddcdc836022adb56
round1,22,100584,exact_group_recomputed,ex_2bcfe7ac->ex_87d9b19c084c3c31
round1,23,105281,exact_group_recomputed,ex_13232065->ex_21d44f2dad115dfb
round1,24,100977,exact_group_recomputed,ex_9ee40b52->ex_15efd75aa7ebee67
