issue,action,item,kind,record_count
broken,replaced,tie rod,addresses,7
cracked,installed,like material,addresses,7
gouged,inspected,crankshaft,investigates,7
leaking,leak check,gasket,investigates,7
leaking,leak check,gaskets,investigates,7
loose,reattached,baffle seal,addresses,7
loose,replaced,rivets,addresses,7
loose,secured,seal,addresses,7
loose,tightened,bolt,addresses,7
low,operations,cylinder,investigates,7
missing,installed,new hardware,addresses,7
torn,replaced,baffle seal,addresses,7
worn,replaced,baffle plug,addresses,7
broken,replaced,spring,addresses,6
broken,replaced,standoff,addresses,6
crack,fabricated,patch,addresses,6
crack,stop drilled,baffling,addresses,6
cracked,repaired,baffle,addresses,6
failed,installed,cylinder,addresses,6
leaking,cleaned,,addresses,6
leaking,replaced,,addresses,6
leaking,replaced,induction tube gasket,addresses,6
loose,replaced,baffle seal,addresses,6
loose,replaced,rivet,addresses,6
loose,resecured,seal,addresses,6
loose,secured,pop rivets,addresses,6
low,staked,exhaust valve,addresses,6
missing,installed,baffle screw,addresses,6
missing,installed,washers,addresses,6
missing,reinstalled,screw,addresses,6
missing,replaced,plug,addresses,6
rough,ran,aircraft,investigates,6
roughness,to check,engine,investigates,6
worn,applied,rtv,addresses,6
worn,applied,seal,addresses,6
worn,installed,baffle seal,addresses,6
worn,installed,seal,addresses,6
worn,replaced,plug,addresses,6
broken,installed,baffle plug,addresses,5
broken,replaced,rod,addresses,5
crack,fabricated,like material,addresses,5
crack,stop drilled,cylinder,addresses,5
cracked,riveted,patch,addresses,5
failed,leak check,exhaust valve,investigates,5
failed,magneto check,engine,investigates,5
failed,magneto check,magneto,investigates,5
leaking,cleaned,engine,addresses,5
leaking,ran,aircraft,investigates,5
leaking,replaced,intake tube gasket,addresses,5
leaking,replaced,intakes,addresses,5
loose,installed,screws,addresses,5
loose,replaced,screws,addresses,5
loose,secured,baffle,addresses,5
loose,tightened,bolts,addresses,5
low,compression check,cylinder,investigates,5
low,leak check,aircraft,investigates,5
low,operations check,cylinder,investigates,5
missing,installed,baffle plug,addresses,5
missing,installed,nut,addresses,5
missing,installed,rivets,addresses,5
missing,installed,screws,addresses,5
ran rough,ran,aircraft,investigates,5
ran rough,ran up,aircraft,investigates,5
roughness,maintenance flight,,investigates,5
sheared,installed,screws,addresses,5
sheared,replaced,rivet,addresses,5
broken,installed,baffle plugs,addresses,4
broken,replaced,bracket,addresses,4
chafing,repositioned,baffle,addresses,4
crack,installed,patch,addresses,4
cracked,fabricated,bracket,addresses,4
cracked,fabricated,like materi,addresses,4
cracked,leak check,cylinder,investigates,4
cracked,patched,baffle,addresses,4
cracked,patched,like material,addresses,4
cracked,replaced,cylinder,addresses,4
cracked,riveted,baffle,addresses,4
cracked,riveted,like material,addresses,4
dirty,washed,engine,addresses,4
failed,installed,cht probe,addresses,4
failed,installed,intake tube,addresses,4
failed,installed,piston rings,addresses,4
failed,replaced,cylinder,addresses,4
galled,replaced,push rod,addresses,4
galled,replaced,rocker,addresses,4
leak,replaced,gasket,addresses,4
leak,replaced,intake gasket,addresses,4
leak,replaced,intake gaskets,addresses,4
leak,replaced,rocker cover gaskets,addresses,4
leaking,cleaned,bolt,addresses,4
leaking,cleaned,gaskets,addresses,4
leaking,cleaned,rocker cover gaskets,addresses,4
leaking,installed,,addresses,4
leaking,leak check,intake,investigates,4
leaking,leak check,rocker cover gasket,investigates,4
leaking,ran,engine,investigates,4
leaking,replaced,intake,addresses,4
leaking,replaced,valve cover gaskets,addresses,4
leaking,torqued,bolts,addresses,4
leaks,cleaned,,addresses,4
loose,installed,rivet,addresses,4
loose,reattached,baffle,addresses,4
loose,replaced,baffle screw,addresses,4
loose,replaced,screw,addresses,4
loose,resecured,baffle,addresses,4
loose,resecured,engine,addresses,4
loose,tightened,oil filler tube,addresses,4
low,installed,cylinder assembly,addresses,4
low,ran,engine,investigates,4
low,ran up,aircraft,investigates,4
low,replaced,cylinder,addresses,4
missing,installed,,addresses,4
missing,replaced,bolt,addresses,4
no compression,leak check,cylinder,investigates,4
overspeed,reviewed,fdm data,investigates,4
running rough,ran,aircraft,investigates,4
sheared,reinstalled,baffle,addresses,4
torn,secured,baffle seal,addresses,4
vibration,test flight,,investigates,4
worn,applied,baffle seal,addresses,4
worn,applied,black seal,addresses,4
worn,installed,black rtv,addresses,4
worn,installed,black seal,addresses,4
worn,installed,patch,addresses,4
worn,installed,plugs,addresses,4
bad,installed,baffle plugs,addresses,3
broken,fabricated,bracket,addresses,3
broken,installed,baffle tie,addresses,3
broken,installed,engine,addresses,3
broken,replaced,,addresses,3
broken,replaced,baffle,addresses,3
broken,replaced,clamp,addresses,3
broken,replaced,connecting rod,addresses,3
broken,replaced,cylinder,addresses,3
broken,replaced,plug,addresses,3
crack,installed,baffle,addresses,3
crack,stop drilled,doubler plate,addresses,3
crack,stop drilled,oil cooler,addresses,3
cracked,fabricated,patches,addresses,3
cracked,inspected,baffle,investigates,3
cracked,installed,,addresses,3
cracked,riveted,,addresses,3
cracked,stop drilled,,addresses,3
cracks,stop drilled,baffle,addresses,3
dirty,cleaned,valves,addresses,3
failed,clearance check,cylinder,investigates,3
failed,leak check,cylinder,investigates,3
leak,ran,aircraft,investigates,3
leak,sealed,bolt,addresses,3
leaking,installed,induction tube gaskets,addresses,3
leaking,leak check,intake tube,investigates,3
leaking,leak check,rocker gaskets,investigates,3
leaking,replaced,intake tube,addresses,3
leaking,replaced,push rod seals,addresses,3
leaking,replaced,silicone gaskets,addresses,3
leaking,sealed,bolt,addresses,3
leaking,tightened,screws,addresses,3
leaks,cleaned,gasket,addresses,3
leaks,cleaned,rocker cover gaskets,addresses,3
leaks,installed,gasket,addresses,3
leaks,replaced,rocker cover gaskets,addresses,3
loose,reinstalled,baffle,addresses,3
loose,replaced,baffle plugs,addresses,3
loose,resecured,screw,addresses,3
loose,riveted,baffle,addresses,3
loose,riveted,baffle seal,addresses,3
loose,secured,rivet,addresses,3
loose,tightened,b nuts,addresses,3
loose,tightened,baffle screw,addresses,3
loose,tightened,covers,addresses,3
loose,tightened,rocker cover screws,addresses,3
low,adjusted,,addresses,3
low,compression test,cylinder,investigates,3
low,installed,cylinder,addresses,3
low,installed,piston,addresses,3
low,operations,,investigates,3
low,operations,aircraft,investigates,3
low,replaced,exhaust valve,addresses,3
low,staked,valve,addresses,3
low,staked,valves,addresses,3
missing,installed,rocker cover,addresses,3
missing,installed,washer,addresses,3
missing,replaced,baffle plugs,addresses,3
missing,replaced,plugs,addresses,3
missing,replaced,rivets,addresses,3
missing,replaced,screws,addresses,3
overspeed,check,,investigates,3
quit,ran up,aircraft,investigates,3
ran rough,ground run,engine,investigates,3
roughness,ground run,engine,investigates,3
run rough,ran,engine,investigates,3
running very rough,ran,engine,investigates,3
scored,replaced,push rod,addresses,3
scored,replaced,rocker,addresses,3
shaking,ran,engine,investigates,3
sheared,reinstalled,,addresses,3
sheared,replaced,,addresses,3
sheared,replaced,screws,addresses,3
shutdown,adjusted,engine,addresses,3
torn,replaced,seal,addresses,3
vibration,ran,engine,investigates,3
won ' t start,attempted to start,aircraft,investigates,3
worn,installed,air intake,addresses,3
worn,installed,baffle plug,addresses,3
worn,installed,plug,addresses,3
worn,secured,seal,addresses,3
backfired,ground run,engine,investigates,2
bad,installed,baffle plug,addresses,2
bad,replaced,baffle plugs,addresses,2
bent,straightened,baffle,addresses,2
broken,fabricated,like material,addresses,2
broken,installed,like material,addresses,2
broken,replaced,anchor assembly,addresses,2
broken,replaced,anchor standby assembly,addresses,2
broken,replaced,baffle rod,addresses,2
broken,replaced,plugs,addresses,2
broken,replaced,rivets,addresses,2
broken,replaced,rocker cover gaskets,addresses,2
burnt,inspected,cylinder,investigates,2
chafing,applied,silicone,addresses,2
chafing,fabricated,baffle,addresses,2
chafing,inspected,oil cooler line,investigates,2
chafing,installed,,addresses,2
chafing,installed,baffle,addresses,2
chafing,installed,chafe wrap,addresses,2
chafing,repositioned,line,addresses,2
crack,inspected,baffle,investigates,2
crack,installed,doubler plate,addresses,2
crack,stop drilled,baffle corner,addresses,2
crack,stop drilled,cooling baffle,addresses,2
crack,stop drilled,engine baffling,addresses,2
crack,stop drilled,oil cooler flange,addresses,2
crack,stop drilled,outer baffling,addresses,2
crack,stop drilled,patch,addresses,2
cracked,fabricated,like mater,addresses,2
cracked,further inspection,baffle,investigates,2
cracked,installed,bracket,addresses,2
cracked,leak check,aircraft,investigates,2
cracked,leak check,baffle,investigates,2
cracked,operations,cylinder,investigates,2
cracked,repaired,baffling,addresses,2
cracked,repaired,patch,addresses,2
cracked,replaced,,addresses,2
cracked,stop drilled,baffle patch,addresses,2
cracked,stop drilled,oil cooler,addresses,2
cracked,stop drilled,outer baffling,addresses,2
damaged,installed,baffle plugs,addresses,2
damaged,installed,plug,addresses,2
died,ran,aircraft,investigates,2
died,started,aircraft,investigates,2
dirty,cleaned,engine,addresses,2
dirty,cleaned,oil cooler,addresses,2
dirty,cleaned,oil coolers,addresses,2
does not run,ran,aircraft,investigates,2
enlarged,installed,patch,addresses,2
failed,changed,cylinder,investigates,2
failed,completed reassembly,cylinder,addresses,2
failed,installed,injector line,addresses,2
failed,installed,intercylinder baffling,addresses,2
failed,installed,wiring,addresses,2
failed,reassembled,cylinder,addresses,2
failed,torqued,cylinder base,addresses,2
fails,ran,aircraft,investigates,2
high,ran,aircraft,investigates,2
leak,cleaned,,addresses,2
leak,inspected,intake,investigates,2
leak,leak check,engine,investigates,2
leak,maintenance flight,,investigates,2
leak,torqued,bolt,addresses,2
leaking,applied,bolt,addresses,2
leaking,applied,sealant,addresses,2
leaking,cleaned,bolts,addresses,2
leaking,cleaned,cylinder,addresses,2
leaking,cleaned,intake,addresses,2
leaking,cleaned,intake gasket,addresses,2
leaking,cleaned,intake tube,addresses,2
leaking,cleaned,mating surfaces,addresses,2
leaking,cleaned,silicone gaskets,addresses,2
leaking,inspected,intake,investigates,2
leaking,install,,investigates,2
leaking,installed,bolt,addresses,2
leaking,installed,cylinder,addresses,2
leaking,installed,cylinder assembly,addresses,2
leaking,installed,rocker cover gaskets,addresses,2
leaking,leak check,engine,investigates,2
leaking,leak check,rocker cover,investigates,2
leaking,leak check,rocker gasket,investigates,2
leaking,operations,engine,investigates,2
leaking,ran up,engine,investigates,2
leaking,replace,,addresses,2
leaking,replaced,cylinder assembly,addresses,2
leaking,replaced,exhaust push rod,addresses,2
leaking,replaced,inner,addresses,2
leaking,replaced,push rod tube seals,addresses,2
leaking,replaced,rocker cover gask,addresses,2
leaking,replaced,seal,addresses,2
leaking,replaced,seals,addresses,2
leaking,resealed,bolt,addresses,2
leaking,reswaged,tube,addresses,2
leaking,reswedged,intake tube,addresses,2
leaking,run up,engine,investigates,2
leaking,tightened,bolts,addresses,2
leaking,tightened,hose clamps,addresses,2
leaking,tightened,oil return line,addresses,2
leaking,torqued,,addresses,2
leaks,cleaned,intake gasket,addresses,2
leaks,replaced,seal,addresses,2
loose,drilled,baffle,addresses,2
loose,drilled,rivet,addresses,2
loose,inspected,intake tube,investigates,2
loose,installed,baffle tab,addresses,2
loose,installed,hardware,addresses,2
loose,installed,nuts,addresses,2
loose,installed,rivets,addresses,2
loose,installed,screw,addresses,2
loose,installed,tie wire,addresses,2
loose,recrimped,staples,addresses,2
loose,replaced,seal,addresses,2
loose,replaced,washer,addresses,2
loose,resafetied,oil filler tube,addresses,2
loose,rescured,baffle seal,addresses,2
loose,resecured,baffle material,addresses,2
loose,resecured,baffle seals,addresses,2
loose,secured,,addresses,2
loose,secured,baffle seals,addresses,2
loose,tightened,baffle,addresses,2
loose,tightened,clamp,addresses,2
loose,tightened,dipstick tube,addresses,2
loose,tightened,drain line,addresses,2
loose,tightened,fitting,addresses,2
loose,tightened,hardware,addresses,2
loose,tightened,nuts,addresses,2
loose,tightened,oil return line,addresses,2
loose,tightened,tie rod,addresses,2
loose,tightened down,screws,addresses,2
low,adjusted,aircraft,addresses,2
low,borescoped,cylinder,investigates,2
low,borescoped,exhaust valve,investigates,2
low,compression check,engine,investigates,2
low,finished installing,cylinder,addresses,2
low,ground,intake valve,addresses,2
low,inspected,cylinder,investigates,2
low,installed,baffles,addresses,2
low,installed,necessary parts,addresses,2
low,lapped,intake valve,addresses,2
low,leak check,,investigates,2
low,leak check,engine,investigates,2
low,operations check,,investigates,2
low,operations check,engine,investigates,2
low,rechecked,cylinder,investigates,2
low,run up,cylinder,investigates,2
low,run up,engine,investigates,2
low,serviced,mineral oil,investigates,2
low,staked,exhaust valve,investigates,2
low,staked,intake valve,addresses,2
low,started installation,,addresses,2
missing,installed,baffle plug doubler,addresses,2
missing,installed,baffle plugs,addresses,2
missing,installed,bolts,addresses,2
missing,installed,bracket,addresses,2
missing,installed,grommet,addresses,2
missing,installed,lock washer,addresses,2
missing,installed,plugs,addresses,2
missing,reinstalled,baffle,addresses,2
missing,reinstalled,baffle screw,addresses,2
missing,replaced,baffle screw,addresses,2
missing,replaced,hardware,addresses,2
missing,replaced,nut,addresses,2
missing,replaced,rivet,addresses,2
no compression,operations,cylinder,investigates,2
no compression,ran,aircraft,investigates,2
no egt,ran,engine,investigates,2
no tem,magneto check,engine,investigates,2
no tem,magneto check,magneto,investigates,2
normally,started,aircraft,investigates,2
not hitting,adjusted,mixture control,addresses,2
oil leak,leak check,,investigates,2
overspeed,determined,,investigates,2
overspeed,downloaded,data,investigates,2
overspeed,inspected,engine,investigates,2
overspeed,overspeed inspection,valve train,investigates,2
overspeed,researched,fdm card data,investigates,2
pulled through,drilled,hole,addresses,2
pulled through,installed,pop rivet,addresses,2
pulled through,installed,rivet,addresses,2
pulled through,replaced,baffle,addresses,2
quit,adjusted,engine,addresses,2
ran rough,leak check,aircraft,investigates,2
ran rough,leak check,engine,investigates,2
ran rough,operations check,engine,investigates,2
ran rough,operations checked,engine,investigates,2
ran rough,ran,engine,investigates,2
ran rough,ran up,engine,investigates,2
ran very rough,ran,aircraft,investigates,2
rough,inspected,cylinder,investigates,2
rough running,reamed,exhaust,addresses,2
rough running,replaced,cylinder,addresses,2
roughness,adjusted,engine,addresses,2
roughness,ran,aircraft,investigates,2
roughness,run up,engine,investigates,2
rpm dropped,leak check,engine,investigates,2
rpm dropped,operations,engine,investigates,2
running extremely rough,ran,aircraft,investigates,2
running very rough,ran,aircraft,investigates,2
runs rough,hand spun,propeller,investigates,2
runs rough,verified,engine,investigates,2
seeping,installed,fresh gasket,addresses,2
shaking,ran,aircraft,investigates,2
sheared,drilled out,rivets,addresses,2
sheared,installed,,addresses,2
sheared,installed,nuts,addresses,2
sheared,replaced,washers,addresses,2
shutdown,ran,aircraft,investigates,2
started running rough,ran,aircraft,investigates,2
sticking,ran,aircraft,investigates,2
stripped,replaced,rivnut,addresses,2
stuck,reamed,cylinder,addresses,2
torn,applied,baffle seal,addresses,2
torn,applied,baffle seals,addresses,2
torn,applied,silicone,addresses,2
torn,installed,baffle seal,addresses,2
torn,repaired,baffle seal,addresses,2
torn,replaced,,addresses,2
torn,replaced,cowl shock mount,addresses,2
torn,replaced,gasket,addresses,2
torn,replaced,rocker cover gaskets,addresses,2
torn,secured,safety wire,addresses,2
very rough,ran,aircraft,investigates,2
vibrated,ran,engine,investigates,2
vibrating,ran,aircraft,investigates,2
vibration,cleaned,fuel injector nozzles,addresses,2
vibration,ran,aircraft,investigates,2
vibrations,ran,engine,investigates,2
wearing,installed,rtv,addresses,2
worn,applied,black silicone,addresses,2
worn,applied,silicone,addresses,2
worn,fabricated,like material,addresses,2
worn,fabricated,section,addresses,2
worn,installed,baffle,addresses,2
worn,installed,baffle patch,addresses,2
worn,installed,baffle plugs,addresses,2
worn,replaced,,addresses,2
worn,replaced,adel clamp,addresses,2
worn,replaced,baffle button,addresses,2
worn,replaced,baffle buttons,addresses,2
worn,replaced,buttons,addresses,2
worn,replaced,rocker,addresses,2
worn,replaced,rocker shaft,addresses,2
worn,riveted,patch,addresses,2
worn,sealed,black seal,addresses,2
worn,sealed,rtv,addresses,2
worn through,fabricated,like material,addresses,2
would not increase,ran,aircraft,investigates,2
would not start,started,aircraft,investigates,2
would not start,started,engine,investigates,2
abnormal vib,ran up,aircraft,investigates,1
air coming out exhaus,found,number 29 push rods,investigates,1
air coming out exhaus,leak check,aircraft,investigates,1
air coming out exhaus,leak check,cylinder,investigates,1
air coming out exhaus,operations,aircraft,investigates,1
air coming out exhaus,operations,cylinder,investigates,1
air coming out exhaus,ran,aircraft,investigates,1
air coming out exhaus,torqued,cylinder base nut,addresses,1
air coming out exhaus,verified,29 push rod,investigates,1
air noted,compression,cylinder,investigates,1
air noted,run up,engine,investigates,1
air noted,staked,exhaust,investigates,1
air noted,staked,intake valves,investigates,1
air noted,warming up,engine,investigates,1
air noted and observed out of exhaust,run up,engine,investigates,1
almost quit,started,engine,investigates,1
applies,inspected,engines,investigates,1
audible rpm drop,ground run,engine,investigates,1
audible rpm loss,compression check,cylinder,investigates,1
audible rpm loss,compression check,engine,investigates,1
back,changed,cylinder,addresses,1
back,replaced,cylinder assembly,addresses,1
back,replaced,lueco cylinder assembly,addresses,1
back fired,checked,engine,investigates,1
back fired,inspected,magneto,investigates,1
back fired,inspected,rocker box,investigates,1
back fired,installed,cylinder assembly,addresses,1
back fired,ran,egt,investigates,1
back fired,ran,engine,investigates,1
back fired,run up,engine,investigates,1
back fired,serviced,engine,addresses,1
back fired,serviced,mineral oil,addresses,1
back fired when,inspected,magneto,investigates,1
back fired when,inspected,rocker box,investigates,1
back fired when,installed,cylinder assembly,addresses,1
back fired when,ran,egt,investigates,1
back fired when,ran,engine,investigates,1
back fired when,serviced,engine,addresses,1
back fired when,serviced,mineral oil,addresses,1
back firing,operations check,aircraft,investigates,1
back firing,ran up,aircraft,investigates,1
backfired,adjusted,engine,addresses,1
backfired,ground run,,investigates,1
backfired,inspected,inlet,investigates,1
backfired,operations checked,engine,investigates,1
backfired,replaced,cylinder,addresses,1
backfired,replaced,gaskets,addresses,1
backfired,replaced,induction tube,addresses,1
bad,installed,baffle tie rods,addresses,1
bad,installed,button plug,addresses,1
bad,installed,cylinder assembly,addresses,1
bad,operations check,propeller governor,investigates,1
bad,replaced,baffle plug,addresses,1
bad,replaced,valve,addresses,1
bad compression,clearance check,cylinder,investigates,1
bad compression,fitted,,addresses,1
bad compression,fitted,piston,addresses,1
bad compression,fitted,rings,addresses,1
bad compression,leak check,cylinder,investigates,1
bad compression,leak check,engine,investigates,1
bad compression,operations,cylinder,investigates,1
bad compression,operations,engine,investigates,1
bad compression,ran,engine,investigates,1
barely capable,inspected,gaskets,investigates,1
barely capable,inspected,intake tubes,investigates,1
barely capable,inspected,o-rings,investigates,1
battery still showing discharge,run up,aircraft,investigates,1
battery still showing discharge,run up,engine,investigates,1
battery still showing discharge,started,aircraft,investigates,1
battery still showing discharge,started,engine,investigates,1
bearing,replaced,linkage,addresses,1
became incredibly rough,completed installation,cylinder,addresses,1
became incredibly rough,leak and operations checked,aircraft,investigates,1
became incredibly rough,leak and operations checked,cylinder,investigates,1
became incredibly rough,ran,aircraft,investigates,1
became incredibly rough,ran,cylinder,investigates,1
became rough,disconnected,fuel distributor line,investigates,1
became rough,dry tappet clearance check,cylinder,investigates,1
became rough,dry tappet clearance check,engine,investigates,1
became rough,magnetos check,aircraft,investigates,1
became rough,magnetos check,magneto,investigates,1
became rough,power and leak check,magneto,investigates,1
became rough,ran,aircraft,investigates,1
began to struggle,checked,push rod,investigates,1
began to struggle,finished reinstallation,plugs,addresses,1
began to struggle,finished reinstallation,rocker cov,addresses,1
began to struggle,ground run,,investigates,1
began to struggle,ran,engine,investigates,1
began to struggle,reinstalled,push rod seals,addresses,1
began to struggle,verified,engine,investigates,1
bent,checked,,investigates,1
bent,inspecte,,investigates,1
bent,installed,push rod tube,addresses,1
bent,reinstalled,baffle,addresses,1
bounces,inspection,engine,investigates,1
bounces,replaced,cht probe,addresses,1
briefly lose power,run up,cylinder,investigates,1
briefly lose power,run up,engine,investigates,1
briefly lose power,run up,plug,investigates,1
broke,installed,baffle tie rod,addresses,1
broke,replaced,,addresses,1
broke off,installed,accessories,addresses,1
broke off,installed,cylinder,addresses,1
broken,drilled,tie rod hole,addresses,1
broken,fabricated,baffle,addresses,1
broken,fabricated,baffle support bracket,addresses,1
broken,fabricated,brace,addresses,1
broken,found,ferrule,investigates,1
broken,found,manifold psi line,investigates,1
broken,inspected,baffle,investigates,1
broken,inspected,baffle spring,investigates,1
broken,inspected,ferrule,investigates,1
broken,inspected,manifold psi line,investigates,1
broken,inspected,oil return,investigates,1
broken,installed,,addresses,1
broken,installed,baffle crosstie,addresses,1
broken,installed,baffle spring,addresses,1
broken,installed,baffle support,addresses,1
broken,installed,baffle tie rod,addresses,1
broken,installed,baffle tie wire,addresses,1
broken,installed,brace,addresses,1
broken,installed,bracket,addresses,1
broken,installed,clamp,addresses,1
broken,installed,connecting rod,addresses,1
broken,installed,connection wire,addresses,1
broken,installed,hose clamp,addresses,1
broken,installed,outer baffle tie,addresses,1
broken,installed,plug,addresses,1
broken,installed,plugs,addresses,1
broken,installed,rivets,addresses,1
broken,installed,rocker shaft thrust button,addresses,1
broken,installed,serviceable bracket,addresses,1
broken,installed,spring,addresses,1
broken,installed,standoff,addresses,1
broken,installed,standoffs,addresses,1
broken,installed,tension cable,addresses,1
broken,installed,tie rods,addresses,1
broken,leak check,,investigates,1
broken,loosened,oil cooler,addresses,1
broken,loosened,oil pressure line,addresses,1
broken,operations check,manifold psi line,investigates,1
broken,reinstalled,baffle,addresses,1
broken,repaired,rod,addresses,1
broken,replaced,anchor stand assembly,addresses,1
broken,replaced,anchors,addresses,1
broken,replaced,baffle connecting rod,addresses,1
broken,replaced,baffle connecting spring,addresses,1
broken,replaced,baffle interconnect rod,addresses,1
broken,replaced,baffle mounting bracket,addresses,1
broken,replaced,baffle support,addresses,1
broken,replaced,baffle support fastener,addresses,1
broken,replaced,baffle support rod,addresses,1
broken,replaced,baffle tension rod,addresses,1
broken,replaced,bolt,addresses,1
broken,replaced,button plugs,addresses,1
broken,replaced,cam lock,addresses,1
broken,replaced,carb heat shroud,addresses,1
broken,replaced,cowl,addresses,1
broken,replaced,cylinder anchor assembly,addresses,1
broken,replaced,cylinder anchor standby assembly,addresses,1
broken,replaced,fastener,addresses,1
broken,replaced,inter baffle rod,addresses,1
broken,replaced,inter baffle rod fastener,addresses,1
broken,replaced,interconnect rod,addresses,1
broken,replaced,intercylinder,addresses,1
broken,replaced,like material,addresses,1
broken,replaced,manifold psi line,addresses,1
broken,replaced,part made,addresses,1
broken,replaced,plastic holder,addresses,1
broken,replaced,rivet,addresses,1
broken,replaced,rocker shaft plugs,addresses,1
broken,replaced,screen,addresses,1
broken,replaced,screw,addresses,1
broken,replaced,spacers,addresses,1
broken,replaced,spring connector,addresses,1
broken,replaced,spring wire,addresses,1
broken,replaced,stack,addresses,1
broken,replaced,standoffs,addresses,1
broken,replaced,thrust button,addresses,1
broken,replaced,thrust buttons,addresses,1
broken,replaced,tie rods,addresses,1
broken,replaced,wire spring,addresses,1
broken,replaced,zip ties,addresses,1
broken,resafetied,intercylinder baffle,addresses,1
broken,rethreaded,tie rod,addresses,1
broken,rigged,,addresses,1
broken,secured,baffle safety wire,addresses,1
broken,secured,oil pan,addresses,1
broken,secured,safety wire,addresses,1
broken,secured,spiral wrap,addresses,1
broken,secured,tie rod,addresses,1
broken,secured,tywrap,addresses,1
broken,secured,wires,addresses,1
burned,borescoped,engine,investigates,1
burned,borescoped,exhaust valve,investigates,1
"burned , sooted",inspected,air intake,investigates,1
"burned , sooted",inspected,aircraft,investigates,1
"burned , sooted",inspected,muffler,investigates,1
burnt,fitted,exhaust,addresses,1
burnt,inspected,engine,investigates,1
burnt,inspected,exhaust valve,investigates,1
burnt,lapped,exhaust,addresses,1
burnt,replaced,cylinder,addresses,1
burnt,replaced,valve,addresses,1
burnt,verified,exhaust valve,investigates,1
came into cont,installation,cylinder,addresses,1
came into cont,replacement,cylinder,addresses,1
came into cont,replacement,piston,addresses,1
chafed,applied,baffle seal,addresses,1
chafed,applied,silicone,addresses,1
chafed,check,oil drain tubes,investigates,1
chafed,cleaned,engine,addresses,1
chafed,cleaned,scratch,addresses,1
chafed,removed,hardened chafe wrap,addresses,1
chafed,replaced,baffle,addresses,1
chafed,replaced,cylinder,addresses,1
chafing,adjusted,oil return line,addresses,1
chafing,adjusted,return line,addresses,1
chafing,adjusted,tie rod,addresses,1
chafing,applied,chafe tape,addresses,1
chafing,applied,chafe wrap,addresses,1
chafing,applied,engine,addresses,1
chafing,applied,high temperature silicone,addresses,1
chafing,applied,oil cooler line,addresses,1
chafing,applied,oil return line,addresses,1
chafing,applied,sealant,addresses,1
chafing,applied,spiral wrap,addresses,1
chafing,applied,starter wire,addresses,1
chafing,applied,throttle cable,addresses,1
chafing,applied,vacuum pump cooling duct,addresses,1
chafing,bend,,addresses,1
chafing,found,tie rod,investigates,1
chafing,inspected,baffle,investigates,1
chafing,inspected,baffle spring,investigates,1
chafing,inspected,fuel pump,investigates,1
chafing,inspected,line,investigates,1
chafing,inspected,lines,investigates,1
chafing,inspected,oil return,investigates,1
