item,issue,issue_type,record_count
rocker cover,leaks,ABN_PROC,8
baffle mounting screw,loose,FAULT,8
oil filler tube,loose,FAULT,8
rocker cover screw,missing,FAULT,8
engine,running very rough,ABN_PROC,8
cylinder,air coming out exhaus,ABN_PROC,7
exhaust valve,burnt,FAULT,7
crankshaft,gouged,FAULT,7
rocker covers,loose,FAULT,7
rivets,missing,FAULT,7
engine,oil leak,ABN_PROC,7
engine,partial power loss,ABN_PROC,7
engine,runs rough,ABN_PROC,7
engine,shutdown,ABN_PROC,7
exhaust valve,stuck,FAULT,7
engine,unusually rough,ABN_PROC,7
engine,back fired,ABN_PROC,6
magneto,failed,FAULT,6
rocker cover gaskets,leak,ABN_PROC,6
bolt,leaking,ABN_PROC,6
engine,leaking,ABN_PROC,6
induction tube gaskets,leaking,ABN_PROC,6
baffle bracket,loose,FAULT,6
baffle mount,loose,FAULT,6
baffle seals,loose,FAULT,6
cowl seal,loose,FAULT,6
intake tube,loose,FAULT,6
engine,low,FAULT,6
engine,shaking,ABN_PROC,6
air intake,worn,FAULT,6
baffle buttons,worn,FAULT,6
engine,back fired when,ABN_PROC,5
engine,began to struggle,ABN_PROC,5
baffle,broken,FAULT,5
tip,came into cont,ABN_PROC,5
engine,coughed often,ABN_PROC,5
cooling baffle,crack,FAULT,5
baffles,cracked,FAULT,5
oil cooler,cracked,FAULT,5
rocker cover,damage,FAULT,5
engine,dirty,FAULT,5
engine,does not run,ABN_PROC,5
magneto,dropped,ABN_PROC,5
intake gaskets,leak,ABN_PROC,5
intakes,leak,ABN_PROC,5
oil return lines,leaking,ABN_PROC,5
oil seal,leaking,ABN_PROC,5
baffle plugs,loose,FAULT,5
bolt,loose,FAULT,5
clamps,loose,FAULT,5
rivet,loose,FAULT,5
seal,loose,FAULT,5
baffle mounting screw,missing,FAULT,5
cylinder,missing,FAULT,5
fingers,missing,FAULT,5
cylinder,no tem,FAULT,5
engine,rpm dropped,ABN_PROC,5
engine,sputtering,ABN_PROC,5
engine,very rough,ABN_PROC,5
engine,vibrating,ABN_PROC,5
aircraft,vibrations,ABN_PROC,5
engine,would not start,ABN_PROC,5
baffle plugs,bad,FAULT,4
cylinder,bad compression,FAULT,4
tangs,broken,FAULT,4
cylinder,burnt,FAULT,4
engine,could not start,ABN_PROC,4
cylinder,cracks,FAULT,4
cylinder,dead,FAULT,4
engine,died,ABN_PROC,4
oil cooler,dirty,FAULT,4
push rod,galled,FAULT,4
engine,idles very irratically,ABN_PROC,4
backbone,leak,ABN_PROC,4
engine,leak,ABN_PROC,4
rocker covers,leak,ABN_PROC,4
crankshaft seal,leaking,ABN_PROC,4
exhaust push rod seal,leaking,ABN_PROC,4
rocker box covers,leaking,ABN_PROC,4
valve covers,leaking,ABN_PROC,4
plug,missing,FAULT,4
rivet,missing,FAULT,4
tabs,missing,FAULT,4
baffle seal,pulled through,FAULT,4
rivet,pulled through,FAULT,4
cylinder,rough,ABN_PROC,4
baffle,rubbing,ABN_PROC,4
cylinder,runs rough,ABN_PROC,4
rocker,scored,FAULT,4
forward stage nozzle,several cracks,FAULT,4
engine,smoked out,ABN_PROC,4
valve,sticking,ABN_PROC,4
engine,timed out,FAULT,4
baffle seals,torn,FAULT,4
valve,vibration,ABN_PROC,4
aircraft,won ' t start,ABN_PROC,4
intake,worn,FAULT,4
baffle,worn through,FAULT,4
cylinder,air noted,ABN_PROC,3
engine,back firing,ABN_PROC,3
engine,backfired,ABN_PROC,3
baffle plug,bad,FAULT,3
exhaust valve,bad,FAULT,3
engine,became incredibly rough,ABN_PROC,3
engine,became rough,ABN_PROC,3
baffle rod,broken,FAULT,3
baffling connecting rod,broken,FAULT,3
bolt,broken,FAULT,3
bracket,broken,FAULT,3
cylinder,broken,FAULT,3
standoff,broken,FAULT,3
baffle tie rod,chafing,ABN_PROC,3
oil cooler line,chafing,ABN_PROC,3
cowling,coming out,ABN_PROC,3
engine,crack,FAULT,3
air intake,cracked,FAULT,3
baffle patch,cracked,FAULT,3
bracket,cracked,FAULT,3
baffling,cracks,FAULT,3
housing,damage,FAULT,3
push rod,damage,FAULT,3
baffle section,damaged,FAULT,3
propeller tip,damaged,FAULT,3
oil coolers,dirty,FAULT,3
engine,failed,FAULT,3
valve guide,failed,FAULT,3
engine,high frequency vibration,ABN_PROC,3
magneto,inoperable,FAULT,3
cylinder,leak,ABN_PROC,3
intake tube,leak,ABN_PROC,3
cylinders,leaking,ABN_PROC,3
intake pipe gasket,leaking,ABN_PROC,3
rocker,leaking,ABN_PROC,3
rocker box cover,leaking,ABN_PROC,3
rocker drain lines,leaking,ABN_PROC,3
seal,leaking,ABN_PROC,3
"exhaust valve , two",leaking through,ABN_PROC,3
rocker cover gaskets,leaks,ABN_PROC,3
seal,leaks,ABN_PROC,3
baffle mounting bracket,loose,FAULT,3
baffle screws,loose,FAULT,3
baffle support bracket,loose,FAULT,3
baffle tab,loose,FAULT,3
baffle tie rod,loose,FAULT,3
clamp,loose,FAULT,3
rocker drain line,loose,FAULT,3
sump,loose,FAULT,3
baffle bracket,missing,FAULT,3
baffle seal,missing,FAULT,3
nut,missing,FAULT,3
rocker covers,missing,FAULT,3
screws,missing,FAULT,3
propeller,oversped,ABN_PROC,3
engine,power reduc,ABN_PROC,3
baffle seal rivet,pulled through,FAULT,3
engine,ran consistantly rough,ABN_PROC,3
engine,rough chopping noise,ABN_PROC,3
baffle tie rod,rubbing,ABN_PROC,3
oil return line,rubbing,ABN_PROC,3
engine,run rough,ABN_PROC,3
backbone,seeping,ABN_PROC,3
rocker gasket,seeping,ABN_PROC,3
baffle,sheared,FAULT,3
rivet head,sheared,FAULT,3
engine,started normally,ABN_PROC,3
cylinder,sticking,ABN_PROC,3
exhaust valve,sticking,ABN_PROC,3
engine mount,wear,FAULT,3
baffle plug hole,worn,FAULT,3
baffle seals,worn,FAULT,3
baffling,worn,FAULT,3
black baffle seal,worn,FAULT,3
engine,wouldn ' t go to full power,ABN_PROC,3
cylinder,zero,FAULT,3
baffle,bent,FAULT,2
push rod tube,bent,FAULT,2
intake bolt,broke off,FAULT,2
anchor assembly,broken,FAULT,2
anchor standby assembly,broken,FAULT,2
baffle connecting rod,broken,FAULT,2
baffle interconnect rod,broken,FAULT,2
baffle support rod,broken,FAULT,2
baffle tie rods,broken,FAULT,2
baffle tie wire,broken,FAULT,2
baffle wire,broken,FAULT,2
fingers,broken,FAULT,2
hose clamp,broken,FAULT,2
manifold psi line,broken,FAULT,2
rocker cover,broken,FAULT,2
rocker cover gaskets,broken,FAULT,2
spring,broken,FAULT,2
support,broken,FAULT,2
tab,broken,FAULT,2
wire standoff,broken,FAULT,2
cylinder,chafing,ABN_PROC,2
cylinder fins,chafing,ABN_PROC,2
drain line,chafing,ABN_PROC,2
muffler shroud,chafing,ABN_PROC,2
primer line,chafing,ABN_PROC,2
rocker oil return line,chafing,ABN_PROC,2
cylinder,cold,FAULT,2
cylinder,coming from exhaust,ABN_PROC,2
piston,contacted,ABN_PROC,2
engine,coughed,ABN_PROC,2
backbaffle,crack,FAULT,2
baffle bracket,crack,FAULT,2
baffle corner,crack,FAULT,2
baffle patch,crack,FAULT,2
cylinder baffling,crack,FAULT,2
engine baffling,crack,FAULT,2
oil cooler,crack,FAULT,2
oil cooler flange,crack,FAULT,2
outer baffling,crack,FAULT,2
upper baffle,crack,FAULT,2
alternator,cracked,FAULT,2
baffle support,cracked,FAULT,2
corner bracket,cracked,FAULT,2
cowl bracket,cracked,FAULT,2
intake,cracked,FAULT,2
ninety out of eighty bracket,cracked,FAULT,2
tube,cracked,FAULT,2
air intake,cracks,FAULT,2
baffle access hole,elongated,FAULT,2
baffle plug hole,elongated,FAULT,2
propeller,exceeded,ABN_PROC,2
aircraft,failed,FAULT,2
aircraft,fails,FAULT,2
magneto,faulty,FAULT,2
engine,fluctuating,ABN_PROC,2
plug,fouled,FAULT,2
rocker,galled,FAULT,2
engine,hoisting loop,ABN_PROC,2
egt,inoperable,FAULT,2
engine,killed,ABN_PROC,2
backbone case seam,leak,ABN_PROC,2
exhaust,leak,ABN_PROC,2
magneto,leak,ABN_PROC,2
push rod tube,leakin,ABN_PROC,2
bolts,leaking,ABN_PROC,2
carb inlet gaskets,leaking,ABN_PROC,2
case bolt,leaking,ABN_PROC,2
case half seam,leaking,ABN_PROC,2
case plug,leaking,ABN_PROC,2
center case bolt,leaking,ABN_PROC,2
cowling,leaking,ABN_PROC,2
crankcase lifting eyebolt,leaking,ABN_PROC,2
cylinder rocker covers,leaking,ABN_PROC,2
exhaust va,leaking,ABN_PROC,2
fuel,leaking,ABN_PROC,2
gaskets,leaking,ABN_PROC,2
intake cylinder,leaking,ABN_PROC,2
intake gasket tube,leaking,ABN_PROC,2
intake tubes,leaking,ABN_PROC,2
lifting eye,leaking,ABN_PROC,2
oil breather,leaking,ABN_PROC,2
oil plug,leaking,ABN_PROC,2
oil return line,leaking,ABN_PROC,2
"push rod , exhaust , housing gasket",leaking,ABN_PROC,2
push rod seal,leaking,ABN_PROC,2
rings,leaking,ABN_PROC,2
rocker cover drain hose clamps,leaking,ABN_PROC,2
seal shows signs,leaking,ABN_PROC,2
spine,leaking,ABN_PROC,2
valve cover gasket,leaking,ABN_PROC,2
valve cover gaskets,leaking,ABN_PROC,2
exhaust valve,leaking through,ABN_PROC,2
backbone bolt,leaks,ABN_PROC,2
intake tube,leaks,ABN_PROC,2
rocker cover seal,leaks,ABN_PROC,2
baffle bolt,loose,FAULT,2
baffle brackets,loose,FAULT,2
baffle mount screw,loose,FAULT,2
baffle plug,loose,FAULT,2
baffle seal staples,loose,FAULT,2
baffle support,loose,FAULT,2
baffle tie wire,loose,FAULT,2
bolts,loose,FAULT,2
dipstick tube,loose,FAULT,2
engine,loose,FAULT,2
fire seal,loose,FAULT,2
fitting,loose,FAULT,2
grounding bolt,loose,FAULT,2
grounding strap bolt,loose,FAULT,2
hardware,loose,FAULT,2
hose clamp,loose,FAULT,2
intake tube inserts,loose,FAULT,2
oil return line,loose,FAULT,2
oil return line hose clamp,loose,FAULT,2
propeller governor,loose,FAULT,2
rocker drain lines,loose,FAULT,2
cylinder,lost,ABN_PROC,2
aircraft,loud tap,ABN_PROC,2
baffle bolt,missing,FAULT,2
baffle screws,missing,FAULT,2
bolts,missing,FAULT,2
intake,missing,FAULT,2
spark plug,missing,FAULT,2
engine,momentary power hesitation,ABN_PROC,2
cylinder,no egt,FAULT,2
mixture control,not hitting,FAULT,2
cylinder,oil leak,ABN_PROC,2
engine section,oil leak,ABN_PROC,2
hoisting loop,oil leak,ABN_PROC,2
possible,oil leak,ABN_PROC,2
vacuum pump,oil leak,ABN_PROC,2
engine,oversped,ABN_PROC,2
rivets,pulled through,FAULT,2
engine,running extremely rough,ABN_PROC,2
cylinder,runs cold,ABN_PROC,2
exhaust push rod,scored,FAULT,2
push rod,scored,FAULT,2
push rod exhaust tube,seepage,ABN_PROC,2
case halves,seeping,ABN_PROC,2
crankshaft seal,seeping,ABN_PROC,2
propeller shaft seal,seeping,ABN_PROC,2
top,seeping,ABN_PROC,2
engine,shakes violently,ABN_PROC,2
baffle rivet head,sheared,FAULT,2
cylinder,shock violently,ABN_PROC,2
engine,shock violently,ABN_PROC,2
engine,shut down,ABN_PROC,2
engine,sounded like,ABN_PROC,2
engine,sputtered,ABN_PROC,2
engine,started running rough shortly,ABN_PROC,2
rivnut,stripped,FAULT,2
propeller strike,sudden stoppage,ABN_PROC,2
exhaust guide,tight,FAULT,2
exhaust push rod,too short,FAULT,2
cowl shock mount,torn,FAULT,2
intake,torn,FAULT,2
intake gasket,torn,FAULT,2
rocker cover gaskets,torn,FAULT,2
cylinder,unusual indication,FAULT,2
engine,unusual indication,FAULT,2
engine,vibrated,ABN_PROC,2
seal,wearing,ABN_PROC,2
intake push rod tube inner seal,weeping,ABN_PROC,2
baffle button,worn,FAULT,2
baffle hole,worn,FAULT,2
baffle hole plugs,worn,FAULT,2
baffle plug holes,worn,FAULT,2
baffle spark plug,worn,FAULT,2
cowl seal,worn,FAULT,2
exhaust rocker,worn,FAULT,2
hole,worn,FAULT,2
intake screen,worn,FAULT,2
spark plug,worn,FAULT,2
tabs,worn,FAULT,2
engine,would sputter,ABN_PROC,2
cylinder,zero compression,FAULT,2
engine,abnormal vib,ABN_PROC,1
baffle,aft,LOC,1
number 29 push rods,air coming out exhaus,ABN_PROC,1
cylinder,air noted and observed out of exhaust,ABN_PROC,1
engine,almost quit,ABN_PROC,1
governor washer,applies,ABN_PROC,1
engine,audible rpm drop,ABN_PROC,1
engine,audible rpm loss,ABN_PROC,1
cylinder,back,ABN_PROC,1
lueco assembly,back,ABN_PROC,1
baffle button plug,bad,FAULT,1
baffle snap plugs,bad,FAULT,1
baffle tie rods,bad,FAULT,1
cylinder,bad,FAULT,1
seal,baffling,MAINT_ITEM,1
aircraft,barely capable,ABN_PROC,1
aircraft,battery still showing discharge,ABN_PROC,1
baffle,behind,LOC,1
baffle bent,bent,FAULT,1
bush rod,bent,FAULT,1
cylinder,bent,FAULT,1
exhaust valve,bent,FAULT,1
flange,bent,FAULT,1
baffle seal,black baffle seal,MAINT_ITEM,1
cht needle,bounces,ABN_PROC,1
engine,briefly lose power,ABN_PROC,1
tie rod,broke,FAULT,1
adel clamp,broken,FAULT,1
adel clamp bracket,broken,FAULT,1
angle,broken,FAULT,1
baffle attach plate,broken,FAULT,1
baffle brace,broken,FAULT,1
baffle bracket,broken,FAULT,1
baffle button plug,broken,FAULT,1
baffle connection rod,broken,FAULT,1
baffle connector rod,broken,FAULT,1
baffle fastener,broken,FAULT,1
baffle mounting bracket,broken,FAULT,1
baffle outer tie,broken,FAULT,1
baffle rivet,broken,FAULT,1
baffle safety wire,broken,FAULT,1
baffle seal rivet,broken,FAULT,1
baffle snap plug tab,broken,FAULT,1
baffle support,broken,FAULT,1
baffle support bracket,broken,FAULT,1
baffle tension cable,broken,FAULT,1
baffle tension rod,broken,FAULT,1
baffle tie rod bolt,broken,FAULT,1
baffle tie spring,broken,FAULT,1
baffle wire holder,broken,FAULT,1
baffle wire spring,broken,FAULT,1
baffle wire standoff,broken,FAULT,1
baffles,broken,FAULT,1
baffling conection wire,broken,FAULT,1
baffling support bracket,broken,FAULT,1
bracket rivets,broken,FAULT,1
cam lock,broken,FAULT,1
"cht , egt wire anchor",broken,FAULT,1
clamp,broken,FAULT,1
connecting rod,broken,FAULT,1
cooling baffle connecting rod,broken,FAULT,1
cover screw,broken,FAULT,1
crosstie,broken,FAULT,1
egt standoff,broken,FAULT,1
egt wire probe standoffs,broken,FAULT,1
harness anchors,broken,FAULT,1
harness clamp,broken,FAULT,1
inlet screen wire,broken,FAULT,1
intake gasket,broken,FAULT,1
inter baffle rod,broken,FAULT,1
inter baffle rod fastener,broken,FAULT,1
lacing core,broken,FAULT,1
lifting eye bracket,broken,FAULT,1
oil cooler adel clamp,broken,FAULT,1
oil cooler hose bracket,broken,FAULT,1
oil line,broken,FAULT,1
phenolic spacers,broken,FAULT,1
prongs,broken,FAULT,1
rocker cover thrust button,broken,FAULT,1
rocker cover thrust buttons,broken,FAULT,1
rocker shaft plugs,broken,FAULT,1
rocker shaft thrust plug,broken,FAULT,1
safety wire,broken,FAULT,1
spring wire,broken,FAULT,1
stack,broken,FAULT,1
standby assembly,broken,FAULT,1
tie rod,broken,FAULT,1
tywrap,broken,FAULT,1
wiring harness support bracket,broken,FAULT,1
wiring holder,broken,FAULT,1
exhaust valve,burned,FAULT,1
cowl,"burned , sooted",FAULT,1
exhaust va,burnt,FAULT,1
valve,burnt,FAULT,1
baffle,chafed,FAULT,1
baffle seal,chafed,FAULT,1
exciter,chafed,FAULT,1
oil drain tubes,chafed,FAULT,1
overboard vent tubes,chafed,FAULT,1
""" bat "" cable",chafing,ABN_PROC,1
air duct,chafing,ABN_PROC,1
air filter box,chafing,ABN_PROC,1
air line,chafing,ABN_PROC,1
baffle screw,chafing,ABN_PROC,1
baffle screws,chafing,ABN_PROC,1
baffle wire,chafing,ABN_PROC,1
baffling seal,chafing,ABN_PROC,1
cooling hose,chafing,ABN_PROC,1
cowl,chafing,ABN_PROC,1
exhaust shroud,chafing,ABN_PROC,1
intake screen panel,chafing,ABN_PROC,1
muffler heat shroud,chafing,ABN_PROC,1
oil drain tube,chafing,ABN_PROC,1
oil return,chafing,ABN_PROC,1
oil return lines,chafing,ABN_PROC,1
oil return tube,chafing,ABN_PROC,1
rocker drain line,chafing,ABN_PROC,1
rubber baffle,chafing,ABN_PROC,1
sealant,chafing,ABN_PROC,1
starter ground wire,chafing,ABN_PROC,1
starter wire,chafing,ABN_PROC,1
throttle cable,chafing,ABN_PROC,1
vacuum pump cooling duct,chafing,ABN_PROC,1
vacuum pump line,chafing,ABN_PROC,1
wire bundle,chafing,ABN_PROC,1
intake tube,chafing damage,ABN_PROC,1
plugs,chafing through,ABN_PROC,1
plugs safety wire,chafing through,ABN_PROC,1
safety wire,chafing through,ABN_PROC,1
engine,choke,ABN_PROC,1
engine,choked,ABN_PROC,1
red,cht red,MAINT_ITEM,1
magnetos,click,ABN_PROC,1
engine,clicking noise,ABN_PROC,1
aircraft,co level high warning came on,ABN_PROC,1
aircraft,co warning came,ABN_PROC,1
baffle attach screw,come out,ABN_PROC,1
governor baffle seal,coming off,ABN_PROC,1
oil,coming out,ABN_PROC,1
exhaust valve,contact,ABN_PROC,1
piston,contact,ABN_PROC,1
exhaust valve,contacted,ABN_PROC,1
washer,corroded,FAULT,1
engine,could not restart,ABN_PROC,1
air intake,crack,FAULT,1
airbox elbow,crack,FAULT,1
alternator mount,crack,FAULT,1
alternator mount bolt,crack,FAULT,1
attach bolt,crack,FAULT,1
baffle angle bracket,crack,FAULT,1
baffle center,crack,FAULT,1
baffle corner support bracket,crack,FAULT,1
baffle seal,crack,FAULT,1
baffle support,crack,FAULT,1
baffling bracket,crack,FAULT,1
below alternator mount,crack,FAULT,1
bolt,crack,FAULT,1
bulkhead,crack,FAULT,1
corner baffle,crack,FAULT,1
cowling baffle,crack,FAULT,1
engine mount,crack,FAULT,1
mount bolt hole,crack,FAULT,1
muffler,crack,FAULT,1
muffler heat muff,crack,FAULT,1
ninety out of eighty bracket,crack,FAULT,1
oil cooler bolt,crack,FAULT,1
patch,crack,FAULT,1
possible,crack,FAULT,1
rivet,crack,FAULT,1
screw,crack,FAULT,1
screw plate,crack,FAULT,1
side baffle,crack,FAULT,1
spark plug hole,crack,FAULT,1
spark plug leads,crack,FAULT,1
starter generator air vent,crack,FAULT,1
valve cover,crack,FAULT,1
wire,crack,FAULT,1
baffle wire harness,cracke,FAULT,1
baffle wire harness tab,cracke,FAULT,1
air baffle,cracked,FAULT,1
alternator mount,cracked,FAULT,1
angle bracket,cracked,FAULT,1
back baffle,cracked,FAULT,1
backbaffle,cracked,FAULT,1
baffle . reinforcement angle,cracked,FAULT,1
baffle angle bracket,cracked,FAULT,1
baffle attach fitting,cracked,FAULT,1
baffle corner,cracked,FAULT,1
baffle mounting bracket,cracked,FAULT,1
baffle stiffener,cracked,FAULT,1
baffle tie rod,cracked,FAULT,1
baffling support bracket,cracked,FAULT,1
battery box bracket,cracked,FAULT,1
below alternator mount,cracked,FAULT,1
bolt,cracked,FAULT,1
bracket support,cracked,FAULT,1
cooling baffle,cracked,FAULT,1
corner baffle,cracked,FAULT,1
corner patch,cracked,FAULT,1
firewall,cracked,FAULT,1
intake tube,cracked,FAULT,1
mount bolt hole,cracked,FAULT,1
mounts,cracked,FAULT,1
muffler,cracked,FAULT,1
muffler heat muff,cracked,FAULT,1
oil cooler baffling,cracked,FAULT,1
oil cooler bolt,cracked,FAULT,1
oil cooler flange,cracked,FAULT,1
oil cooler support bracket,cracked,FAULT,1
outer baffling,cracked,FAULT,1
paint,cracked,FAULT,1
part,cracked,FAULT,1
patch,cracked,FAULT,1
propeller cable,cracked,FAULT,1
rocker covers,cracked,FAULT,1
rudder covers,cracked,FAULT,1
screw support,cracked,FAULT,1
spark plug hole,cracked,FAULT,1
stiffener,cracked,FAULT,1
support baffle,cracked,FAULT,1
upper,cracked,FAULT,1
baffles,cracks,FAULT,1
patch,cracks,FAULT,1
relief hole,cracks,FAULT,1
rivet,cracks,FAULT,1
rudder covers,cracks,FAULT,1
starter,cut off,ABN_PROC,1
air valve,damage,FAULT,1
baffle tie rod wire,damage,FAULT,1
carb air valve,damage,FAULT,1
carb airbox,damage,FAULT,1
clamps,damage,FAULT,1
compressor blade,damage,FAULT,1
compressor first stage blade,damage,FAULT,1
neg,damage,FAULT,1
valve,damage,FAULT,1
wires,damage,FAULT,1
access holes,damaged,FAULT,1
air inlet tube,damaged,FAULT,1
baffle piece,damaged,FAULT,1
baffle spark plug,damaged,FAULT,1
baffle tie rod,damaged,FAULT,1
bolt hole,damaged,FAULT,1
cowl shock mount,damaged,FAULT,1
grommet,damaged,FAULT,1
holes,damaged,FAULT,1
intake tube,damaged,FAULT,1
lacing cord,damaged,FAULT,1
magneto,damaged,FAULT,1
nutplates,damaged,FAULT,1
oil pressure switch wire,damaged,FAULT,1
oil sump screen,damaged,FAULT,1
piston pin bore,damaged,FAULT,1
piston pins,damaged,FAULT,1
ring gear,damaged,FAULT,1
ring gear teeth,damaged,FAULT,1
riv,damaged,FAULT,1
rivet,damaged,FAULT,1
rivets,damaged,FAULT,1
rocker cover gasket,damaged,FAULT,1
seals,damaged,FAULT,1
spark plug,damaged,FAULT,1
threads,damaged,FAULT,1
aircraft,dead,FAULT,1
exhaust push tube,dent,FAULT,1
engine,did not start,ABN_PROC,1
engine,die,ABN_PROC,1
aircraft,died,ABN_PROC,1
engines,died,ABN_PROC,1
compressor first stage blade,ding,FAULT,1
air filter,dirty,FAULT,1
impeller,dirty,FAULT,1
scroll,dirty,FAULT,1
sniffle valves,dirty,FAULT,1
sniffler valve,dirty,FAULT,1
exhaust shroud,does not align,FAULT,1
throttle,drop in rpm,ABN_PROC,1
valve,drop in rpm,ABN_PROC,1
cht gauge,drops to zero,ABN_PROC,1
oil psi line,ducting rubbing,ABN_PROC,1
mounting bolt,eating into,ABN_PROC,1
scroll mount,eating into,ABN_PROC,1
intake gasket,elaking,ABN_PROC,1
seal,engine,MAINT_ITEM,1
baffle plug hole,enlarged,FAULT,1
plug hole,enlarged,FAULT,1
upper baffle,enlarged,FAULT,1
exhaust valve,excessive,FAULT,1
throttle cable attachment,excessive end play,FAULT,1
engine,failure,ABN_PROC,1
oil cooler lines lacing cord,falling,FAULT,1
engine,flame came out,ABN_PROC,1
aircraft,flames,ABN_PROC,1
engine,flames comi,ABN_PROC,1
cht probe,fluctuating,ABN_PROC,1
magneto,fouled,FAULT,1
engine,gains and drops,ABN_PROC,1
exhaust push rod tips,galled,FAULT,1
exhaust push rod tips,galled,ACTION,1
guide,galled,FAULT,1
push rod tips,galled,FAULT,1
push rod tips,galled,ACTION,1
particle separator,grass,FAULT,1
particle separator,grass,MAINT_ITEM,1
engine,grinding noise,ABN_PROC,1
engine,hesitation/roughness,ABN_PROC,1
aircraft,high,FAULT,1
engine,high,FAULT,1
aircraft,high frequency vibration,ABN_PROC,1
aircraft,high pitched squealing noise,ABN_PROC,1
engine,"high pitched whine , squeal , wh",ABN_PROC,1
center baffle screw,hitting mount,ABN_PROC,1
engine,idling too low,ABN_PROC,1
alternator,indicates zero,ABN_PROC,1
oil temperature light,inoperable,FAULT,1
starter,inoperable,FAULT,1
engine,kept hesitating,ABN_PROC,1
breather line,kinked,FAULT,1
oil cooler hose,kinked,FAULT,1
pass down,knocking noise,ABN_PROC,1
intake,large gouge,MAINT_ITEM,1
engine,large pool of oil,ABN_PROC,1
engine,large puddle of liquid,FAULT,1
aircraft,leak,ABN_PROC,1
bolt,leak,ABN_PROC,1
bolts,leak,ABN_PROC,1
crankcase bolts,leak,ABN_PROC,1
drain,leak,ABN_PROC,1
exhaust valve,leak,ABN_PROC,1
fuel,leak,ABN_PROC,1
intake tube gaskets,leak,ABN_PROC,1
lifting bracket case half bolt,leak,ABN_PROC,1
oil return line,leak,ABN_PROC,1
rocker cover gasket,leak,ABN_PROC,1
intake gasket,leakage,ABN_PROC,1
rocker cover gaskets,leaki,ABN_PROC,1
backbone,leaking,ABN_PROC,1
bolt hole,leaking,ABN_PROC,1
case,leaking,ABN_PROC,1
case bolts,leaking,ABN_PROC,1
case halves,leaking,ABN_PROC,1
clamp,leaking,ABN_PROC,1
cover,leaking,ABN_PROC,1
crankcase,leaking,ABN_PROC,1
crankcase half bolt,leaking,ABN_PROC,1
cylinder base,leaking,ABN_PROC,1
cylinder rocker cover gaskets,leaking,ABN_PROC,1
exhaust push rod tube seal,leaking,ABN_PROC,1
exhaust seal,leaking,ABN_PROC,1
flexible tube,leaking,ABN_PROC,1
