issue,action,item,kind,record_count
worn,installed,baffle seal,addresses,4
worn,installed,black rtv,addresses,4
worn,installed,patch,addresses,4
worn,installed,plugs,addresses,4
backfired,ground run,engine,investigates,3
bad,installed,baffle plugs,addresses,3
broken,fabricated,bracket,addresses,3
broken,installed,baffle tie,addresses,3
broken,installed,engine,addresses,3
broken,replaced,anchor standby assembly,addresses,3
broken,replaced,baffle,addresses,3
broken,replaced,clamp,addresses,3
broken,replaced,connecting rod,addresses,3
broken,replaced,plug,addresses,3
chafing,installed,,addresses,3
crack,installed,baffle,addresses,3
crack,stop drilled,cylinder,addresses,3
cracked,fabricated,bracket,addresses,3
cracked,inspected,baffle,investigates,3
cracks,stop drilled,baffle,addresses,3
dirty,cleaned,valves,addresses,3
leak,leak check,,investigates,3
leak,ran,aircraft,investigates,3
leak,sealed,bolt,addresses,3
leaking,cleaned,,addresses,3
leaking,installed,induction tube gaskets,addresses,3
leaking,leak check,intake,investigates,3
leaking,leak check,intake gasket,investigates,3
leaking,leak check,intake tube,investigates,3
leaking,leak check,rocker gaskets,investigates,3
leaking,replaced,push rod seals,addresses,3
leaking,replaced,push rod tube seals,addresses,3
leaking,replaced,silicone gaskets,addresses,3
leaking,tightened,screws,addresses,3
leaks,cleaned,,addresses,3
leaks,cleaned,rocker cover gaskets,addresses,3
leaks,installed,gasket,addresses,3
loose,installed,rivet,addresses,3
loose,reattached,baffle,addresses,3
loose,replaced,baffle plugs,addresses,3
loose,riveted,baffle seal,addresses,3
loose,tightened,b nuts,addresses,3
loose,tightened,baffle screw,addresses,3
loose,tightened,clamp,addresses,3
loose,tightened,covers,addresses,3
loose,tightened,oil return line,addresses,3
loose,tightened,rocker cover screws,addresses,3
low,adjusted,,addresses,3
low,compression test,cylinder,investigates,3
low,installed,cylinder assembly,addresses,3
low,installed,piston,addresses,3
low,operations check,engine,investigates,3
low,replaced,exhaust valve,addresses,3
low,staked,valves,addresses,3
missing,installed,,addresses,3
missing,installed,new hardware,addresses,3
missing,installed,washer,addresses,3
missing,replaced,baffle plugs,addresses,3
missing,replaced,plugs,addresses,3
missing,replaced,rivets,addresses,3
no compression,leak check,cylinder,investigates,3
pulled through,installed,pop rivet,addresses,3
quit,ran up,aircraft,investigates,3
ran rough,ground run,engine,investigates,3
ran very rough,ran,aircraft,investigates,3
roughness,ground run,engine,investigates,3
roughness,ran,aircraft,investigates,3
scored,replaced,push rod,addresses,3
seeping,installed,gasket,addresses,3
sheared,installed,,addresses,3
sheared,installed,screws,addresses,3
sheared,replaced,screws,addresses,3
shutdown,adjusted,engine,addresses,3
torn,replaced,seal,addresses,3
vibration,ran,aircraft,investigates,3
won ' t start,attempted to start,aircraft,investigates,3
worn,applied,black seal,addresses,3
worn,installed,baffle plug,addresses,3
worn,installed,black seal,addresses,3
worn,installed,plug,addresses,3
would not start,started,engine,investigates,3
bad,installed,baffle plug,addresses,2
bad,replaced,baffle plugs,addresses,2
broken,fabricated,like material,addresses,2
broken,replaced,anchor assembly,addresses,2
broken,replaced,fasteners,addresses,2
broken,replaced,plugs,addresses,2
broken,replaced,rivets,addresses,2
broken,replaced,rocker cover gaskets,addresses,2
chafing,applied,silicone,addresses,2
chafing,inspected,oil cooler line,investigates,2
chafing,installed,baffle,addresses,2
chafing,installed,chafe wrap,addresses,2
chafing,repositioned,line,addresses,2
crack,inspected,baffle,investigates,2
crack,installed,doubler plate,addresses,2
crack,stop drilled,engine baffling,addresses,2
crack,stop drilled,oil cooler,addresses,2
crack,stop drilled,upper baffle,addresses,2
cracked,fabricated,like materi,addresses,2
cracked,installed,baffling,addresses,2
cracked,installed,patches,addresses,2
cracked,repair,baffle,addresses,2
cracked,replaced,,addresses,2
cracked,replaced,assembly,addresses,2
cracked,replaced,baffle assembly,addresses,2
cracked,stop drilled,baffle patch,addresses,2
cracked,stop drilled,intercylinder baffle,addresses,2
damaged,installed,baffle plugs,addresses,2
damaged,installed,plug,addresses,2
died,ran,aircraft,investigates,2
died,started,aircraft,investigates,2
dirty,cleaned,oil cooler,addresses,2
dirty,cleaned,oil coolers,addresses,2
enlarged,installed,patch,addresses,2
failed,clearance check,cylinder,investigates,2
failed,installed,cylinder,addresses,2
failed,leak check,cylinder,investigates,2
fails,mixture check,,investigates,2
leak,applied,bolt,addresses,2
leak,cleaned,,addresses,2
leak,leak check,engine,investigates,2
leak,torqued,bolt,addresses,2
leaking,applied,bolt,addresses,2
leaking,applied,sealant,addresses,2
leaking,cleaned,covers,addresses,2
leaking,cleaned,rocker cover gaskets,addresses,2
leaking,cleaned,silicone gaskets,addresses,2
leaking,installed,bolt,addresses,2
leaking,installed,cylinder,addresses,2
leaking,installed,cylinder assembly,addresses,2
leaking,installed,rocker cover gaskets,addresses,2
leaking,leak check,engine,investigates,2
leaking,leak check,rocker cover,investigates,2
leaking,leak check,rocker cover gaskets,investigates,2
leaking,operations,engine,investigates,2
leaking,ran,,investigates,2
leaking,ran up,engine,investigates,2
leaking,replace,,addresses,2
leaking,replaced,cylinder assembly,addresses,2
leaking,replaced,exhaust push rod,addresses,2
leaking,replaced,rocker cover gask,addresses,2
leaking,replaced,seal,addresses,2
leaking,replaced,seals,addresses,2
leaking,resealed,bolt,addresses,2
leaking,reswaged,tube,addresses,2
leaking,reswedged,intake tube,addresses,2
leaking,run up,engine,investigates,2
leaking,sealed,bolt,addresses,2
leaking,tightened,bolts,addresses,2
leaking,tightened,hose clamps,addresses,2
leaking,tightened,oil return line,addresses,2
leaks,cleaned,gasket,addresses,2
leaks,cleaned,rocker cover gasket,addresses,2
leaks,replaced,rocker cover gaskets,addresses,2
leaks,replaced,seal,addresses,2
loose,inspected,intake tube,investigates,2
loose,installed,hardware,addresses,2
loose,installed,nuts,addresses,2
loose,installed,screw,addresses,2
loose,installed,tie wire,addresses,2
loose,recrimped,staples,addresses,2
loose,reinstalled,baffle,addresses,2
loose,replaced,nuts,addresses,2
loose,replaced,seal,addresses,2
loose,replaced,washer,addresses,2
loose,resafetied,oil filler tube,addresses,2
loose,rescured,baffle seal,addresses,2
loose,resecured,,addresses,2
loose,resecured,baffle,addresses,2
loose,resecured,baffle material,addresses,2
loose,resecured,baffle seals,addresses,2
loose,resecured,screw,addresses,2
loose,secured,baffle,addresses,2
loose,secured,baffle seals,addresses,2
loose,tightened,baffle,addresses,2
loose,tightened,cap,addresses,2
loose,tightened,drain line,addresses,2
loose,tightened,fitting,addresses,2
loose,tightened,hardware,addresses,2
loose,tightened,tie rod,addresses,2
loose,tightened down,screws,addresses,2
low,borescoped,cylinder,investigates,2
low,borescoped,exhaust valve,investigates,2
low,finished installing,cylinder,addresses,2
low,leak check,engine,investigates,2
low,operations,aircraft,investigates,2
low,operations check,,investigates,2
low,rechecked,cylinder,investigates,2
low,run up,cylinder,investigates,2
low,run up,engine,investigates,2
low,run up leak check,,investigates,2
low,staked,exhaust valve,investigates,2
low,staked,intake valve,addresses,2
low,staked,valve,addresses,2
metal found in oil,installed,engine,addresses,2
missing,installed,baffle plug doubler,addresses,2
missing,installed,baffle plugs,addresses,2
missing,installed,bolts,addresses,2
missing,installed,grommet,addresses,2
missing,installed,lock washer,addresses,2
missing,installed,plugs,addresses,2
missing,reinstalled,baffle screw,addresses,2
missing,replaced,,addresses,2
missing,replaced,baffle screw,addresses,2
missing,replaced,hardware,addresses,2
missing,replaced,nut,addresses,2
missing,replaced,rivet,addresses,2
missing,replaced,screws,addresses,2
oil leak,leak check,,investigates,2
overspeed,determined,,investigates,2
overspeed,downloaded,data,investigates,2
overspeed,inspected,engine,investigates,2
overspeed,overspeed insp,valve train,investigates,2
overspeed,researched,fdm card data,investigates,2
pulled through,drilled,hole,addresses,2
pulled through,installed,rivet,addresses,2
pulled through,replaced,baffle,addresses,2
pulled through,replaced,rivet,addresses,2
ran rough,leak check,aircraft,investigates,2
ran rough,operations check,engine,investigates,2
ran rough,operations checked,engine,investigates,2
ran rough,ran up,engine,investigates,2
rough running,reamed,exhaust,addresses,2
rough running,replaced,cylinder,addresses,2
roughness,run up,engine,investigates,2
rpm dropped,leak check,engine,investigates,2
rpm dropped,operations,engine,investigates,2
running extremely rough,ran,aircraft,investigates,2
running very rough,ran,aircraft,investigates,2
running very rough,ran,engine,investigates,2
runs rough,hand spun,propeller,investigates,2
runs rough,operations,,investigates,2
runs rough,verified,engine,investigates,2
scored,replaced,rocker,addresses,2
seeping,leak check,,investigates,2
shaking,ran,aircraft,investigates,2
shaking,ran,engine,investigates,2
sheared,reinstalled,,addresses,2
sheared,reinstalled,baffle,addresses,2
sheared,replaced,,addresses,2
shutdown,operations,,investigates,2
shutdown,ran,aircraft,investigates,2
started running rough,ran,aircraft,investigates,2
sticking,ran,aircraft,investigates,2
stripped,replaced,rivnut,addresses,2
torn,applied,baffle seal,addresses,2
torn,applied,silicone,addresses,2
torn,repaired,baffle seal,addresses,2
torn,replaced,boot,addresses,2
torn,replaced,cowl shock mount,addresses,2
torn,replaced,gasket,addresses,2
torn,replaced,rocker cover gaskets,addresses,2
very rough,ran,aircraft,investigates,2
vibrating,ran,aircraft,investigates,2
vibration,cleaned,fuel injector nozzles,addresses,2
vibrations,ran,engine,investigates,2
wearing,installed,rtv,addresses,2
worn,applied,black silicone,addresses,2
worn,applied,silicone,addresses,2
worn,filled,rtv,addresses,2
worn,installed,,addresses,2
worn,installed,baffle patch,addresses,2
worn,installed,baffle plugs,addresses,2
worn,replaced,adel clamp,addresses,2
worn,replaced,baffle button,addresses,2
worn,replaced,baffle buttons,addresses,2
worn,replaced,buttons,addresses,2
worn,replaced,rocker,addresses,2
worn,replaced,rocker shaft,addresses,2
worn,secured,seal,addresses,2
would not increase,ran,aircraft,investigates,2
would not start,started,aircraft,investigates,2
abnormal vib,ran up,aircraft,investigates,1
accidentally oversped,evaluated,data,investigates,1
accidentally oversped,evaluated,fdm card,investigates,1
air coming out exhaus,leak check,aircraft,investigates,1
air coming out exhaus,torqued,cylinder base nut,addresses,1
air coming out exhaus,verified,29 push rod,investigates,1
air noted,compression,cylinder,investigates,1
air noted and observed out of exhaust,run up,engine,investigates,1
almost quit,started,engine,investigates,1
audible rpm drop,ground run,engine,investigates,1
audible rpm loss,compression check,cylinder,investigates,1
backed off,tightened,bolt,addresses,1
backfired,adjusted,engine,addresses,1
backfired,checked,engine,investigates,1
backfired,inspected,inlet,investigates,1
backfired,inspected,rocker box,investigates,1
backfired,installed,cylinder assembly,investigates,1
backfired,operations checked,engine,investigates,1
backfired,ran,egt,investigates,1
backfired,ran,engine,investigates,1
backfired,replaced,gaskets,addresses,1
backfired,replaced,induction tube,addresses,1
backfired,run up,engine,investigates,1
backfired when,inspected,rocker box,investigates,1
backfired when,installed,cylinder assembly,investigates,1
backfired when,ran,egt,investigates,1
backfired when,ran,engine,investigates,1
backfiring,completed,exhaust guides,investigates,1
backfiring,operations check,aircraft,investigates,1
backfiring,ran up,aircraft,investigates,1
bad,installed,baffle tie rods,addresses,1
bad,installed,button plug,addresses,1
bad,replaced,baffle plug,addresses,1
bad,replaced,valve,addresses,1
bad compression,clearance check,cylinder,investigates,1
bad compression,fitted,piston,addresses,1
bad compression,fitted,rings,addresses,1
bad compression,leak check,cylinder,investigates,1
bad compression,operations,engine,investigates,1
bad compression,ran,engine,investigates,1
barely capable,inspected,gaskets,investigates,1
barely capable,inspected,intake tubes,investigates,1
barely capable,inspected,o - rings,investigates,1
became incredibly rough,completed installation,cylinder,addresses,1
became incredibly rough,leak and operations checked,aircraft,investigates,1
became incredibly rough,leak and operations checked,cylinder,investigates,1
became incredibly rough,ran,aircraft,investigates,1
became incredibly rough,ran,cylinder,investigates,1
became rough,disconnected,fuel distributor line,investigates,1
became rough,dry tappet clearance check,cylinder,investigates,1
became rough,mags check,aircraft,investigates,1
became rough,mags check,magneto,investigates,1
became rough,power and leak check,magneto,investigates,1
became rough,ran,aircraft,investigates,1
began to struggle,ground run,,investigates,1
began to struggle,ran,engine,investigates,1
began to struggle,verified,engine,investigates,1
bend,put,baffle tensioner wire,addresses,1
bent,checked,,investigates,1
bent,installed,,addresses,1
bent,installed,push rod tube,addresses,1
bent,reinstalled,,addresses,1
bent,straightened,baffle,addresses,1
bounces,insp,engine,investigates,1
bounces,replaced,cht probe,addresses,1
briefly lose,run up,cylinder,investigates,1
briefly lose,run up,engine,investigates,1
briefly lose,run up,plug,investigates,1
broke,installed,baffle tie rod,addresses,1
broke,replaced,,addresses,1
broke,repositioning,,addresses,1
broke off,accessed,cylinder,investigates,1
broke off,installed,accessories,addresses,1
broke off,installed,cylinder,addresses,1
broken,drilled,baffle,addresses,1
broken,drilled,tie rod hole,addresses,1
broken,fabricated,baffle,addresses,1
broken,fabricated,baffle support bracket,addresses,1
broken,fabricated,brace,addresses,1
broken,found,ferrule,investigates,1
broken,found,manifold psi line,investigates,1
broken,inspected,baffle spring,investigates,1
broken,inspected,ferrule,investigates,1
broken,inspected,manifold psi line,investigates,1
broken,installed,,addresses,1
broken,installed,baffle,addresses,1
broken,installed,baffle crosstie,addresses,1
broken,installed,baffle spring,addresses,1
broken,installed,baffle support,addresses,1
broken,installed,baffle tie rod,addresses,1
broken,installed,baffle tie wire,addresses,1
broken,installed,bracket,addresses,1
broken,installed,clamp,addresses,1
broken,installed,connecting rod,addresses,1
broken,installed,connection wire,addresses,1
broken,installed,engine baffling,addresses,1
broken,installed,hose clamp,addresses,1
broken,installed,like material,addresses,1
broken,installed,outer baffle tie,addresses,1
broken,installed,plug,addresses,1
broken,installed,plugs,addresses,1
broken,installed,rivets,addresses,1
broken,installed,rocker shaft thrust button,addresses,1
broken,installed,serviceable bracket,addresses,1
broken,installed,spring,addresses,1
broken,installed,standoff,addresses,1
broken,installed,standoffs,addresses,1
broken,installed,tension cable,addresses,1
broken,installed,tie rod hole,addresses,1
broken,installed,tie rods,addresses,1
broken,painted,like material,addresses,1
broken,re,baff,addresses,1
broken,re - riveted,baff,addresses,1
broken,reinstalled,baffle,addresses,1
broken,repaired,rod,addresses,1
broken,replaced,,addresses,1
broken,replaced,anchor stand assembly,addresses,1
broken,replaced,anchors,addresses,1
broken,replaced,baffle connecting rod,addresses,1
broken,replaced,baffle connecting spring,addresses,1
broken,replaced,baffle interconnect rod,addresses,1
broken,replaced,baffle mounting bracket,addresses,1
broken,replaced,baffle rod,addresses,1
broken,replaced,baffle support fastener,addresses,1
broken,replaced,baffle support rod,addresses,1
broken,replaced,bolt,addresses,1
broken,replaced,button plugs,addresses,1
broken,replaced,cam lock,addresses,1
broken,replaced,carb heat shroud,addresses,1
broken,replaced,cowl,addresses,1
broken,replaced,cylinder anchor assembly,addresses,1
broken,replaced,fastener,addresses,1
broken,replaced,interbaffle rod fastener,addresses,1
broken,replaced,interconnect rod,addresses,1
broken,replaced,intercylinder baffle rod,addresses,1
broken,replaced,like material,addresses,1
broken,replaced,manifold psi line,addresses,1
broken,replaced,part,addresses,1
broken,replaced,plastic holder,addresses,1
broken,replaced,rivet,addresses,1
broken,replaced,rocker shaft plugs,addresses,1
broken,replaced,screen,addresses,1
broken,replaced,screw,addresses,1
broken,replaced,spacers,addresses,1
broken,replaced,spring connector,addresses,1
broken,replaced,spring wire,addresses,1
broken,replaced,stack,addresses,1
broken,replaced,standoffs,addresses,1
broken,replaced,thrust button,addresses,1
broken,replaced,thrust buttons,addresses,1
broken,replaced,tie rods,addresses,1
broken,replaced,wire spring,addresses,1
broken,replaced,zip ties,addresses,1
broken,resafetied,intercylinder baffle,addresses,1
broken,rethreaded,,addresses,1
broken,riveted,baff,addresses,1
broken,secured,,addresses,1
broken,secured,safety wire,addresses,1
broken,secured,spiral wrap,addresses,1
broken,secured,tie rod,addresses,1
broken,secured,wires,addresses,1
broken off,installed,baffle plug,addresses,1
broken off,installed,baffle plugs,addresses,1
broken off,installed,engine,addresses,1
broken off,installed,plugs,addresses,1
burned,borescoped,engine,investigates,1
burned,borescoped,exhaust valve,investigates,1
burnt,fitted,exhaust,addresses,1
burnt,inspected,engine,investigates,1
burnt,inspected,exhaust valve,investigates,1
burnt,lapped,exhaust,addresses,1
burnt,replaced,cylinder,addresses,1
burnt,replaced,valve,addresses,1
burnt,verified,exhaust valve,investigates,1
but ran very rough,compression check,,investigates,1
but ran very rough,confirmed,aircraft,investigates,1
but ran very rough,ran,aircraft,investigates,1
came into cont,replacement,cylinder,addresses,1
came into cont,replacement,piston,addresses,1
canned,installed,gasket,addresses,1
canned,installed,intake tube,addresses,1
canned,installed,o - ring,addresses,1
chafed,applied,baffle seal,addresses,1
chafed,applied,silicone,addresses,1
chafed,check,oil drain tubes,investigates,1
chafed,cleaned,pressure tube,addresses,1
chafed,removed,hardened chafe wrap,addresses,1
chafed,replaced,baffle,addresses,1
chafed,repositioned,,addresses,1
chafing,adjusted,oil return line,addresses,1
chafing,adjusted,tie rod,addresses,1
chafing,applied,chafe tape,addresses,1
chafing,applied,high temperature silicone,addresses,1
chafing,applied,oil cooler line,addresses,1
chafing,applied,oil return line,addresses,1
chafing,applied,panel,addresses,1
chafing,applied,sealant,addresses,1
chafing,applied,spiral wrap,addresses,1
chafing,applied,starter wire,addresses,1
chafing,applied,throttle cable,addresses,1
chafing,applied,vacuum pump cooling duct,addresses,1
chafing,inspected,baffle spring,investigates,1
chafing,inspected,fuel pump,investigates,1
chafing,inspected,line,investigates,1
chafing,inspected,lines,investigates,1
chafing,inspected,return line,investigates,1
chafing,installed,baffling seal,addresses,1
chafing,installed,oil cooler line,addresses,1
chafing,installed,oil return line,addresses,1
chafing,installed,rocker drain line,addresses,1
chafing,installed,rtv,addresses,1
chafing,installed,rtv silicone,addresses,1
chafing,put,baffle tensioner wire,addresses,1
chafing,reinstall,rubber baffle,addresses,1
chafing,replaced,line,addresses,1
chafing,replaced,oil drain line,addresses,1
chafing,replaced,oil line,addresses,1
chafing,replaced,oil return line,addresses,1
chafing,replaced,primer line sleeve,addresses,1
chafing,replaced,tension wire,addresses,1
chafing,replaced,tube,addresses,1
chafing,repositioned,alternator,addresses,1
chafing,repositioned,cooling hose,addresses,1
chafing,repositioned,tie rod,addresses,1
chafing,resafetied,line,addresses,1
chafing damage,inspected,intake tube,investigates,1
chafing damage,inspected,primer line,investigates,1
chafing through,resafetied,plugs,addresses,1
choke,run up,cylinder,investigates,1
choke,run up,engine,investigates,1
choke,run up,plug,investigates,1
choked,checked,engine,investigates,1
choked,run up,engine,investigates,1
click,started,aircraft,investigates,1
clicking noise,inspected,cabin area,investigates,1
clicking noise,inspected,engine,investigates,1
co level high warning came on,checks,aircraft,investigates,1
co level high warning came on,ran,aircraft,investigates,1
co warning came o,ran up,aircraft,investigates,1
cold,leak check,engine,investigates,1
collecting,began visual insp,,investigates,1
collecting,inspected,,investigates,1
collecting,ran,,investigates,1
collecting,replaced,engine breather fitting,addresses,1
collecting,replaced,o - ring,addresses,1
coming from exhaust,installed,,addresses,1
coming from exhaust,leak check,aircraft,investigates,1
coming loose,applied,sealant,addresses,1
coming loose,resecured,baffle seal,addresses,1
coming loose,resecured,cowl seal,addresses,1
coming loose,resecured,seal,addresses,1
coming off,refastened,baffle seal,addresses,1
coming out,ground run,cowling,investigates,1
coming out,leak check,cowling,investigates,1
coming out,ran up,aircraft,investigates,1
coming out,verified,,investigates,1
contact,found,exhaust valve,investigates,1
contact,found,piston,investigates,1
contacted,inspected,exhaust valve,investigates,1
contacted,inspected,piston,investigates,1
corroded,replaced,washer,addresses,1
coughed,ran,engine,investigates,1
coughed often,checked,push rod,investigates,1
coughed often,finished reinstallation,plugs,addresses,1
coughed often,finished reinstallation,rocker cov,addresses,1
coughed often,ground run,,investigates,1
coughed often,installed,exhaust valve,addresses,1
coughed often,installed,push rod,addresses,1
coughed often,ran,engine,investigates,1
coughed often,reinstalled,push rod seals,addresses,1
coughed often,verified,engine,investigates,1
could not restart,started,aircraft,investigates,1
could not start,adju,engine,addresses,1
could not start,ground run,engine,investigates,1
could not start,ran,aircraft,investigates,1
crack,applied,sealant,addresses,1
crack,complied,baffle,investigates,1
crack,determined,,investigates,1
crack,dye pe insp,cylinder,investigates,1
crack,dye pe insp,intake port,investigates,1
crack,fabricated,2024 t 3 . 040 aluminum,addresses,1
crack,fabricated,doubler,addresses,1
crack,insp,paint,investigates,1
crack,inspected,cylinder,investigates,1
crack,installed,like material,addresses,1
crack,installed,patch same material,addresses,1
crack,installed,wide area washer,addresses,1
crack,installing,,addresses,1
crack,observed,cowl,investigates,1
crack,observed,spark plug leads,investigates,1
crack,patched,baffle,addresses,1
crack,repaired,baffle,addresses,1
crack,replaced,baffle seal,addresses,1
crack,replaced,bracket,addresses,1
crack,replaced,elbow,addresses,1
crack,stop drilled,90 degrees bracket,addresses,1
crack,stop drilled,attach bolt,addresses,1
crack,stop drilled,baffle bracket,addresses,1
crack,stop drilled,baffle center,addresses,1
crack,stop drilled,baffle corner,addresses,1
crack,stop drilled,baffle seal,addresses,1
crack,stop drilled,baffling bracket,addresses,1
crack,stop drilled,bolt,addresses,1
crack,stop drilled,brace,addresses,1
crack,stop drilled,cowling baffle,addresses,1
crack,stop drilled,cylinder outer baffling,addresses,1
crack,stop drilled,doubler plate,addresses,1
crack,stop drilled,nutplate,addresses,1
crack,stop drilled,patch,addresses,1
crack,verified,cylinder,investigates,1
cracked,assembled,bracket,addresses,1
cracked,began fabricating,patches,addresses,1
cracked,began replacing,cylinder,addresses,1
cracked,change,cylinder,investigates,1
cracked,cleaned up,edges,addresses,1
cracked,clearance check,push rods,investigates,1
cracked,clearance check,rockers,investigates,1
cracked,completed installation,cylinder,addresses,1
cracked,complied,baffle,investigates,1
cracked,compression test,cylinder,investigates,1
cracked,continued repairing,baffles,addresses,1
cracked,determined,,investigates,1
cracked,drilled off,baffle,addresses,1
cracked,drilled out,rivets,addresses,1
cracked,dry tappet cl,cylinder,investigates,1
cracked,dry tappet cl,cylinders,investigates,1
cracked,fabricated,baffle,addresses,1
cracked,fabricated,baffle bracket,addresses,1
cracked,fabricated,baffle connector plate,addresses,1
cracked,fabricated,baffle patch,addresses,1
cracked,fabricated,baffle support,addresses,1
cracked,fabricated,like material referencing,addresses,1
