node_id,label,type,mention_count,record_count
LOC:number 3 and 4,number 3 and 4,LOC,161,138
TECH_OBS:compression,compression,TECH_OBS,123,122
ABN_PROC:leaks,leaks,ABN_PROC,111,111
ACTION:secured,secured,ACTION,117,99
MAINT_ITEM:baffle plugs,baffle plugs,MAINT_ITEM,156,97
ACTION:fabricated,fabricated,ACTION,96,96
ACTION:inspected,inspected,ACTION,95,95
MAINT_ITEM:screws,screws,MAINT_ITEM,104,93
ACTION:reinstalled,reinstalled,ACTION,95,92
ACTION:resecured,resecured,ACTION,96,92
LOC:rear,rear,LOC,101,91
MAINT_ITEM:patch,patch,MAINT_ITEM,101,90
MAINT_ITEM:baffle plug,baffle plug,MAINT_ITEM,127,87
MAINT_ITEM:exhaust valve,exhaust valve,MAINT_ITEM,86,84
MAINT_ITEM:oil cooler,oil cooler,MAINT_ITEM,99,84
MAINT_ITEM:rivets,rivets,MAINT_ITEM,115,81
LOC:lower,lower,LOC,86,80
LOC:number 1 and 3,number 1 and 3,LOC,88,76
MAINT_ITEM:baffle screw,baffle screw,MAINT_ITEM,85,75
MAINT_ITEM:oil,oil,MAINT_ITEM,78,72
LOC:top,top,LOC,79,70
MAINT_ITEM:intake tube,intake tube,MAINT_ITEM,85,70
MAINT_ITEM:baffling,baffling,MAINT_ITEM,71,69
MAINT_ITEM:seal,seal,MAINT_ITEM,76,68
MAINT_ITEM:rocker gaskets,rocker gaskets,MAINT_ITEM,75,67
LOC:front,front,LOC,76,66
"LOC:number 2 , 3 and 4","number 2 , 3 and 4",LOC,70,66
LOC:side,side,LOC,67,64
ABN_PROC:leak,leak,ABN_PROC,63,63
MAINT_ITEM:bolt,bolt,MAINT_ITEM,90,63
ACTION:started,started,ACTION,63,62
ACTION:ran up,ran up,ACTION,61,61
MAINT_ITEM:rivet,rivet,MAINT_ITEM,82,59
FAULT:torn,torn,FAULT,62,58
MAINT_ITEM:induction tube gasket,induction tube gasket,MAINT_ITEM,87,58
ACTION:torqued,torqued,ACTION,57,57
FAULT:failed,failed,FAULT,57,57
MAINT_ITEM:like material,like material,MAINT_ITEM,57,57
ACTION:operations,operations,ACTION,56,56
LOC:above,above,LOC,60,56
"LOC:number 2 , 3 , 4","number 2 , 3 , 4",LOC,59,56
MAINT_ITEM:baffles,baffles,MAINT_ITEM,57,56
FAULT:damaged,damaged,FAULT,55,55
ACTION:adjusted,adjusted,ACTION,57,54
LOC:behind,behind,LOC,53,53
LOC:right-hand side,right-hand side,LOC,56,52
MAINT_ITEM:intake tube gasket,intake tube gasket,MAINT_ITEM,59,51
MAINT_ITEM:rocker gasket,rocker gasket,MAINT_ITEM,55,51
ACTION:operations check,operations check,ACTION,48,48
ACTION:applied,applied,ACTION,47,47
MAINT_ITEM:exhaust,exhaust,MAINT_ITEM,50,47
LOC:left,left,LOC,49,46
FAULT:sheared,sheared,FAULT,51,45
MAINT_ITEM:plug,plug,MAINT_ITEM,47,44
MAINT_ITEM:plugs,plugs,MAINT_ITEM,46,44
ABN_PROC:overspeed,overspeed,ABN_PROC,54,43
MAINT_ITEM:bracket,bracket,MAINT_ITEM,49,43
MAINT_ITEM:propeller,propeller,MAINT_ITEM,43,43
ACTION:ground run,ground run,ACTION,42,42
LOC:number 1 and 2,number 1 and 2,LOC,44,40
MAINT_ITEM:baffle tie rod,baffle tie rod,MAINT_ITEM,48,40
MAINT_ITEM:baffle bracket,baffle bracket,MAINT_ITEM,43,39
ABN_PROC:chafing,chafing,ABN_PROC,38,38
LOC:left-hand side,left-hand side,LOC,41,37
"LOC:number 2 , 4","number 2 , 4",LOC,42,37
OUTCOME:ok,ok,OUTCOME,38,37
MAINT_ITEM:cylinder assembly,cylinder assembly,MAINT_ITEM,42,36
MAINT_ITEM:hardware,hardware,MAINT_ITEM,50,36
MAINT_ITEM:rtv,rtv,MAINT_ITEM,40,36
"LOC:2 , 3 and 4","2 , 3 and 4",LOC,33,32
MAINT_ITEM:magneto,magneto,MAINT_ITEM,34,32
ACTION:repair,repair,ACTION,33,31
FAULT:dirty,dirty,FAULT,31,31
LOC:inboard,inboard,LOC,32,31
REFERENCE:lycoming,lycoming,REFERENCE,31,31
ACTION:reattached,reattached,ACTION,29,29
ACTION:repositioned,repositioned,ACTION,32,29
LOC:back,back,LOC,34,29
LOC:number 1 and 4,number 1 and 4,LOC,36,29
MAINT_ITEM:oil return line,oil return line,MAINT_ITEM,37,29
OUTCOME:no defects noted,no defects noted,OUTCOME,29,29
ABN_PROC:ran rough,ran rough,ABN_PROC,27,27
ACTION:checked,checked,ACTION,27,27
ACTION:repaired,repaired,ACTION,27,27
ACTION:run up,run up,ACTION,28,27
ACTION:sealed,sealed,ACTION,29,27
MAINT_ITEM:cylinders,cylinders,MAINT_ITEM,28,27
MAINT_ITEM:rocker box cover screws,rocker box cover screws,MAINT_ITEM,30,27
MAINT_ITEM:valve,valve,MAINT_ITEM,29,27
OP_CTX:on run up,on run up,OP_CTX,28,27
ACTION:changed,changed,ACTION,27,26
"LOC:number 3 , 4","number 3 , 4",LOC,27,26
MAINT_ITEM:cowling,cowling,MAINT_ITEM,27,26
MAINT_ITEM:rocker box cover gasket,rocker box cover gasket,MAINT_ITEM,33,26
MAINT_ITEM:throttle,throttle,MAINT_ITEM,26,26
"LOC:number 2 , 3","number 2 , 3",LOC,30,25
LOC:right,right,LOC,27,25
ABN_PROC:roughness,roughness,ABN_PROC,24,24
ACTION:maintenance flight,maintenance flight,ACTION,26,24
ACTION:staked,staked,ACTION,24,24
MAINT_ITEM:alternator,alternator,MAINT_ITEM,27,24
MAINT_ITEM:baffle seals,baffle seals,MAINT_ITEM,34,24
MAINT_ITEM:clamps,clamps,MAINT_ITEM,31,24
MAINT_ITEM:cowl,cowl,MAINT_ITEM,26,24
MAINT_ITEM:piston,piston,MAINT_ITEM,28,24
MAINT_ITEM:tie rod,tie rod,MAINT_ITEM,25,24
TECH_OBS:rpm,rpm,TECH_OBS,24,24
ABN_PROC:vibration,vibration,ABN_PROC,24,23
ACTION:start assist,start assist,ACTION,23,23
LOC:forward lower,forward lower,LOC,25,23
MAINT_ITEM:oil filler tube,oil filler tube,MAINT_ITEM,28,23
FAULT:no compression,no compression,FAULT,22,22
LOC:bottom,bottom,LOC,23,22
MAINT_ITEM:hose clamps,hose clamps,MAINT_ITEM,40,22
MAINT_ITEM:rocker cover screws,rocker cover screws,MAINT_ITEM,26,22
ABN_PROC:rough,rough,ABN_PROC,22,21
ACTION:riveted,riveted,ACTION,21,21
LOC:outboard,outboard,LOC,22,21
MAINT_ITEM:rocker box cover gaskets,rocker box cover gaskets,MAINT_ITEM,24,21
MAINT_ITEM:sniffler valves,sniffler valves,MAINT_ITEM,34,21
LOC:2 and 4,2 and 4,LOC,21,20
MAINT_ITEM:baffle spring,baffle spring,MAINT_ITEM,27,20
MAINT_ITEM:bolts,bolts,MAINT_ITEM,25,20
OP_CTX:in flight,in flight,OP_CTX,20,20
TECH_OBS:idle,idle,TECH_OBS,20,20
ACTION:compression check,compression check,ACTION,19,19
FAULT:stuck,stuck,FAULT,20,19
MAINT_ITEM:induction tube,induction tube,MAINT_ITEM,19,19
MAINT_ITEM:push rod,push rod,MAINT_ITEM,23,19
MAINT_ITEM:valves,valves,MAINT_ITEM,19,19
OP_CTX:during run up,during run up,OP_CTX,19,19
ABN_PROC:oil leak,oil leak,ABN_PROC,19,18
ACTION:checks,checks,ACTION,18,18
ACTION:disassembled,disassembled,ACTION,18,18
ACTION:replacement,replacement,ACTION,18,18
FAULT:cracks,cracks,FAULT,22,18
MAINT_ITEM:clamp,clamp,MAINT_ITEM,22,18
MAINT_ITEM:engines,engines,MAINT_ITEM,21,18
MAINT_ITEM:lines,lines,MAINT_ITEM,18,18
ABN_PROC:rough running,rough running,ABN_PROC,17,17
ACTION:complied,complied,ACTION,17,17
ACTION:disconnected,disconnected,ACTION,17,17
ACTION:reamed,reamed,ACTION,17,17
ACTION:safetied,safetied,ACTION,18,17
ACTION:verified,verified,ACTION,17,17
"LOC:number 1 , 2 , 3 and 4","number 1 , 2 , 3 and 4",LOC,17,17
"LOC:number 1 , 3","number 1 , 3",LOC,18,17
MAINT_ITEM:case,case,MAINT_ITEM,17,17
MAINT_ITEM:pop rivets,pop rivets,MAINT_ITEM,17,17
OUTCOME:no defects,no defects,OUTCOME,17,17
ABN_PROC:running rough,running rough,ABN_PROC,16,16
ABN_PROC:seeping,seeping,ABN_PROC,16,16
FAULT:pulled through,pulled through,FAULT,16,16
MAINT_ITEM:oil sump,oil sump,MAINT_ITEM,18,16
TECH_OBS:idle speed,idle speed,TECH_OBS,18,16
ACTION:operations checked,operations checked,ACTION,15,15
FAULT:bad,bad,FAULT,15,15
"LOC:number 1 , 2 , 4","number 1 , 2 , 4",LOC,17,15
MAINT_ITEM:baffle tie,baffle tie,MAINT_ITEM,25,15
MAINT_ITEM:cylinder baffling,cylinder baffling,MAINT_ITEM,15,15
MAINT_ITEM:nut,nut,MAINT_ITEM,22,15
MAINT_ITEM:push rod tube,push rod tube,MAINT_ITEM,17,15
MAINT_ITEM:tabs,tabs,MAINT_ITEM,15,15
ACTION:confirmed,confirmed,ACTION,14,14
ACTION:remove,remove,ACTION,14,14
ACTION:serviced,serviced,ACTION,14,14
LOC:cooling,cooling,LOC,16,14
"LOC:number 1 , 2 and 4","number 1 , 2 and 4",LOC,14,14
"LOC:number 1 , 3 and 4","number 1 , 3 and 4",LOC,15,14
MAINT_ITEM:black seal,black seal,MAINT_ITEM,15,14
MAINT_ITEM:crankshaft,crankshaft,MAINT_ITEM,22,14
MAINT_ITEM:fod,fod,MAINT_ITEM,26,14
MAINT_ITEM:line,line,MAINT_ITEM,15,14
ACTION:inspection,inspection,ACTION,13,13
ACTION:leak checked,leak checked,ACTION,14,13
ACTION:resafetied,resafetied,ACTION,13,13
LOC:number 3 and 2,number 3 and 2,LOC,14,13
LOC:upper,upper,LOC,13,13
MAINT_ITEM:baffle mounting screw,baffle mounting screw,MAINT_ITEM,14,13
MAINT_ITEM:hole,hole,MAINT_ITEM,14,13
MAINT_ITEM:spark plug,spark plug,MAINT_ITEM,16,13
MAINT_ITEM:spring,spring,MAINT_ITEM,15,13
OUTCOME:could not duplicate discrepancy,could not duplicate discrepancy,OUTCOME,13,13
ABN_PROC:ran very rough,ran very rough,ABN_PROC,12,12
ACTION:insp,insp,ACTION,12,12
ACTION:patched,patched,ACTION,12,12
"LOC:number 1 , 2 and 3","number 1 , 2 and 3",LOC,12,12
MAINT_ITEM:backbone,backbone,MAINT_ITEM,12,12
MAINT_ITEM:baffle section,baffle section,MAINT_ITEM,12,12
MAINT_ITEM:cowl seal,cowl seal,MAINT_ITEM,16,12
MAINT_ITEM:intake tube gaskets,intake tube gaskets,MAINT_ITEM,13,12
MAINT_ITEM:seals,seals,MAINT_ITEM,13,12
MAINT_ITEM:silicone gasket,silicone gasket,MAINT_ITEM,12,12
MAINT_ITEM:spark plugs,spark plugs,MAINT_ITEM,12,12
MAINT_ITEM:standoff,standoff,MAINT_ITEM,16,12
ABN_PROC:quit,quit,ABN_PROC,11,11
ABN_PROC:rubbing,rubbing,ABN_PROC,11,11
ABN_PROC:runs rough,runs rough,ABN_PROC,11,11
ACTION:completed installation,completed installation,ACTION,11,11
ACTION:disassembly,disassembly,ACTION,11,11
ACTION:found,found,ACTION,12,11
ACTION:preserved,preserved,ACTION,11,11
ACTION:washed,washed,ACTION,11,11
LOC:1 and 3,1 and 3,LOC,11,11
LOC:2 and 3,2 and 3,LOC,13,11
MAINT_ITEM:adel clamp,adel clamp,MAINT_ITEM,16,11
MAINT_ITEM:baffle patch,baffle patch,MAINT_ITEM,12,11
MAINT_ITEM:baffle plug hole,baffle plug hole,MAINT_ITEM,12,11
MAINT_ITEM:cht probe,cht probe,MAINT_ITEM,11,11
MAINT_ITEM:firewall,firewall,MAINT_ITEM,13,11
MAINT_ITEM:intake tubes,intake tubes,MAINT_ITEM,11,11
MAINT_ITEM:muffler,muffler,MAINT_ITEM,12,11
MAINT_ITEM:pop rivet,pop rivet,MAINT_ITEM,12,11
MAINT_ITEM:rocker,rocker,MAINT_ITEM,12,11
MAINT_ITEM:rod,rod,MAINT_ITEM,11,11
MAINT_ITEM:starter,starter,MAINT_ITEM,12,11
MAINT_ITEM:sump,sump,MAINT_ITEM,12,11
OP_CTX:after propeller strike,after propeller strike,OP_CTX,11,11
OP_CTX:at idle,at idle,OP_CTX,11,11
TECH_OBS:idle rpm,idle rpm,TECH_OBS,13,11
TECH_OBS:mixture,mixture,TECH_OBS,12,11
ABN_PROC:started running rough,started running rough,ABN_PROC,10,10
ACTION:completed reassembly,completed reassembly,ACTION,10,10
ACTION:determined,determined,ACTION,10,10
ACTION:drilled out,drilled out,ACTION,10,10
ACTION:replace,replace,ACTION,10,10
ACTION:reviewed,reviewed,ACTION,10,10
FAULT:burnt,burnt,FAULT,10,10
FAULT:damage,damage,FAULT,10,10
FAULT:metal found in oil,metal found in oil,FAULT,10,10
LOC:1,1,LOC,10,10
LOC:2,2,LOC,10,10
MAINT_ITEM:accessory case,accessory case,MAINT_ITEM,11,10
MAINT_ITEM:baffle mount,baffle mount,MAINT_ITEM,13,10
MAINT_ITEM:baffle support,baffle support,MAINT_ITEM,14,10
MAINT_ITEM:intake valve,intake valve,MAINT_ITEM,10,10
MAINT_ITEM:sealant,sealant,MAINT_ITEM,11,10
MAINT_ITEM:silicone,silicone,MAINT_ITEM,11,10
MAINT_ITEM:washer,washer,MAINT_ITEM,13,10
MAINT_ITEM:washers,washers,MAINT_ITEM,10,10
OP_CTX:after start,after start,OP_CTX,10,10
OP_CTX:during flight,during flight,OP_CTX,10,10
ABN_PROC:backfired,backfired,ABN_PROC,9,9
ABN_PROC:partial power loss,partial power loss,ABN_PROC,9,9
ABN_PROC:sticking,sticking,ABN_PROC,9,9
ABN_PROC:vibrations,vibrations,ABN_PROC,9,9
ACTION:install,install,ACTION,9,9
ACTION:magneto check,magneto check,ACTION,9,9
ACTION:overhaul,overhaul,ACTION,9,9
ACTION:reassembled,reassembled,ACTION,9,9
LOC:left side,left side,LOC,9,9
"LOC:number 1 , 3 , 4","number 1 , 3 , 4",LOC,9,9
MAINT_ITEM:air intake,air intake,MAINT_ITEM,10,9
MAINT_ITEM:cyls,cyls,MAINT_ITEM,9,9
MAINT_ITEM:engine mount,engine mount,MAINT_ITEM,11,9
MAINT_ITEM:fuel,fuel,MAINT_ITEM,9,9
MAINT_ITEM:injector,injector,MAINT_ITEM,9,9
MAINT_ITEM:nuts,nuts,MAINT_ITEM,9,9
MAINT_ITEM:oil return lines,oil return lines,MAINT_ITEM,9,9
MAINT_ITEM:oil seal,oil seal,MAINT_ITEM,10,9
MAINT_ITEM:push rods,push rods,MAINT_ITEM,10,9
MAINT_ITEM:rocker cover screw,rocker cover screw,MAINT_ITEM,11,9
MAINT_ITEM:safety wire,safety wire,MAINT_ITEM,9,9
MAINT_ITEM:tube,tube,MAINT_ITEM,10,9
OP_CTX:after engine start,after engine start,OP_CTX,9,9
OP_CTX:after start up,after start up,OP_CTX,9,9
OP_CTX:on start up,on start up,OP_CTX,9,9
TECH_OBS:2000 rpm,2000 rpm,TECH_OBS,9,9
TECH_OBS:compression 40 / 80,compression 40 / 80,TECH_OBS,9,9
TECH_OBS:idle mixture,idle mixture,TECH_OBS,10,9
TECH_OBS:magneto drop,magneto drop,TECH_OBS,9,9
ABN_PROC:high frequency vibration,high frequency vibration,ABN_PROC,8,8
ABN_PROC:running very rough,running very rough,ABN_PROC,8,8
ABN_PROC:shutdown,shutdown,ABN_PROC,8,8
ACTION:connected,connected,ACTION,8,8
ACTION:corrosion prevention,corrosion prevention,ACTION,8,8
ACTION:fitted,fitted,ACTION,11,8
"LOC:1 , 2 , 3 and 4","1 , 2 , 3 and 4",LOC,8,8
"LOC:2 , 3 , 4","2 , 3 , 4",LOC,8,8
LOC:near,near,LOC,8,8
"LOC:number 1 , 2","number 1 , 2",LOC,9,8
"LOC:number 1 , 2 , 3","number 1 , 2 , 3",LOC,8,8
LOC:number 4 and 3,number 4 and 3,LOC,8,8
MAINT_ITEM:baffle buttons,baffle buttons,MAINT_ITEM,11,8
MAINT_ITEM:black rtv,black rtv,MAINT_ITEM,8,8
MAINT_ITEM:covers,covers,MAINT_ITEM,8,8
MAINT_ITEM:crankshaft seal,crankshaft seal,MAINT_ITEM,9,8
MAINT_ITEM:data,data,MAINT_ITEM,9,8
MAINT_ITEM:dipstick tube,dipstick tube,MAINT_ITEM,10,8
MAINT_ITEM:doubler,doubler,MAINT_ITEM,10,8
MAINT_ITEM:engine baffling,engine baffling,MAINT_ITEM,9,8
MAINT_ITEM:exhaust push rod,exhaust push rod,MAINT_ITEM,8,8
MAINT_ITEM:hoses,hoses,MAINT_ITEM,8,8
MAINT_ITEM:muffler shroud,muffler shroud,MAINT_ITEM,8,8
MAINT_ITEM:oil cooler line,oil cooler line,MAINT_ITEM,9,8
MAINT_ITEM:wires,wires,MAINT_ITEM,8,8
MAINT_ITEM:wiring,wiring,MAINT_ITEM,9,8
OP_CTX:on start,on start,OP_CTX,8,8
OP_CTX:while running up,while running up,OP_CTX,8,8
TECH_OBS:0 / 80,0 / 80,TECH_OBS,8,8
TECH_OBS:specs,specs,TECH_OBS,8,8
ABN_PROC:air coming out exhaus,air coming out exhaus,ABN_PROC,7,7
ABN_PROC:rpm dropped,rpm dropped,ABN_PROC,7,7
ABN_PROC:shaking,shaking,ABN_PROC,7,7
ABN_PROC:unusually rough,unusually rough,ABN_PROC,7,7
ABN_PROC:wearing,wearing,ABN_PROC,7,7
ACTION:change,change,ACTION,7,7
ACTION:compression test,compression test,ACTION,7,7
ACTION:downloaded,downloaded,ACTION,7,7
ACTION:drilled,drilled,ACTION,7,7
ACTION:resealed,resealed,ACTION,7,7
ACTION:routed,routed,ACTION,7,7
ACTION:time change,time change,ACTION,7,7
ACTION:warmed,warmed,ACTION,7,7
FAULT:bent,bent,FAULT,7,7
FAULT:gouged,gouged,FAULT,7,7
FAULT:inoperable,inoperable,FAULT,7,7
"LOC:1 , 2 and 3","1 , 2 and 3",LOC,7,7
LOC:3 and 4,3 and 4,LOC,7,7
"LOC:number 1 , 4","number 1 , 4",LOC,8,7
LOC:number 2 and 1,number 2 and 1,LOC,7,7
MAINT_ITEM:baffle rod,baffle rod,MAINT_ITEM,7,7
MAINT_ITEM:baffle screws,baffle screws,MAINT_ITEM,7,7
MAINT_ITEM:baffle seal rivet,baffle seal rivet,MAINT_ITEM,7,7
MAINT_ITEM:baffle support bracket,baffle support bracket,MAINT_ITEM,7,7
MAINT_ITEM:dipstick,dipstick,MAINT_ITEM,10,7
MAINT_ITEM:grommet,grommet,MAINT_ITEM,12,7
MAINT_ITEM:high temperature silicone,high temperature silicone,MAINT_ITEM,7,7
MAINT_ITEM:mineral oil,mineral oil,MAINT_ITEM,7,7
MAINT_ITEM:oil coolers,oil coolers,MAINT_ITEM,11,7
MAINT_ITEM:oil line,oil line,MAINT_ITEM,7,7
MAINT_ITEM:patches,patches,MAINT_ITEM,7,7
MAINT_ITEM:primer line,primer line,MAINT_ITEM,9,7
MAINT_ITEM:rocker arm,rocker arm,MAINT_ITEM,11,7
MAINT_ITEM:rockers,rockers,MAINT_ITEM,8,7
MAINT_ITEM:vacuum pump,vacuum pump,MAINT_ITEM,7,7
OP_CTX:on engine start,on engine start,OP_CTX,7,7
OUTCOME:could not duplicate,could not duplicate,OUTCOME,7,7
TECH_OBS:8 quarts,8 quarts,TECH_OBS,7,7
ABN_PROC:died,died,ABN_PROC,6,6
ABN_PROC:oversped,oversped,ABN_PROC,6,6
ABN_PROC:would not start,would not start,ABN_PROC,6,6
ACTION:clearance check,clearance check,ACTION,6,6
ACTION:operations and leak checked,operations and leak checked,ACTION,6,6
ACTION:prepped,prepped,ACTION,6,6
ACTION:reinstall,reinstall,ACTION,6,6
ACTION:seasonal adjustment,seasonal adjustment,ACTION,6,6
FAULT:elongated,elongated,FAULT,6,6
FAULT:scored,scored,FAULT,6,6
FAULT:worn through,worn through,FAULT,6,6
LOC:exhaust side,exhaust side,LOC,6,6
LOC:lower forward,lower forward,LOC,6,6
"LOC:number 1 , 2 , 3 , 4","number 1 , 2 , 3 , 4",LOC,6,6
LOC:under,under,LOC,6,6
MAINT_ITEM:baffle bolt,baffle bolt,MAINT_ITEM,7,6
MAINT_ITEM:baffle support rod,baffle support rod,MAINT_ITEM,6,6
MAINT_ITEM:baffle tab,baffle tab,MAINT_ITEM,7,6
MAINT_ITEM:baffle wire,baffle wire,MAINT_ITEM,6,6
MAINT_ITEM:c clip,c clip,MAINT_ITEM,6,6
MAINT_ITEM:chafe tape,chafe tape,MAINT_ITEM,9,6
MAINT_ITEM:cover,cover,MAINT_ITEM,6,6
MAINT_ITEM:engine assembly,engine assembly,MAINT_ITEM,7,6
MAINT_ITEM:exhaust stack,exhaust stack,MAINT_ITEM,6,6
MAINT_ITEM:exhaust va,exhaust va,MAINT_ITEM,6,6
MAINT_ITEM:exhaust valves,exhaust valves,MAINT_ITEM,6,6
MAINT_ITEM:fdm data,fdm data,MAINT_ITEM,6,6
MAINT_ITEM:holes,holes,MAINT_ITEM,6,6
MAINT_ITEM:induction tube gaskets,induction tube gaskets,MAINT_ITEM,9,6
MAINT_ITEM:lacing cord,lacing cord,MAINT_ITEM,7,6
MAINT_ITEM:oil screen,oil screen,MAINT_ITEM,6,6
MAINT_ITEM:oil tube,oil tube,MAINT_ITEM,6,6
MAINT_ITEM:rocker box covers,rocker box covers,MAINT_ITEM,6,6
MAINT_ITEM:rocker drain line,rocker drain line,MAINT_ITEM,8,6
MAINT_ITEM:rocker drain lines,rocker drain lines,MAINT_ITEM,6,6
MAINT_ITEM:sd card,sd card,MAINT_ITEM,6,6
MAINT_ITEM:throttl,throttl,MAINT_ITEM,6,6
MAINT_ITEM:upper baffle,upper baffle,MAINT_ITEM,6,6
OP_CTX:ground ref man,ground ref man,OP_CTX,6,6
REFERENCE:lycoming overhaul manual,lycoming overhaul manual,REFERENCE,6,6
TECH_OBS:1600 rpm,1600 rpm,TECH_OBS,6,6
TECH_OBS:compression 15 / 80,compression 15 / 80,TECH_OBS,6,6
TECH_OBS:compression 20 / 80,compression 20 / 80,TECH_OBS,6,6
TECH_OBS:momentary,momentary,TECH_OBS,6,6
ABN_PROC:backfired when,backfired when,ABN_PROC,5,5
ABN_PROC:began to struggle,began to struggle,ABN_PROC,5,5
ABN_PROC:came into cont,came into cont,ABN_PROC,5,5
ABN_PROC:coughed often,coughed often,ABN_PROC,5,5
ABN_PROC:dropped,dropped,ABN_PROC,5,5
ABN_PROC:exceeded,exceeded,ABN_PROC,5,5
ABN_PROC:leaking through,leaking through,ABN_PROC,5,5
ABN_PROC:sputtering,sputtering,ABN_PROC,5,5
ABN_PROC:very rough,very rough,ABN_PROC,5,5
ABN_PROC:vibrating,vibrating,ABN_PROC,5,5
ABN_PROC:won ' t start,won ' t start,ABN_PROC,5,5
ACTION:break - in flight,break - in flight,ACTION,5,5
ACTION:check,check,ACTION,5,5
ACTION:completed install,completed install,ACTION,5,5
ACTION:filled,filled,ACTION,5,5
ACTION:fogging,fogging,ACTION,5,5
ACTION:ground,ground,ACTION,5,5
ACTION:ground ran,ground ran,ACTION,5,5
ACTION:honed,honed,ACTION,5,5
ACTION:installation,installation,ACTION,5,5
ACTION:lapped,lapped,ACTION,5,5
ACTION:mixture check,mixture check,ACTION,5,5
ACTION:painted,painted,ACTION,5,5
ACTION:performed,performed,ACTION,5,5
ACTION:pulled,pulled,ACTION,5,5
ACTION:reconnected,reconnected,ACTION,5,5
ACTION:rerouted,rerouted,ACTION,5,5
ACTION:reswaged,reswaged,ACTION,5,5
ACTION:run,run,ACTION,5,5
ACTION:test flight,test flight,ACTION,6,5
ACTION:timed,timed,ACTION,5,5
FAULT:chafed,chafed,FAULT,5,5
FAULT:dead,dead,FAULT,5,5
FAULT:no tem,no tem,FAULT,5,5
FAULT:stripped,stripped,FAULT,5,5
FAULT:timed out,timed out,FAULT,5,5
LOC:1 and 4,1 and 4,LOC,6,5
LOC:inner,inner,LOC,5,5
LOC:number 2 and 4 side,number 2 and 4 side,LOC,5,5
LOC:number 4 and 2,number 4 and 2,LOC,5,5
LOC:outer,outer,LOC,5,5
MAINT_ITEM:air filter,air filter,MAINT_ITEM,6,5
MAINT_ITEM:alternator belt,alternator belt,MAINT_ITEM,5,5
MAINT_ITEM:baff,baff,MAINT_ITEM,5,5
MAINT_ITEM:baffle assembly,baffle assembly,MAINT_ITEM,5,5
MAINT_ITEM:baffle mounting bracket,baffle mounting bracket,MAINT_ITEM,6,5
MAINT_ITEM:baffle tie wire,baffle tie wire,MAINT_ITEM,7,5
MAINT_ITEM:brace,brace,MAINT_ITEM,5,5
MAINT_ITEM:carb airbox,carb airbox,MAINT_ITEM,6,5
MAINT_ITEM:case halves,case halves,MAINT_ITEM,5,5
MAINT_ITEM:connecting rod,connecting rod,MAINT_ITEM,5,5
MAINT_ITEM:connecting rod exchange,connecting rod exchange,MAINT_ITEM,5,5
MAINT_ITEM:crankcase,crankcase,MAINT_ITEM,5,5
MAINT_ITEM:drain line,drain line,MAINT_ITEM,7,5
MAINT_ITEM:egt,egt,MAINT_ITEM,6,5
MAINT_ITEM:exhaust valve guides,exhaust valve guides,MAINT_ITEM,5,5
MAINT_ITEM:fastener,fastener,MAINT_ITEM,5,5
