issue,context,record_count
vibration,on departure climbout,1
vibration,on downwind,1
vibration,upon post,1
vibration,with increasing power,1
vibrations,on start up,1
wants to die,after start up,1
whistling noise,on run up,1
won ' t go any higher,doing max perform takeoff at 3200,1
would fluctuate,at hover,1
would increase significantly,during entire flight,1
would intermittently lose,during flight,1
would not stay open,during flight,1
would quit,when leaning out,1
would rise,during run up,1
would sputter,going from idle,1
would start to quit,while adjusting mixture,1
would turn twice,during start up,1
