source,relation,target,record_count
ACTION:removed,ACTION_ON_ITEM,MAINT_ITEM:rocker gaskets,16
ACTION:replaced,ACTION_ON_ITEM,MAINT_ITEM:rivet,16
ACTION:tightened,ACTION_ON_ITEM,MAINT_ITEM:clamps,16
MAINT_ITEM:baffle,HAS_LOCATION,LOC:right-hand side,16
MAINT_ITEM:baffle bracket,HAS_LOCATION,LOC:aft,16
MAINT_ITEM:baffle seal,HAS_LOCATION,LOC:side,16
MAINT_ITEM:intake gaskets,HAS_LOCATION,"LOC:number 2 , 3 and 4",16
MAINT_ITEM:intakes,HAS_LOCATION,LOC:2 and 4,16
MAINT_ITEM:magneto,HAS_LOCATION,LOC:left-hand,16
MAINT_ITEM:induction tube,HAS_PART,MAINT_ITEM:hose clamps,16
FAULT:failed,ISSUE_ON_ITEM,MAINT_ITEM:exhaust valve,16
ABN_PROC:running rough,ISSUE_ON_ITEM,MAINT_ITEM:engine,16
FAULT:worn,ISSUE_ON_ITEM,MAINT_ITEM:seal,16
ACTION:adjusted,ACTION_ON_ITEM,MAINT_ITEM:engine,15
ACTION:installed,ACTION_ON_ITEM,MAINT_ITEM:baffle plugs,15
ACTION:installed,ACTION_ON_ITEM,MAINT_ITEM:screws,15
ACTION:installed,ACTION_ON_ITEM,MAINT_ITEM:seal,15
ACTION:removed,ACTION_ON_ITEM,MAINT_ITEM:oil cooler,15
ACTION:replaced,ACTION_ON_ITEM,MAINT_ITEM:cylinder assembly,15
ACTION:replaced,ACTION_ON_ITEM,MAINT_ITEM:rocker gasket,15
MAINT_ITEM:baffle,HAS_LOCATION,LOC:back,15
MAINT_ITEM:induction tube gasket,HAS_LOCATION,LOC:number 4,15
MAINT_ITEM:intake gasket,HAS_LOCATION,LOC:right-hand,15
MAINT_ITEM:intake tube gasket,HAS_LOCATION,LOC:number 2,15
MAINT_ITEM:rocker covers,HAS_LOCATION,LOC:number 1 and 3,15
MAINT_ITEM:baffle bracket,HAS_PART,MAINT_ITEM:rivets,15
MAINT_ITEM:engine,HAS_PART,MAINT_ITEM:rocker gaskets,15
FAULT:damaged,ISSUE_ON_ITEM,MAINT_ITEM:baffle plugs,15
ABN_PROC:leaking,ISSUE_ON_ITEM,MAINT_ITEM:rocker box cover gasket,15
ACTION:installed,ACTION_ADDRESSES_ISSUE,FAULT:sheared,14
ACTION:installed,ACTION_ON_ITEM,MAINT_ITEM:rocker box cover gaskets,14
ACTION:removed,ACTION_ON_ITEM,MAINT_ITEM:baffle seal,14
ACTION:removed,ACTION_ON_ITEM,MAINT_ITEM:baffling,14
ACTION:removed,ACTION_ON_ITEM,MAINT_ITEM:bolt,14
ACTION:removed,ACTION_ON_ITEM,MAINT_ITEM:rocker covers,14
ACTION:run up,ACTION_ON_ITEM,MAINT_ITEM:engine,14
MAINT_ITEM:baffle plug,HAS_LOCATION,LOC:left-hand,14
MAINT_ITEM:baffle screw,HAS_LOCATION,LOC:aft,14
MAINT_ITEM:baffle seal,HAS_LOCATION,LOC:left-hand,14
MAINT_ITEM:cylinder,HAS_LOCATION,LOC:aft,14
MAINT_ITEM:engine,HAS_LOCATION,LOC:right-hand side,14
MAINT_ITEM:rocker gasket,HAS_LOCATION,LOC:number 4,14
MAINT_ITEM:cylinder,HAS_PART,MAINT_ITEM:baffling,14
MAINT_ITEM:cylinder,HAS_PART,MAINT_ITEM:intakes,14
MAINT_ITEM:engine,HAS_PART,MAINT_ITEM:baffle plug,14
FAULT:broken,ISSUE_ON_ITEM,MAINT_ITEM:baffle spring,14
FAULT:cracked,ISSUE_ON_ITEM,MAINT_ITEM:baffling,14
ABN_PROC:overspeed,ISSUE_ON_ITEM,MAINT_ITEM:propeller,14
FAULT:sheared,ISSUE_ON_ITEM,MAINT_ITEM:rivet,14
FAULT:worn,ISSUE_ON_ITEM,MAINT_ITEM:baffle plug,14
TECH_OBS:idle,OBSERVATION_OF_ITEM,MAINT_ITEM:engine,14
TECH_OBS:rpm,OBSERVATION_OF_ITEM,MAINT_ITEM:engine,14
ACTION:applied,ACTION_ADDRESSES_ISSUE,FAULT:worn,13
ACTION:staked,ACTION_ADDRESSES_ISSUE,FAULT:low,13
ACTION:installed,ACTION_ON_ITEM,MAINT_ITEM:bolt,13
ACTION:installed,ACTION_ON_ITEM,MAINT_ITEM:engine,13
ACTION:installed,ACTION_ON_ITEM,MAINT_ITEM:intake gaskets,13
ACTION:removed,ACTION_ON_ITEM,MAINT_ITEM:bracket,13
ACTION:removed,ACTION_ON_ITEM,MAINT_ITEM:cylinder assembly,13
ACTION:removed,ACTION_ON_ITEM,MAINT_ITEM:rivet,13
ACTION:replaced,ACTION_ON_ITEM,MAINT_ITEM:bracket,13
ACTION:replaced,ACTION_ON_ITEM,MAINT_ITEM:rocker cover,13
ACTION:stop drilled,ACTION_ON_ITEM,MAINT_ITEM:baffling,13
MAINT_ITEM:baffle seal,HAS_LOCATION,LOC:above,13
MAINT_ITEM:induction tube gasket,HAS_LOCATION,LOC:number 3,13
MAINT_ITEM:cylinder,HAS_PART,MAINT_ITEM:rivets,13
MAINT_ITEM:engine,HAS_PART,MAINT_ITEM:intake tube gasket,13
MAINT_ITEM:rocker covers,HAS_PART,MAINT_ITEM:screws,13
FAULT:cracks,ISSUE_ON_ITEM,MAINT_ITEM:baffle,13
FAULT:dirty,ISSUE_ON_ITEM,MAINT_ITEM:sniffler valves,13
FAULT:loose,ISSUE_ON_ITEM,MAINT_ITEM:screws,13
FAULT:missing,ISSUE_ON_ITEM,MAINT_ITEM:bolt,13
ABN_PROC:vibration,ISSUE_ON_ITEM,MAINT_ITEM:engine,13
ACTION:inspected,ACTION_ON_ITEM,MAINT_ITEM:engine,12
ACTION:installed,ACTION_ON_ITEM,MAINT_ITEM:cylinder,12
ACTION:installed,ACTION_ON_ITEM,MAINT_ITEM:rivet,12
ACTION:removed,ACTION_ON_ITEM,MAINT_ITEM:baffles,12
ACTION:removed,ACTION_ON_ITEM,MAINT_ITEM:cowling,12
ACTION:removed,ACTION_ON_ITEM,MAINT_ITEM:exhaust,12
ACTION:removed,ACTION_ON_ITEM,MAINT_ITEM:fod,12
ACTION:removed,ACTION_ON_ITEM,MAINT_ITEM:intake,12
ACTION:removed,ACTION_ON_ITEM,MAINT_ITEM:rocker gasket,12
ACTION:torqued,ACTION_ON_ITEM,MAINT_ITEM:cylinder,12
ACTION:operations checked,ACTION_RESULTS_IN_OUTCOME,OUTCOME:good,12
MAINT_ITEM:baffle,HAS_LOCATION,LOC:behind,12
MAINT_ITEM:baffle bracket,HAS_LOCATION,LOC:right-hand,12
MAINT_ITEM:baffle seal,HAS_LOCATION,LOC:front,12
MAINT_ITEM:engine,HAS_LOCATION,LOC:left-hand side,12
MAINT_ITEM:intake gaskets,HAS_LOCATION,LOC:right-hand,12
MAINT_ITEM:rocker cover gaskets,HAS_LOCATION,LOC:number 1 and 3,12
MAINT_ITEM:rocker gasket,HAS_LOCATION,LOC:number 3,12
MAINT_ITEM:baffle,HAS_PART,MAINT_ITEM:rivet,12
MAINT_ITEM:cylinder,HAS_PART,MAINT_ITEM:oil return line,12
MAINT_ITEM:cylinder,HAS_PART,MAINT_ITEM:rivet,12
FAULT:damaged,ISSUE_ON_ITEM,MAINT_ITEM:baffle plug,12
FAULT:stuck,ISSUE_ON_ITEM,MAINT_ITEM:valve,12
FAULT:worn,ISSUE_ON_ITEM,MAINT_ITEM:baffle seal,12
FAULT:worn,ISSUE_ON_ITEM,MAINT_ITEM:black seal,12
ACTION:cleaned,ACTION_ADDRESSES_ISSUE,ABN_PROC:leaks,11
ACTION:ran,ACTION_INVESTIGATES_ISSUE,FAULT:low,11
ACTION:cleaned,ACTION_ON_ITEM,MAINT_ITEM:gasket,11
ACTION:disassembly,ACTION_ON_ITEM,MAINT_ITEM:engine,11
ACTION:inspection,ACTION_ON_ITEM,MAINT_ITEM:engine,11
ACTION:installed,ACTION_ON_ITEM,MAINT_ITEM:baffle seal,11
ACTION:installed,ACTION_ON_ITEM,MAINT_ITEM:plugs,11
ACTION:removed,ACTION_ON_ITEM,MAINT_ITEM:piston,11
ACTION:removed,ACTION_ON_ITEM,MAINT_ITEM:plug,11
ACTION:replaced,ACTION_ON_ITEM,MAINT_ITEM:seal,11
MAINT_ITEM:baffle,HAS_LOCATION,LOC:number 2,11
MAINT_ITEM:cylinder,HAS_LOCATION,LOC:above,11
MAINT_ITEM:cylinder,HAS_LOCATION,"LOC:number 2 , 3 , 4",11
MAINT_ITEM:engine,HAS_LOCATION,LOC:front,11
MAINT_ITEM:engine,HAS_LOCATION,LOC:lower,11
MAINT_ITEM:engine,HAS_LOCATION,LOC:right,11
MAINT_ITEM:intakes,HAS_LOCATION,LOC:number 1 and 4,11
MAINT_ITEM:rocker cover gaskets,HAS_LOCATION,"LOC:number 2 , 3",11
MAINT_ITEM:baffle,HAS_PART,MAINT_ITEM:baffle seal,11
MAINT_ITEM:baffle,HAS_PART,MAINT_ITEM:cylinder,11
