node_id,label,type,mention_count,record_count
ABN_PROC:rough,rough,ABN_PROC,22,21
FAULT:no compression,no compression,FAULT,21,21
LOC:back,back,LOC,22,21
LOC:outboard,outboard,LOC,22,21
MAINT_ITEM:engines,engines,MAINT_ITEM,24,21
MAINT_ITEM:rocker box cover gaskets,rocker box cover gaskets,MAINT_ITEM,24,21
MAINT_ITEM:sniffler valves,sniffler valves,MAINT_ITEM,34,21
TECH_OBS:idle,idle,TECH_OBS,21,21
ACTION:compression check,compression check,ACTION,20,20
ACTION:start assist,start assist,ACTION,20,20
LOC:two and four,two and four,LOC,21,20
MAINT_ITEM:baffle spring,baffle spring,MAINT_ITEM,29,20
MAINT_ITEM:bolts,bolts,MAINT_ITEM,25,20
OP_CTX:in flight,in flight,OP_CTX,20,20
ACTION:replacement,replacement,ACTION,19,19
FAULT:stuck,stuck,FAULT,20,19
LOC:number 3,number 3,LOC,19,19
MAINT_ITEM:induction tube,induction tube,MAINT_ITEM,19,19
MAINT_ITEM:valves,valves,MAINT_ITEM,19,19
ABN_PROC:oil leak,oil leak,ABN_PROC,19,18
ACTION:checks,checks,ACTION,18,18
ACTION:disassembled,disassembled,ACTION,18,18
FAULT:cracks,cracks,FAULT,22,18
"LOC:numbers one , two , three and four","numbers one , two , three and four",LOC,18,18
MAINT_ITEM:rocker,rocker,MAINT_ITEM,25,18
OP_CTX:during run up,during run up,OP_CTX,18,18
ABN_PROC:rough running,rough running,ABN_PROC,17,17
ACTION:check,check,ACTION,17,17
ACTION:disconnected,disconnected,ACTION,17,17
ACTION:remove,remove,ACTION,17,17
ACTION:verified,verified,ACTION,17,17
"LOC:number one , and number three","number one , and number three",LOC,18,17
MAINT_ITEM:case,case,MAINT_ITEM,17,17
MAINT_ITEM:lines,lines,MAINT_ITEM,17,17
MAINT_ITEM:oil sump,oil sump,MAINT_ITEM,19,17
MAINT_ITEM:pop rivets,pop rivets,MAINT_ITEM,17,17
OUTCOME:no defects,no defects,OUTCOME,17,17
ABN_PROC:running rough,running rough,ABN_PROC,16,16
ABN_PROC:seeping,seeping,ABN_PROC,16,16
ACTION:reamed,reamed,ACTION,17,16
ACTION:safetied,safetied,ACTION,17,16
TECH_OBS:idle speed,idle speed,TECH_OBS,18,16
ACTION:operations checked,operations checked,ACTION,15,15
"LOC:numbers one , two , and four","numbers one , two , and four",LOC,17,15
MAINT_ITEM:air intake,air intake,MAINT_ITEM,18,15
MAINT_ITEM:clamp,clamp,MAINT_ITEM,18,15
MAINT_ITEM:propeller strike,propeller strike,MAINT_ITEM,15,15
MAINT_ITEM:push rod tube,push rod tube,MAINT_ITEM,17,15
MAINT_ITEM:tabs,tabs,MAINT_ITEM,15,15
ACTION:confirmed,confirmed,ACTION,14,14
ACTION:drilled,drilled,ACTION,14,14
ACTION:serviced,serviced,ACTION,14,14
FAULT:bad,bad,FAULT,14,14
FAULT:pulled through,pulled through,FAULT,14,14
"LOC:numbers one , three and four","numbers one , three and four",LOC,15,14
"LOC:numbers one , two and four","numbers one , two and four",LOC,14,14
LOC:upper,upper,LOC,15,14
MAINT_ITEM:baffle tie,baffle tie,MAINT_ITEM,23,14
MAINT_ITEM:black seal,black seal,MAINT_ITEM,15,14
MAINT_ITEM:fod,fod,MAINT_ITEM,27,14
MAINT_ITEM:line,line,MAINT_ITEM,15,14
MAINT_ITEM:spark plug,spark plug,MAINT_ITEM,16,14
TECH_OBS:mixture,mixture,TECH_OBS,15,14
ACTION:found,found,ACTION,14,13
ACTION:leak checked,leak checked,ACTION,14,13
ACTION:resafetied,resafetied,ACTION,13,13
FAULT:damage,damage,FAULT,13,13
LOC:two,two,LOC,13,13
MAINT_ITEM:baffle mounting screw,baffle mounting screw,MAINT_ITEM,14,13
MAINT_ITEM:cowl seal,cowl seal,MAINT_ITEM,18,13
MAINT_ITEM:crankshaft,crankshaft,MAINT_ITEM,21,13
MAINT_ITEM:spring,spring,MAINT_ITEM,15,13
ACTION:replace,replace,ACTION,12,12
LOC:number three and number two,number three and number two,LOC,12,12
"LOC:numbers one , two and three","numbers one , two and three",LOC,12,12
MAINT_ITEM:backbone,backbone,MAINT_ITEM,12,12
MAINT_ITEM:baffle section,baffle section,MAINT_ITEM,12,12
MAINT_ITEM:hole,hole,MAINT_ITEM,13,12
MAINT_ITEM:intake tube gaskets,intake tube gaskets,MAINT_ITEM,13,12
MAINT_ITEM:muffler,muffler,MAINT_ITEM,14,12
MAINT_ITEM:seals,seals,MAINT_ITEM,13,12
MAINT_ITEM:spark plugs,spark plugs,MAINT_ITEM,12,12
MAINT_ITEM:sump,sump,MAINT_ITEM,13,12
OP_CTX:at idle,at idle,OP_CTX,12,12
OUTCOME:could not duplicate discrepancy,could not duplicate discrepancy,OUTCOME,12,12
ABN_PROC:quit,quit,ABN_PROC,11,11
ABN_PROC:ran very rough,ran very rough,ABN_PROC,11,11
ABN_PROC:rubbing,rubbing,ABN_PROC,11,11
ABN_PROC:runs rough,runs rough,ABN_PROC,11,11
ACTION:completed reassembly,completed reassembly,ACTION,11,11
ACTION:disassembly,disassembly,ACTION,11,11
ACTION:install,install,ACTION,11,11
ACTION:magneto check,magneto check,ACTION,11,11
ACTION:patched,patched,ACTION,11,11
ACTION:preserved,preserved,ACTION,11,11
ACTION:washed,washed,ACTION,11,11
MAINT_ITEM:adel clamp,adel clamp,MAINT_ITEM,16,11
MAINT_ITEM:baffle patch,baffle patch,MAINT_ITEM,12,11
MAINT_ITEM:baffle plug hole,baffle plug hole,MAINT_ITEM,12,11
MAINT_ITEM:baffle support,baffle support,MAINT_ITEM,15,11
MAINT_ITEM:cht probe,cht probe,MAINT_ITEM,11,11
MAINT_ITEM:intake tubes,intake tubes,MAINT_ITEM,11,11
MAINT_ITEM:pop rivet,pop rivet,MAINT_ITEM,12,11
MAINT_ITEM:rod,rod,MAINT_ITEM,11,11
MAINT_ITEM:silicone,silicone,MAINT_ITEM,12,11
MAINT_ITEM:silicone gasket,silicone gasket,MAINT_ITEM,11,11
MAINT_ITEM:wiring,wiring,MAINT_ITEM,12,11
TECH_OBS:idle rpm,idle rpm,TECH_OBS,13,11
ABN_PROC:started running rough,started running rough,ABN_PROC,10,10
ACTION:completed installation,completed installation,ACTION,10,10
ACTION:determined,determined,ACTION,10,10
ACTION:reviewed,reviewed,ACTION,10,10
FAULT:burnt,burnt,FAULT,10,10
FAULT:metal found in oil,metal found in oil,FAULT,10,10
LOC:one and three,one and three,LOC,10,10
"LOC:two , three , and four","two , three , and four",LOC,10,10
LOC:two and three,two and three,LOC,12,10
MAINT_ITEM:accessory case,accessory case,MAINT_ITEM,10,10
MAINT_ITEM:baffle mount,baffle mount,MAINT_ITEM,13,10
MAINT_ITEM:engine mount,engine mount,MAINT_ITEM,12,10
MAINT_ITEM:exhaust push rod,exhaust push rod,MAINT_ITEM,10,10
MAINT_ITEM:firewall,firewall,MAINT_ITEM,11,10
MAINT_ITEM:fuel,fuel,MAINT_ITEM,10,10
MAINT_ITEM:intake valve,intake valve,MAINT_ITEM,10,10
MAINT_ITEM:nuts,nuts,MAINT_ITEM,10,10
MAINT_ITEM:patches,patches,MAINT_ITEM,10,10
MAINT_ITEM:sealant,sealant,MAINT_ITEM,11,10
MAINT_ITEM:standoff,standoff,MAINT_ITEM,13,10
MAINT_ITEM:washer,washer,MAINT_ITEM,13,10
MAINT_ITEM:washers,washers,MAINT_ITEM,10,10
OP_CTX:after start,after start,OP_CTX,10,10
OP_CTX:during flight,during flight,OP_CTX,10,10
ABN_PROC:partial power loss,partial power loss,ABN_PROC,9,9
ABN_PROC:sticking,sticking,ABN_PROC,9,9
ACTION:reassembled,reassembled,ACTION,9,9
LOC:left side,left side,LOC,10,9
LOC:number 1,number 1,LOC,9,9
LOC:number 2,number 2,LOC,9,9
"LOC:numbers one , three , and four","numbers one , three , and four",LOC,9,9
LOC:one,one,LOC,9,9
MAINT_ITEM:cylinder baffling,cylinder baffling,MAINT_ITEM,9,9
MAINT_ITEM:oil return lines,oil return lines,MAINT_ITEM,9,9
MAINT_ITEM:oil seal,oil seal,MAINT_ITEM,10,9
MAINT_ITEM:push rods,push rods,MAINT_ITEM,10,9
MAINT_ITEM:rocker cover screw,rocker cover screw,MAINT_ITEM,11,9
MAINT_ITEM:safety wire,safety wire,MAINT_ITEM,10,9
MAINT_ITEM:tube,tube,MAINT_ITEM,10,9
OP_CTX:after engine start,after engine start,OP_CTX,9,9
OP_CTX:after start up,after start up,OP_CTX,9,9
OP_CTX:on start up,on start up,OP_CTX,9,9
TECH_OBS:idle mixture,idle mixture,TECH_OBS,10,9
TECH_OBS:magneto drop,magneto drop,TECH_OBS,9,9
TECH_OBS:out of eighty,out of eighty,TECH_OBS,9,9
ABN_PROC:high frequency vibration,high frequency vibration,ABN_PROC,8,8
ABN_PROC:running very rough,running very rough,ABN_PROC,8,8
ACTION:connected,connected,ACTION,9,8
ACTION:corrosion prevention,corrosion prevention,ACTION,8,8
ACTION:fitted,fitted,ACTION,11,8
ACTION:overhaul,overhaul,ACTION,8,8
ACTION:pulled,pulled,ACTION,8,8
LOC:near,near,LOC,8,8
LOC:number four and number three,number four and number three,LOC,8,8
"LOC:number one , and number two","number one , and number two",LOC,9,8
LOC:number two and number,number two and number,LOC,8,8
"LOC:numbers one , two , and three","numbers one , two , and three",LOC,8,8
"LOC:one , two , three and four","one , two , three and four",LOC,8,8
LOC:three and four,three and four,LOC,8,8
MAINT_ITEM:baffle buttons,baffle buttons,MAINT_ITEM,11,8
MAINT_ITEM:baffle rod,baffle rod,MAINT_ITEM,8,8
MAINT_ITEM:baffle tab,baffle tab,MAINT_ITEM,9,8
MAINT_ITEM:black rtv,black rtv,MAINT_ITEM,8,8
MAINT_ITEM:cooling baffle,cooling baffle,MAINT_ITEM,8,8
MAINT_ITEM:covers,covers,MAINT_ITEM,8,8
MAINT_ITEM:data,data,MAINT_ITEM,9,8
MAINT_ITEM:dipstick tube,dipstick tube,MAINT_ITEM,10,8
MAINT_ITEM:doubler,doubler,MAINT_ITEM,11,8
MAINT_ITEM:hoses,hoses,MAINT_ITEM,9,8
MAINT_ITEM:magnetos,magnetos,MAINT_ITEM,8,8
MAINT_ITEM:nut,nut,MAINT_ITEM,11,8
MAINT_ITEM:oil cooler line,oil cooler line,MAINT_ITEM,9,8
MAINT_ITEM:wires,wires,MAINT_ITEM,8,8
OP_CTX:on start,on start,OP_CTX,8,8
OP_CTX:while running up,while running up,OP_CTX,8,8
TECH_OBS:2000 rpm,2000 rpm,TECH_OBS,8,8
"TECH_OBS:compression , forty out of","compression , forty out of",TECH_OBS,8,8
TECH_OBS:specs,specs,TECH_OBS,8,8
ABN_PROC:air coming out exhaus,air coming out exhaus,ABN_PROC,7,7
ABN_PROC:rpm dropped,rpm dropped,ABN_PROC,7,7
ABN_PROC:shaking,shaking,ABN_PROC,7,7
ABN_PROC:shutdown,shutdown,ABN_PROC,7,7
ABN_PROC:unusually rough,unusually rough,ABN_PROC,7,7
ABN_PROC:vibrations,vibrations,ABN_PROC,7,7
ACTION:compression test,compression test,ACTION,7,7
ACTION:installation,installation,ACTION,7,7
ACTION:resealed,resealed,ACTION,7,7
ACTION:routed,routed,ACTION,7,7
ACTION:time change,time change,ACTION,7,7
ACTION:to check,to check,ACTION,7,7
ACTION:warmed,warmed,ACTION,7,7
FAULT:bent,bent,FAULT,7,7
FAULT:dead,dead,FAULT,7,7
FAULT:gouged,gouged,FAULT,7,7
FAULT:inoperable,inoperable,FAULT,7,7
"LOC:number one , and number four","number one , and number four",LOC,8,7
LOC:number two and number one,number two and number one,LOC,7,7
MAINT_ITEM:baffle screws,baffle screws,MAINT_ITEM,7,7
MAINT_ITEM:baffle support bracket,baffle support bracket,MAINT_ITEM,7,7
MAINT_ITEM:baffle wire,baffle wire,MAINT_ITEM,7,7
MAINT_ITEM:cover,cover,MAINT_ITEM,7,7
MAINT_ITEM:crankshaft seal,crankshaft seal,MAINT_ITEM,7,7
MAINT_ITEM:dipstick,dipstick,MAINT_ITEM,9,7
MAINT_ITEM:fingers,fingers,MAINT_ITEM,7,7
MAINT_ITEM:grommet,grommet,MAINT_ITEM,10,7
MAINT_ITEM:high temperature silicone,high temperature silicone,MAINT_ITEM,7,7
MAINT_ITEM:holes,holes,MAINT_ITEM,7,7
MAINT_ITEM:injector,injector,MAINT_ITEM,7,7
MAINT_ITEM:intercylinder,intercylinder,MAINT_ITEM,8,7
MAINT_ITEM:mineral oil,mineral oil,MAINT_ITEM,7,7
MAINT_ITEM:muffler shroud,muffler shroud,MAINT_ITEM,7,7
MAINT_ITEM:new hardware,new hardware,MAINT_ITEM,7,7
MAINT_ITEM:oil coolers,oil coolers,MAINT_ITEM,11,7
MAINT_ITEM:oil tube,oil tube,MAINT_ITEM,7,7
MAINT_ITEM:rockers,rockers,MAINT_ITEM,8,7
MAINT_ITEM:vacuum pump,vacuum pump,MAINT_ITEM,7,7
OP_CTX:on engine start,on engine start,OP_CTX,7,7
OUTCOME:could not duplicate,could not duplicate,OUTCOME,7,7
TECH_OBS:eight quarts,eight quarts,TECH_OBS,7,7
ABN_PROC:back fired,back fired,ABN_PROC,6,6
ABN_PROC:died,died,ABN_PROC,6,6
ABN_PROC:oversped,oversped,ABN_PROC,6,6
ABN_PROC:would not start,would not start,ABN_PROC,6,6
ACTION:change,change,ACTION,6,6
ACTION:downloaded,downloaded,ACTION,6,6
ACTION:further inspection,further inspection,ACTION,6,6
ACTION:operations and leak checked,operations and leak checked,ACTION,6,6
ACTION:prepped,prepped,ACTION,6,6
ACTION:seasonal adjustment,seasonal adjustment,ACTION,6,6
FAULT:galled,galled,FAULT,6,6
FAULT:scored,scored,FAULT,6,6
FAULT:stripped,stripped,FAULT,6,6
FAULT:worn through,worn through,FAULT,6,6
LOC:inner,inner,LOC,6,6
LOC:lower forward,lower forward,LOC,6,6
LOC:number one side,number one side,LOC,6,6
"LOC:numbers one , two , three , and four","numbers one , two , three , and four",LOC,6,6
"LOC:one , two and three","one , two and three",LOC,6,6
MAINT_ITEM:c clip,c clip,MAINT_ITEM,6,6
MAINT_ITEM:chafe tape,chafe tape,MAINT_ITEM,9,6
MAINT_ITEM:connecting rod,connecting rod,MAINT_ITEM,6,6
MAINT_ITEM:crankcase,crankcase,MAINT_ITEM,6,6
MAINT_ITEM:egt,egt,MAINT_ITEM,7,6
MAINT_ITEM:exhaust stack,exhaust stack,MAINT_ITEM,6,6
MAINT_ITEM:exhaust va,exhaust va,MAINT_ITEM,6,6
MAINT_ITEM:exhaust valves,exhaust valves,MAINT_ITEM,7,6
MAINT_ITEM:fdm data,fdm data,MAINT_ITEM,6,6
MAINT_ITEM:induction tube gaskets,induction tube gaskets,MAINT_ITEM,9,6
MAINT_ITEM:oil line,oil line,MAINT_ITEM,6,6
MAINT_ITEM:oil lines,oil lines,MAINT_ITEM,6,6
MAINT_ITEM:oil return,oil return,MAINT_ITEM,7,6
MAINT_ITEM:oil screen,oil screen,MAINT_ITEM,6,6
MAINT_ITEM:paint,paint,MAINT_ITEM,9,6
MAINT_ITEM:primer line,primer line,MAINT_ITEM,8,6
MAINT_ITEM:rocker box covers,rocker box covers,MAINT_ITEM,6,6
MAINT_ITEM:rocker drain line,rocker drain line,MAINT_ITEM,8,6
MAINT_ITEM:rocker drain lines,rocker drain lines,MAINT_ITEM,6,6
MAINT_ITEM:sd card,sd card,MAINT_ITEM,6,6
MAINT_ITEM:section,section,MAINT_ITEM,6,6
MAINT_ITEM:starter,starter,MAINT_ITEM,7,6
MAINT_ITEM:throttl,throttl,MAINT_ITEM,6,6
MAINT_ITEM:upper,upper,MAINT_ITEM,6,6
OP_CTX:ground reference maneuvers,ground reference maneuvers,OP_CTX,6,6
TECH_OBS:1600 rpm,1600 rpm,TECH_OBS,6,6
TECH_OBS:compression fifty out of,compression fifty out of,TECH_OBS,6,6
TECH_OBS:momentary,momentary,TECH_OBS,6,6
ABN_PROC:back fired when,back fired when,ABN_PROC,5,5
ABN_PROC:began to struggle,began to struggle,ABN_PROC,5,5
ABN_PROC:came into cont,came into cont,ABN_PROC,5,5
ABN_PROC:coughed often,coughed often,ABN_PROC,5,5
ABN_PROC:does not run,does not run,ABN_PROC,5,5
ABN_PROC:dropped,dropped,ABN_PROC,5,5
ABN_PROC:exceeded,exceeded,ABN_PROC,5,5
ABN_PROC:leaking through,leaking through,ABN_PROC,5,5
ABN_PROC:sputtering,sputtering,ABN_PROC,5,5
ABN_PROC:very rough,very rough,ABN_PROC,5,5
ABN_PROC:vibrating,vibrating,ABN_PROC,5,5
ABN_PROC:wearing,wearing,ABN_PROC,5,5
ABN_PROC:won ' t start,won ' t start,ABN_PROC,5,5
ACTION:break-in flight,break-in flight,ACTION,5,5
ACTION:clean,clean,ACTION,5,5
ACTION:completed install,completed install,ACTION,5,5
ACTION:drilled out,drilled out,ACTION,5,5
ACTION:dry tappet clearance check,dry tappet clearance check,ACTION,5,5
ACTION:fogging,fogging,ACTION,5,5
ACTION:ground,ground,ACTION,6,5
ACTION:honed,honed,ACTION,5,5
ACTION:lapped,lapped,ACTION,5,5
ACTION:mixture check,mixture check,ACTION,5,5
ACTION:painted,painted,ACTION,6,5
ACTION:performed,performed,ACTION,5,5
ACTION:rerouted,rerouted,ACTION,5,5
ACTION:reswaged,reswaged,ACTION,5,5
ACTION:run,run,ACTION,5,5
ACTION:test flight,test flight,ACTION,6,5
FAULT:chafed,chafed,FAULT,5,5
FAULT:no tem,no tem,FAULT,5,5
FAULT:timed out,timed out,FAULT,5,5
LOC:number four and number two,number four and number two,LOC,5,5
LOC:number three side,number three side,LOC,5,5
LOC:number two and number four side,number two and number four side,LOC,5,5
MAINT_ITEM:accessories,accessories,MAINT_ITEM,5,5
MAINT_ITEM:air filter,air filter,MAINT_ITEM,6,5
MAINT_ITEM:alternator belt,alternator belt,MAINT_ITEM,5,5
MAINT_ITEM:baffle bolt,baffle bolt,MAINT_ITEM,6,5
MAINT_ITEM:baffle mounting bracket,baffle mounting bracket,MAINT_ITEM,6,5
MAINT_ITEM:baffle support rod,baffle support rod,MAINT_ITEM,5,5
MAINT_ITEM:baffle tie wire,baffle tie wire,MAINT_ITEM,7,5
MAINT_ITEM:brace,brace,MAINT_ITEM,5,5
MAINT_ITEM:carb airbox,carb airbox,MAINT_ITEM,6,5
MAINT_ITEM:case halves,case halves,MAINT_ITEM,5,5
MAINT_ITEM:control cable,control cable,MAINT_ITEM,5,5
MAINT_ITEM:exhaust valve guides,exhaust valve guides,MAINT_ITEM,5,5
MAINT_ITEM:fdm card,fdm card,MAINT_ITEM,5,5
MAINT_ITEM:filter,filter,MAINT_ITEM,5,5
MAINT_ITEM:fitting,fitting,MAINT_ITEM,6,5
MAINT_ITEM:fuel pump,fuel pump,MAINT_ITEM,6,5
MAINT_ITEM:intake pipe,intake pipe,MAINT_ITEM,5,5
MAINT_ITEM:lacing cord,lacing cord,MAINT_ITEM,5,5
MAINT_ITEM:like materi,like materi,MAINT_ITEM,5,5
MAINT_ITEM:oil dipstick,oil dipstick,MAINT_ITEM,5,5
