ident,text,items,faults,actions
100017,ROCKER BOX COVER SCREWS LOOSE . TIGHTENED SCREWS .,rocker box cover screws; screws,loose,tightened
100018,NUMBER ONE ENGINE BAFFLE CRACKED . FABRICATED PATCH OF LIKE MATERIAL AND RIVETED IN ACCORDANCE WITH LIKE MATERIAL AND RIVETED IN ACCORDANCE,engine; baffle; patch; like material,cracked,fabricated; riveted
100019,NUMBER ONE INTAKE GASKET LEAKING . REPLACED WITH NEW GASKET .,intake gasket; gasket,leaking,replaced
100020,ROCKER COVER FOR CYLINDER NUMBER ONE IS LEAKING . REPLACED ROCKER COVER .,rocker cover; cylinder,leaking,replaced
100021,CYLINDER NUMBER FOUR INTAKE LEAKING . REPLACED GASKET . LEAK CHECK GOOD .,cylinder; intake; gasket,leaking,replaced; leak check
100022,NUMBER TWO AND NUMBER FOUR CYLINDER ROCKER COVER GASKETS LEAKING . REMOVED AND REPLACED ROCKER COVER GASKETS . CLEANED LEAKS,cylinder; rocker cover gaskets,leaking; leaks,removed; replaced; cleaned
100023,ROCKER BOX COVER SCREWS ARE LOOSE . TIGHTENED SCREWS .,rocker box cover screws; screws,loose,tightened
100024,"INDUCTION TUBE HOSE CLAMPS LOOSE , ALL CYLINDERS . TIGHTENED HOSE CLAMPS .",induction tube; hose clamps; cylinders,loose,tightened
100025,"NUMBER ONE INTAKE GASKET LEAKING . REMOVED INTAKE TUBE , FOUND TUBE TO BE CRACKED . REMOVED",intake gasket; intake tube; tube,cracked; leaking,removed
100026,"INDUCTION TUBE HOSE CLAMPS LOOSE , ALL CYLINDERS . TIGHTENED HOSE CLAMPS .",induction tube; hose clamps; cylinders,loose,tightened
100027,RIGHT-HAND MAGNETO BLAST TUBE FELL OFF . REMOVED RIGHT-HAND AFT BAFFLE TO FACILITATE REPAIR . FABRICATED,magneto blast tube; baffle,,removed; fabricated
100028,"ON START UP , ENGINE BEGAN TO RUN ROUGH . RAN ENGINE AT 1200 RP INSPECTED CYLINDERS ONE , TWO AND FOUR IN ACCORDANCE WITH CHECKED OK . REMOVED",engine; cylinders,run rough,ran; inspected; checked; removed
100029,"ON START UP , ENGINE BEGAN TO RUN ROUGH . RAN ENGINE AT 1200 RP PERFORMED COMPRESSION CHECK , CYLINDER NUMBER THREE . INDICATED ZERO PSI .",engine; cylinder,run rough,ran; compression check
100030,"ON START UP , ENGINE BEGAN TO RUN ROUGH . RAN ENGINE AT 1200 RP COMPLETED BAFFLE INSTALL , OIL FILLER TUBE , SPARK PLUGS .",engine; baffle; oil filler tube; spark plugs,run rough,ran; install
100031,NUMBER FOUR ROCKER COVER GASKET LEAKING . REPLACED GASKET .,rocker cover gasket; gasket,leaking,replaced
100032,RIGHT ENGINE NUMBER FOUR AIR BAFFLE IS CRACKED REMOVED AND REPLACED NUMBER FOUR AIR BAFFLE .,engine; air baffle,cracked,removed; replaced
100033,RIGHT-HAND ENGINE FORWARD ALTERNATOR ATTACH BOLT LOOSE . SECURED ALTERNATOR ATTACH BOLT AND RESAFETIED .,engine; alternator; attach bolt; alternator attach bolt,loose,secured; resafetied
100034,LEFT-HAND ENGINE NUMBER FOUR AFT BAFFLE CRACKED IN MULTIPLE PLACES . REPLACED BAFFLE ASSEMBLY .,engine; baffle; baffle assembly,cracked,replaced
100035,"RIGHT ENGINE , ALL VALVE COVERS ARE LEAKING . REMOVED AND REPLACED ALL ROCKER GASKETS .",engine; valve covers; rocker gaskets,leaking,removed; replaced
100036,LEFT-HAND ENGINE ALL FOUR ROCKER COVER GASKETS LEAKING . REPLACED ALL ROCKER COVER GASKETS .,engine; rocker cover gaskets,leaking,replaced
100037,"LEFT-HAND ENGINE NUMBER TWO INTAKE LEAKING . REMOVED TUBE , FOUND TO BE CRACKED . REMOVED TUBE FROM CO",engine; intake; tube,cracked; leaking,removed
100038,"IN FLIGHT , ENGINE BECAME ROUGH . DISCOVERED RIGHT MAGNETO INOPERABLE . RAN AIRCRAFT , MAGNETOS CHECK GOOD . POWER AND LEAK CHECK GOOD .",engine; magneto; aircraft,inoperable; became rough,ran; magnetos check; power and leak check
100039,"IN FLIGHT , ENGINE BECAME ROUGH . DISCOVERED RIGHT MAGNETO INOPERABLE . REMOVED NUMBER THREE CYLINDER , DISCONNECTED FUEL DISTRIBUTOR LINE TO G",engine; magneto; cylinder; fuel distributor line,inoperable; became rough,removed; disconnected
100040,"IN FLIGHT , ENGINE BECAME ROUGH . DISCOVERED RIGHT MAGNETO INOPERABLE . REASSEMBLED ENGINE , NUMBER THREE CYLINDER DRY TAPPET CLEARANCE CHECK",engine; magneto; cylinder,inoperable; became rough,reassembled; dry tappet clearance check
100041,NUMBER FOUR INTAKE LEAKING . REMOVED AND REPLACED NUMBER FOUR INTAKE GASKET .,intake; intake gasket,leaking,removed; replaced
100042,NUMBER THREE ROCKER COVER GASKET LEAKING . REMOVED AND REPLACED NUMBER THREE ROCKER COVER GASKET .,rocker cover gasket,leaking,removed; replaced
100043,TOP LEFT-HAND BAFFLE HAS A CRACK . STOP DRILLED CRACK .,baffle,crack,stop drilled
100044,OIL DIPSTICK OIL STICK IS LOOSE . REMOVED AND REPLACED DIPSTICK .,oil dipstick oil stick; oil stick; dipstick,loose,removed; replaced
100045,NUMBER THREE BRAKE MISSING SCREW . REPLACED SCREW .,brake; screw,missing,replaced
100046,BAFFLE SEALS ON RIGHT-HAND SIDE ARE TORN . APPLIED SILICONE TO TORN AREAS .,baffle seals; silicone,torn,applied
100047,NUMBER TWO AND NUMBER FOUR ROCKER COVERS ARE LEAKING . REMOVED AND REPLACED NUMBER TWO AND NUMBER FOUR ROCKER COVER GASKETS .,rocker covers; rocker cover gaskets,leaking,removed; replaced
100048,NUMBER THREE AFT BAFFLE BRACKET LOOSE . REMOVED AND REPLACED MISSING RIVETS WITH SCREWS AND NUTS .,baffle bracket; rivets; screws; nuts,loose; missing,removed; replaced
100049,NUMBER FOUR CYLINDER ROCKER COVER IS LEAKING . REMOVED AND REPLACED GASKET .,cylinder; rocker cover; gasket,leaking,removed; replaced
100050,"NUMBERS ONE , TWO , AND SIX COWL MOUNTS ARE TORN . REMOVED AND REPLACED MOUNTS .",cowl mounts; mounts,torn,removed; replaced
100051,NUMBER FOUR INTAKE LEAKING . REMOVED AND REPLACED GASKET .,intake; gasket,leaking,removed; replaced
100052,NUMBER TWO AND NUMBER FOUR ROCKER COVERS LEAKING . REMOVED AND REPLACED GASKETS .,rocker covers; gaskets,leaking,removed; replaced
100053,NUMBER FOUR INTAKE IS LEAKING . REPLACED GASKET AND INSPECTED INTAKE TUBE .,intake; gasket; intake tube,leaking,replaced; inspected
100054,"DURING IDLE CHECK ON RUN UP , ENGINE QUIT . RESTART ENGINE ADJUSTED IDLE SETTING , IDLE INDICATING 650 RPM DURING R",engine,quit,restart; adjusted
100055,LEFT-HAND BAFFLE PLUG WORN . REMOVED AND REPLACED PLUG .,baffle plug; plug,worn,removed; replaced
100056,NUMBER ONE ROCKER COVER LEAKING . REMOVED AND REPLACED GASKET .,rocker cover; gasket,leaking,removed; replaced
100057,LEFT-HAND ENGINE NUMBER TWO AND NUMBER FOUR SIDE BAFFLE SEALS LOOSE . SECURED SEALS .,engine; baffle seals; seals,loose,secured
100058,RIGHT-HAND ENGINE NUMBER THREE AFT BAFFLE SEAL IS LOOSE . SECURED BAFFLE SEAL .,engine; baffle seal,loose,secured
100059,NUMBER THREE ROCKER COVER GASKET TORN . REMOVED AND REPLACED NUMBER THREE ROCKER COVER GASKET .,rocker cover gasket,torn,removed; replaced
100060,NUMBER FOUR ROCKER COVER GASKET TORN . REMOVED AND REPLACED NUMBER FOUR ROCKER COVER GASKET .,rocker cover gasket,torn,removed; replaced
100061,NUMBER ONE ROCKER COVER GASKET LEAKING . REMOVED AND REPLACED ROCKER COVER WITH NEW .,rocker cover gasket; rocker cover,leaking,removed; replaced
100062,"DURING GROUND RUN PILOT . NOTICED HIGH OIL PRESSURE , ENGINE . ADJUSTED ENGINE OIL PRESSURE RELIEF VALVE .","oil pressure , engine; engine; oil pressure relief valve",,adjusted
100063,"DURING GROUND RUN PILOT . NOTICED HIGH OIL PRESSURE , ENGINE . AIRCRAFT WAS GROUND . RAN TO FULL POWER , OIL PRESSURE CHECKED OK .",engine; aircraft,high,ground . ran; ran; checked
100064,STUDENT COULDN ' T START AIRCRAFT . STARTED AIRCRAFT FOR STUDENT .,aircraft,,started
100065,"VACUUM TUBE AND OIL COOLER LINE ARE RUBBING TOGETHER . MOVED ADEL CLAMP AND APPLIED TWO ZIP TIES , NO DEFECTS NOTED",vacuum tube; oil cooler line; adel clamp; two zip ties,rubbing together,moved; applied
100066,"AFTER LANDING , AIRCRAFT IDLE AT 970 RPM . ADJUSTED IDLE SETTING BY LOWERING . IDLE SETTING WITHIN MA",aircraft,,adjusted
100067,FUEL PRESSURE 32 - 33 WITH JUMPS INTO RED . CLEANED TRANSDUCER GROUND PATH . FUEL PRESSURE CHECKED GOOD,transducer ground path,jumps into red,cleaned; fuel pressure checked
100068,RIGHT-HAND ENGINE NUMBER TWO INTAKE LEAKS . REPLACED GASKET .,engine; intake; gasket,leaks,replaced
100069,LEFT-HAND ENGINE NUMBER FOUR CYLINDER BAFFLE CRACKED . STOP DRILLED CRACK .,engine; cylinder; baffle,cracked; crack,stop drilled
100070,RIGHT-HAND ENGINE NUMBER FOUR CYLINDER BAFFLE CRACKED . STOP DRILLED CRACK .,engine; cylinder; baffle,cracked; crack,stop drilled
100071,"LAST DAILY SHUTDOWN IDLE OVERRIDE SPEED CHECK , ENGINE RPM RAN AIRCRAFT , ADJUSTED IDLE SPEED . CHECKS GOOD .",engine; aircraft,,idle override speed check; ran; adjusted; checks
100072,NUMBER TWO AND NUMBER FOUR SIDE BAFFLE BRACE BROKEN . FABRICATED BRACE FROM LIKE MATERIAL AND INSTALLED .,baffle brace; brace; like material,broken,fabricated; installed
100073,NUMBER FOUR CYLINDER INTAKE GASKET IS LEAKING . REMOVED AND REPLACED GASKET .,cylinder; intake gasket; gasket,leaking,removed; replaced
100074,NUMBER FOUR ROCKER BOX COVER GASKET LEAKING . REMOVED AND REPLACED ROCKER COVER GASKET .,rocker box cover gasket; rocker cover gasket,leaking,removed; replaced
100075,BAFFLE PLUG HOLE WORN . INSTALLED PATCH AND NEW PLUG .,baffle plug hole; patch; plug,worn,installed
100076,"ENGINE STARTED RUNNING ROUGH AND VIBRATING A LOT . RAN AIRCRAFT , OPERATIONS AND LEAK CHECK GOOD .",engine; aircraft,started running rough; vibrating,ran; operations; leak check
100077,ENGINE STARTED RUNNING ROUGH AND VIBRATING A LOT . RAN AIRCRAFT . CONFIRMED DISCREPANCY . FOUND NUMBER THREE CYLINDER HAD VERY L,engine; aircraft; cylinder,started running rough; vibrating,ran; confirmed
100078,ENGINE STARTED RUNNING ROUGH AND VIBRATING A LOT . COMPLETED REASSEMBLY OF NUMBER THREE CYLINDER ASSEMBLY . INSTALLED NEW INTAKE,engine; cylinder assembly,started running rough; vibrating,completed reassembly; installed
100079,ENGINE STARTED RUNNING ROUGH AND VIBRATING A LOT . REMOVED NUMBER THREE CYLINDER . INSTALLED SERVICEABLE CYLINDER ASSEMBLY . TORQUED,engine; cylinder; cylinder assembly,started running rough; vibrating,removed; installed; torqued
100080,"ENGINE STARTED RUNNING ROUGH AND VIBRATING A LOT . DISASSEMBLED NUMBERS ONE , TWO , AND FOUR EXHAUST VALVES , REAMED GUIDES IN ACCORDANCE WITH AND FOUR EXHAUST VALVES , REAMED GUIDES IN ACCORDANCE",engine; exhaust valves; guides,started running rough; vibrating,disassembled; reamed
100081,NUMBER TWO INTAKE LEAKS . REPLACED GASKET .,intake; gasket,leaks,replaced
100082,NUMBER FOUR INTAKE LEAKS . REPLACED GASKET .,intake; gasket,leaks,replaced
100083,NUMBER THREE INTAKE TUBE GASKET IS LEAKING . REPLACED GASKET .,intake tube gasket; gasket,leaking,replaced
100084,NUMBER THREE AND NUMBER FOUR ROCKER COVER GASKETS ARE LEAKING . REPLACED GASKETS .,rocker cover gaskets; gaskets,leaking,replaced
100085,"ENGINE WOULD NOT START . STARTED ENGINE , LEANED MIXTURE TO CLEAN SPARK PLUGS . MA",engine; spark plugs,would not start,started; clean
100086,NUMBER TWO INTAKE IS LEAKING . REMOVED AND REPLACED NUMBER TWO INTAKE GASKET .,intake; intake gasket,leaking,removed; replaced
100087,"TOP FRONT RIGHT-HAND BAFFLE , BAFFLE SEAL RIVET . PULLED THROUGH . DRILLED OUT RIVET AND INSTALLED SCREW AND NUT TO ATTACH RIGHT-HAND",baffle; baffle seal rivet; rivet; screw; attach,pulled through,drilled; drilled out; installed
100088,ROCKER BOX COVER SCREWS LOOSE . TIGHTENED SCREWS .,rocker box cover screws; screws,loose,tightened
100089,NUMBER TWO INDUCTION TUBE GASKET LEAKING . REMOVED AND REPLACED NUMBER TWO INDUCTION TUBE GASKET .,induction tube gasket,leaking,removed; replaced
100090,NUMBER TWO AND NUMBER FOUR ROCKER COVERS ARE LEAKING . REMOVED AND REPLACED GASKETS .,rocker covers; gaskets,leaking,removed; replaced
100091,NUMBER ONE INTAKE LEAKING . REMOVED AND REPLACED NUMBER ONE INTAKE GASKET WITH NEW .,intake; intake gasket,leaking,removed; replaced
100092,NUMBER THREE AND NUMBER FOUR ROCKER COVERS LEAKING . REMOVED AND REPLACED NUMBER THREE AND NUMBER FOUR ROCKER COVER GASKETS WITH NEW .,rocker covers; rocker cover gaskets,leaking,removed; replaced
100093,NUMBER ONE ROCKER COVER IS LEAKING . REMOVED AND REPLACED ROCKER COVER GASKET .,rocker cover; rocker cover gasket,leaking,removed; replaced
100094,LEFT-HAND ENGINE NUMBER FOUR CYLINDER INTAKE GASKET IS LEAKING . REMOVED AND REPLACED NUMBER FOUR INTAKE GASKET WITH NEW .,engine; cylinder; intake gasket,leaking,removed; replaced
100095,ROCKER BOX COVER SCREWS LOOSE . TIGHTENED SCREWS .,rocker box cover screws; screws,loose,tightened
100096,NUMBER FOUR ROCKER COVER LEAKING . REMOVED AND REPLACED NUMBER FOUR ROCKER COVER GASKET .,rocker cover; rocker cover gasket,leaking,removed; replaced
100097,NUMBER TWO OIL RETURN LINE HOSE CLAMP IS LOOSE . TIGHTENED HOSE CLAMP .,oil return line; oil return line hose clamp; hose clamp,loose,tightened
100098,ROUGH RUNNING ENGINE ON START . ENGINE RAN SMOOTHER AS IT WAR FINISHED REAMING ALL FOUR EXHAUST VALVE GUIDES . INSTALLED,engine; exhaust valve guides,rough running,finished reaming; installed
100099,"ROUGH RUNNING ENGINE ON START . ENGINE RAN SMOOTHER AS IT WAR REMOVED COWLING , REMOVED ALL SPARK PLUGS . REAMED NUMBER THREE EXHAUST",engine; cowling; spark plugs; exhaust,rough running,removed; reamed
100100,NUMBER THREE ROCKER COVER IS LEAKING . REMOVED AND REPLACED GASKET .,rocker cover; gasket,leaking,removed; replaced
100101,"OIL FOUND ON ENTIRE RIGHT SIDE OF FUSELAGE . REMOVED COWLING , CLEANED ENGINE , PERFORMED ENGINE RUN U",oil; fuselage; cowling; engine,,removed; cleaned
100102,RIGHT-HAND ENGINE NUMBER FOUR CYLINDER BAFFLE BOLT MISSING . INSTALLED NEW BOLT .,engine; cylinder; baffle bolt; bolt,missing,installed
100103,"RIGHT-HAND ENGINE NUMBER ONE AND NUMBER FOUR ROCKER COVERS LEAKING . REMOVED AND REPLACED RIGHT-HAND ROCKER COVER GASKETS , ONE AND FOUR .",engine; rocker covers; rocker cover gaskets,leaking,removed; replaced
100104,"LEFT-HAND ENGINE NUMBER ONE AND NUMBER THREE ROCKER COVERS LEAKING . REMOVED AND REPLACED LEFT-HAND ENGINE ROCKER COVER GASKETS , ONE AND",engine; rocker covers; rocker cover gaskets,leaking,removed; replaced
100105,ENGINE DIED DURING MAGNETO CHECK . STARTED AIRCRAFT USING FLOODED START PROCEDURE AND RAN AIRCRAFT TO,engine; aircraft,died,magneto check; started; ran
100106,NUMBER THREE ROCKER COVER GASKET LEAKING . REMOVED AND REPLACED NUMBER THREE ROCKER COVER GASKET .,rocker cover gasket,leaking,removed; replaced
100107,"NUMBER TWO , AND NUMBER FOUR ROCKER COVER GASKET LEAKING . REMOVED AND REPLACED NUMBER TWO AND NUMBER FOUR ROCKER COVER GASKETS .",rocker cover gasket; rocker cover gaskets,leaking,removed; replaced
100108,NUMBER TWO AND NUMBER FOUR CYLINDER OIL RETURN LINE CLAMPS LOOSE . TIGHTENED CLAMPS .,cylinder; oil return line; clamps,loose,tightened
100109,RIGHT-HAND ENGINE NUMBER TWO INTAKE GASKET LEAKING . REMOVED AND REPLACED GASKET .,engine; intake gasket; gasket,leaking,removed; replaced
100110,BAFFLE SEALS UNDER BOTH PROPELLER GOVERNORS ARE LOOSE . RESECURED BAFFLE SEALS .,baffle seals; propeller governors,loose,resecured
100111,LEFT-HAND ENGINE NUMBER FOUR AFT BAFFLE CRACKED IN MULTIPLE PLACES . INSTALLED REPAIRED BAFFLING .,engine; baffle; baffling,cracked,installed
100112,LEFT-HAND ENGINE NUMBER FOUR AFT BAFFLE CRACKED IN MULTIPLE PLACES . REMOVED BAFFLE AND SWAPPED ACCESSORIES .,engine; baffle; accessories,cracked,removed; swapped
100113,NUMBER TWO INTAKE IS LEAKING . REMOVED AND REPLACED INTAKE GASKET .,intake; intake gasket,leaking,removed; replaced
100114,NUMBER ONE LEFT-HAND INTAKE HAS LARGE GOUGE . REMOVED AND REPLACED NUMBER ONE LEFT-HAND INTAKE PIPE WITH SERVICEABLE PI,intake; large gouge; intake pipe,,removed; replaced
100115,LEFT-HAND ENGINE NUMBER THREE ROCKER COVER LEAKING . REMOVED AND REPLACED LEFT-HAND ENGINE NUMBER THREE ROCKER COVER GASKET .,engine; rocker cover; rocker cover gasket,leaking,removed; replaced
100116,NUMBER TWO CYLINDER HAS LOW COMPRESSION . REMOVED ROCKER COVER AND STAKED INTAKE VALVE . PASSED COMPRESSION,cylinder; rocker cover; intake valve,low,removed; staked
100117,NUMBER FOUR ROCKER COVER IS LEAKING . REPLACED GASKET .,rocker cover; gasket,leaking,replaced
100118,LEFT-HAND SIDE OF ENGINE FORWARD RUBBER SEAL LOOSE . SECURED BAFFLE SEAL .,engine; rubber seal; baffle seal,loose,secured
100119,NUMBER ONE AND NUMBER THREE ROCKER COVER GASKETS ARE LEAKING . REMOVED AND REPLACED GASKETS .,rocker cover gaskets; gaskets,leaking,removed; replaced
100120,RIGHT-HAND BAFFLE FRONT SIDE HAS A CRACK . STOP DRILLED CRACK AND FABRICATED PATCH WITH LIKE MATERIAL .,baffle; patch; like material,crack,stop drilled; fabricated
100121,CYLINDER NUMBER FOUR INTAKE IS LEAKING . REPLACED INTAKE GASKET .,cylinder; intake; intake gasket,leaking,replaced
100122,NUMBER TWO INTAKE IS LEAKING . REMOVED AND REPLACED NUMBER TWO INTAKE GASKET .,intake; intake gasket,leaking,removed; replaced
100123,NUMBER FOUR ROCKER COVER IS LEAKING . REMOVED AND REPLACED NUMBER FOUR ROCKER GASKET .,rocker cover; rocker gasket,leaking,removed; replaced
100124,RIGHT-HAND ENGINE NUMBER FOUR CYLINDER INTAKE GASKET IS LEAKING . INSTALLED NEW NUMBER FOUR INTAKE GASKET .,engine; cylinder; intake gasket,leaking,installed
100125,SCREW IS MISSING ON NUMBER THREE CYLINDER BAFFLE . INSTALLED NEW SCREW .,screw; cylinder; baffle,missing,installed
100126,RIGHT-HAND FRONT BAFFLE SEAL LOOSE . RESECURED RIGHT-HAND FRONT BAFFLE SEAL .,baffle seal,loose,resecured
100127,"TOP BACK LEFT-HAND CORNER BAFFLE IS CRACKED . STOP DRILLED CRACK , FABRICATED PATCH WITH LIKE MATERIAL .",corner baffle; patch; like material,cracked; crack,stop drilled; fabricated
100128,NUMBER TWO CYLINDER INTAKE GASKET IS LEAKING . REMOVED AND REPLACED GASKET .,cylinder; intake gasket; gasket,leaking,removed; replaced
100129,NUMBER TWO AND NUMBER THREE ROCKER COVER GASKETS ARE LEAKING . REMOVED AND REPLACED GASKETS .,rocker cover gaskets; gaskets,leaking,removed; replaced
100130,ENGINE STARTED RUNNING ROUGH SHORTLY AFTER TAKEOFF AND LANDED RAN ENGINE BRIEFLY AND NOTED THAT ENGINE WAS NOT RUNNING,engine,not running; started running rough shortly,ran
100131,"ENGINE STARTED RUNNING ROUGH SHORTLY AFTER TAKEOFF AND LANDED FREED EXHAUST VALVE , INSPECTED AND FOUND TO BE SERVICEABLE",engine; exhaust valve,started running rough shortly,freed; inspected
100132,NUMBER ONE AND NUMBER THREE INTAKES LEAKING . REMOVED AND REPLACED NUMBER ONE AND NUMBER THREE ROCKER COVER GASKETS .,intakes; rocker cover gaskets,leaking,removed; replaced
100133,NUMBER TWO AND NUMBER FOUR ROCKER COVER LEAKING . REMOVED AND REPLACED ROCKER COVER GASKETS .,rocker cover; rocker cover gaskets,leaking,removed; replaced
100134,RIGHT-HAND AFT BAFFLE MOUNT RIVETS ARE SHEARED . DISCONNECTED LINES AND WIRES TO REMOVE BAFFLE . REMOVED BA,baffle mount; rivets; lines; wires; baffle,sheared,disconnected; remove; removed
100135,"CHT NEEDLE BOUNCES AND HAD ENGINE . RUN ROUGH MOMENTARILY . REMOVED AND REPLACED CHT PROBE . INSPECTION ENGINE , NO DEFECTS",cht needle; engine; cht probe,bounces; run rough momentarily,removed; replaced; inspection
100136,NOTED WEAR ON ENGINE MOUNT . CAUSED BY ENGINE BREATHER SUPPORT OPERATIONS AND LEAK CHECK GOOD .,engine mount; engine breather support,wear,operations; leak check
100137,NOTED WEAR ON ENGINE MOUNT . CAUSED BY ENGINE BREATHER SUPPORT FINISHED INSTALLATION OF ENGINE .,engine mount; engine breather support; engine,wear,finished installation
100138,"NOTED WEAR ON ENGINE MOUNT . CAUSED BY ENGINE BREATHER SUPPORT REMOVED ENGINE . REPLACED ENGINE MOUNT , TORQUED ENGINE",engine mount; engine breather support; engine,wear,removed; replaced; torqued
100139,"LEFT-HAND ENGINE NUMBERS TWO , THREE AND FOUR INTAKES ARE LEAKING . REPLACED ALL THREE GASKETS .",engine; intakes; gaskets,leaking,replaced
100140,LEFT-HAND ENGINE NUMBER THREE ROCKER COVER IS LEAKING . REMOVED AND REPLACED GASKET .,engine; rocker cover; gasket,leaking,removed; replaced
100141,RIGHT-HAND ENGINE NUMBER TWO AND NUMBER FOUR ROCKER COVERS ARE LEAKING . REPLACED NUMBER TWO AND NUMBER FOUR ROCKER COVERS .,engine; rocker covers,leaking,replaced
100142,RIGHT-HAND ENGINE NUMBER THREE AND NUMBER FOUR INTAKE TUBES ARE LEAKING . REPLACED NUMBER THREE AND NUMBER FOUR INTAKE GASKETS .,engine; intake tubes; intake gaskets,leaking,replaced
100143,"LEFT-HAND ENGINE , LEFT AFT BAFFLE ANGLE BRACKET IS CRACKED . REMOVED BRACE , STOP DRILLED CRACK . INSTALLED WITH LARGE",engine; baffle angle bracket; brace; large,cracked; crack,removed; stop drilled; installed
100144,ROCKER BOX COVER SCREWS LOOSE . RETORQUED SCREWS .,rocker box cover screws; screws,loose,
100145,NUMBER TWO ROCKER BOX COVER GASKET LEAKING . INSTALLED NEW NUMBER TWO ROCKER BOX COVER GASKET .,rocker box cover gasket,leaking,installed
100146,NUMBER FOUR ROCKER COVER GASKET LEAKING . INSTALLED NEW NUMBER FOUR ROCKER BOX COVER GASKET .,rocker cover gasket; rocker box cover gasket,leaking,installed
100147,LEFT BRAKE LININGS ARE WORN OUT . REPLACED BRAKE LININGS .,brake linings,worn,replaced
100148,RIGHT ENGINE NUMBER THREE ROCKER COVER IS LEAKING . REMOVED AND REPLACED NUMBER THREE ROCKER COVER .,engine; rocker cover,leaking,removed; replaced
100149,ENGINE OVERSPEED UP TO 3400 RPM AT TERMINATION OF AN AUTO . LEAK CHECK GOOD .,engine,overspeed,leak check
100150,ENGINE OVERSPEED UP TO 3400 RPM AT TERMINATION OF AN AUTO . BEGAN VALVE TRAIN OVERSPEED INSPECTION .,engine; valve train,overspeed,overspeed inspection
100151,ENGINE OVERSPEED UP TO 3400 RPM AT TERMINATION OF AN AUTO . BEGAN ENGINE OVERSPEED INSPECTION IN ACCORDANCE WITH . IDENTIFIED AND CORR,engine,overspeed,identified
100152,ENGINE OVERSPEED UP TO 3400 RPM AT TERMINATION OF AN AUTO . FINISHED VALVE TRAIN OVERSPEED INSPECTION . WAS COMPLET,engine; valve train,overspeed,overspeed inspection
100153,NUMBER TWO ROCKER COVER GASKET LEAKING . REPLACED GASKET .,rocker cover gasket; gasket,leaking,replaced
100154,"NUMBER TWO CYLINDER HAS LOW COMPRESSION . PERFORMED ENGINE . RUN UP TO OPERATING TEMPERATURES , PERF",cylinder; engine,low,run up
100155,NUMBER TWO ROCKER BOX COVER SCREWS LOOSE . RETORQUED SCREWS .,rocker box cover screws; screws,loose,
100156,NUMBER THREE BAFFLE BUTTON PLUG BAD . INSTALLED NEW BUTTON PLUG .,baffle button plug; button plug,bad,installed
