issue,action,kind,record_count
leak,torqued,addresses,4
leaking,operations,investigates,4
leaking,replace,addresses,4
leaking,reswaged,addresses,4
loose,adjusted,addresses,4
loose,drilled,addresses,4
loose,leak check,investigates,4
low,fitted,addresses,4
low,lapped,addresses,4
low,run up,investigates,4
low,staked,investigates,4
metal found in oil,installed,addresses,4
oil leak,leak check,investigates,4
overspeed,determined,investigates,4
pulled through,drilled,addresses,4
ran very rough,ran,investigates,4
running rough,ran,investigates,4
running very rough,ran,investigates,4
scored,replaced,addresses,4
shaking,ran,investigates,4
stripped,replaced,addresses,4
torn,applied,addresses,4
torn,secured,addresses,4
vibration,test flight,investigates,4
worn,secured,addresses,4
would not start,started,investigates,4
backfired,ground run,investigates,3
crack,inspected,investigates,3
crack,replaced,addresses,3
cracked,drilled,addresses,3
cracked,inspected,investigates,3
cracked,reinstalled,addresses,3
damage,inspected,investigates,3
failed,clearance check,investigates,3
failed,completed reassembly,addresses,3
failed,torqued,addresses,3
leaking,applied,addresses,3
leaking,resealed,addresses,3
leaking,reswedged,addresses,3
leaking,swaged,addresses,3
leaking,swedged,addresses,3
leaks,leak check,investigates,3
loose,cleaned,addresses,3
loose,riveted,addresses,3
low,borescoped,investigates,3
low,compression test,investigates,3
low,ground,addresses,3
missing,inspected,investigates,3
no compression,ran,investigates,3
overspeed,check,investigates,3
overspeed,downloaded,investigates,3
overspeed,researched,investigates,3
quit,ran up,investigates,3
ran rough,operations check,investigates,3
rough,inspected,investigates,3
rough running,replaced,addresses,3
roughness,ground run,investigates,3
rubbing,adjusted,addresses,3
run rough,ran,investigates,3
sheared,drilled out,addresses,3
sheared,reattached,addresses,3
shutdown,adjusted,addresses,3
stuck,installed,addresses,3
torn,repaired,addresses,3
vibration,installed,addresses,3
wearing,installed,addresses,3
won ' t start,attempted to start,investigates,3
worn,sealed,addresses,3
worn through,fabricated,addresses,3
bent,straightened,addresses,2
broken,inspected,investigates,2
burnt,inspected,investigates,2
burnt,replaced,addresses,2
chafing,adjusted,addresses,2
chafing,fabricated,addresses,2
crack,inspection,investigates,2
crack,repaired,addresses,2
cracked,further inspection,investigates,2
cracked,operations,investigates,2
cracked,repair,addresses,2
cracks,cleaned,addresses,2
damaged,cleaned,addresses,2
damaged,inspected,investigates,2
damaged,repaired,addresses,2
died,ground run,investigates,2
died,operations checked,investigates,2
died,ran,investigates,2
died,started,investigates,2
does not run,ran,investigates,2
enlarged,installed,addresses,2
exceeded,downloaded,investigates,2
failed,changed,investigates,2
failed,ground run,investigates,2
failed,reassembled,addresses,2
fails,adjusted,addresses,2
fails,mixture check,investigates,2
fails,ran,investigates,2
high,ran,investigates,2
high frequency vibration,installed,addresses,2
idles very irratically,replaced,addresses,2
inoperable,operations check,investigates,2
inoperable,replaced,addresses,2
leak,inspected,investigates,2
leak,maintenance flight,investigates,2
leak,reinstalled,addresses,2
leak,resealed,addresses,2
leaking,install,investigates,2
leaking,leak checked,investigates,2
leaking,ran up,investigates,2
leaking,run up,investigates,2
leaking,safetied,investigates,2
loose,applied,addresses,2
loose,recrimped,addresses,2
loose,rescured,addresses,2
loose,tightened down,addresses,2
low,check,investigates,2
low,finished installing,addresses,2
low,inspected,investigates,2
low,installed,investigates,2
low,rechecked,investigates,2
low,run up leak check,investigates,2
low,serviced,investigates,2
low,started installation,addresses,2
missing,checked,investigates,2
missing,fabricated,addresses,2
missing,secured,addresses,2
missing,tightened,addresses,2
nicked,inspected,investigates,2
no compression,found,investigates,2
no compression,inspected,investigates,2
no compression,installed,addresses,2
no compression,operations,investigates,2
no compression,staked,addresses,2
no egt,ran,investigates,2
no rise,adjusted,addresses,2
no tem,magneto check,investigates,2
not connected,replaced,addresses,2
not hitting,adjusted,addresses,2
oil leak,applied,addresses,2
oil leak,inspected,investigates,2
oversped,downloaded,investigates,2
overspeed,complied,investigates,2
overspeed,compressions,investigates,2
overspeed,inspection,investigates,2
overspeed,overspeed inspection,investigates,2
overspeed,verified,investigates,2
quit,adjusted,addresses,2
ran rough,installed,addresses,2
ran rough,leak check,investigates,2
ran rough,operations checked,investigates,2
red x,operations check,investigates,2
rough,confirmed,investigates,2
rough,installed,addresses,2
rough,leak check,investigates,2
rough chopping noise,ran,investigates,2
rough running,reamed,addresses,2
roughness,adjusted,addresses,2
roughness,compression check,investigates,2
roughness,ran,investigates,2
roughness,ran up,investigates,2
roughness,run up,investigates,2
roughness,started,investigates,2
rpm dropped,leak check,investigates,2
rpm dropped,operations,investigates,2
rpm dropped,ran up,investigates,2
rubbing,inspected,investigates,2
rubbing,installed,addresses,2
rubbing,repositioned,addresses,2
running extremely rough,ran,investigates,2
running rough,confirmed,investigates,2
running rough,installed,addresses,2
running rough,torqued,addresses,2
runs rough,compression check,investigates,2
runs rough,hand spun,investigates,2
runs rough,operations,investigates,2
runs rough,ran,investigates,2
runs rough,reamed,addresses,2
runs rough,verified,investigates,2
seeping,leak check,investigates,2
seeping,leak checked,investigates,2
seeping,replaced,addresses,2
shut down,ground run,investigates,2
shutdown,ran,investigates,2
shutdown,ran up,investigates,2
sputtering,ran,investigates,2
started running rough,installed,addresses,2
started running rough,ran,investigates,2
sticking,installed,addresses,2
sticking,ran,investigates,2
stuck,reamed,addresses,2
timed out,installed,addresses,2
too large,installed,addresses,2
torn,resecured,addresses,2
unusually rough,installed,addresses,2
very rough,ran,investigates,2
vibrated,ran,investigates,2
vibrating,installed,addresses,2
vibrating,ran,investigates,2
vibration,cleaned,addresses,2
vibration,replaced,addresses,2
vibrations,ran,investigates,2
will not start,started,investigates,2
worn,patched,addresses,2
worn,riveted,addresses,2
would not increase,ran,investigates,2
would sputter,ran up,investigates,2
zero,replaced,addresses,2
abnormal vib,ran up,investigates,1
air coming out exhaus,found,investigates,1
air coming out exhaus,leak check,investigates,1
air coming out exhaus,operations,investigates,1
air coming out exhaus,ran,investigates,1
air coming out exhaus,torqued,addresses,1
air coming out exhaus,verified,investigates,1
air noted,compression,investigates,1
air noted,run up,investigates,1
air noted,staked,investigates,1
air noted,warming up,investigates,1
air noted and observed out of exhaust,run up,investigates,1
almost quit,started,investigates,1
applies,inspected,investigates,1
audible rpm drop,ground run,investigates,1
audible rpm loss,compression check,investigates,1
back,changed,addresses,1
back,replaced,addresses,1
back fired,checked,investigates,1
back fired,inspected,investigates,1
back fired,installed,addresses,1
back fired,ran,investigates,1
back fired,run up,investigates,1
back fired,serviced,addresses,1
back fired when,inspected,investigates,1
back fired when,installed,addresses,1
back fired when,ran,investigates,1
back fired when,serviced,addresses,1
back firing,operations check,investigates,1
back firing,ran up,investigates,1
backfired,adjusted,addresses,1
backfired,inspected,investigates,1
backfired,operations checked,investigates,1
backfired,replaced,addresses,1
bad,operations check,investigates,1
bad compression,clearance check,investigates,1
bad compression,fitted,addresses,1
bad compression,leak check,investigates,1
bad compression,operations,investigates,1
bad compression,ran,investigates,1
barely capable,inspected,investigates,1
battery still showing discharge,run up,investigates,1
battery still showing discharge,started,investigates,1
bearing,replaced,addresses,1
became incredibly rough,completed installation,addresses,1
became incredibly rough,leak and operations checked,investigates,1
became incredibly rough,ran,investigates,1
became rough,disconnected,investigates,1
became rough,dry tappet clearance check,investigates,1
became rough,magnetos check,investigates,1
became rough,power and leak check,investigates,1
became rough,ran,investigates,1
began to struggle,checked,investigates,1
began to struggle,finished reinstallation,addresses,1
began to struggle,ground run,investigates,1
began to struggle,ran,investigates,1
began to struggle,reinstalled,addresses,1
began to struggle,verified,investigates,1
bent,checked,investigates,1
bent,inspecte,investigates,1
bent,installed,addresses,1
bent,reinstalled,addresses,1
bounces,inspection,investigates,1
bounces,replaced,addresses,1
briefly lose power,run up,investigates,1
broke,installed,addresses,1
broke,replaced,addresses,1
broke off,installed,addresses,1
broken,drilled,addresses,1
broken,found,investigates,1
broken,leak check,investigates,1
broken,loosened,addresses,1
broken,operations check,investigates,1
broken,reinstalled,addresses,1
broken,repaired,addresses,1
broken,resafetied,addresses,1
broken,rethreaded,addresses,1
broken,rigged,addresses,1
burned,borescoped,investigates,1
"burned , sooted",inspected,investigates,1
burnt,fitted,addresses,1
burnt,lapped,addresses,1
burnt,verified,investigates,1
came into cont,installation,addresses,1
came into cont,replacement,addresses,1
chafed,applied,addresses,1
chafed,check,investigates,1
chafed,cleaned,addresses,1
chafed,removed,addresses,1
chafed,replaced,addresses,1
chafing,bend,addresses,1
chafing,found,investigates,1
chafing,leak check,investigates,1
chafing,resafetied,addresses,1
chafing,separated,addresses,1
chafing damage,inspected,investigates,1
chafing through,resafetied,addresses,1
choke,run up,investigates,1
choked,checked,investigates,1
choked,run up,investigates,1
click,started,investigates,1
clicking noise,inspected,investigates,1
co level high warning came on,checks,investigates,1
co level high warning came on,ran,investigates,1
co warning came,ran up,investigates,1
cold,leak check,investigates,1
cold,operations,investigates,1
coming from exhaust,leak check,investigates,1
coming from exhaust,operations,investigates,1
coming from exhaust,ran,investigates,1
coming off,refastened,addresses,1
coming out,cleaned,addresses,1
coming out,ground run,investigates,1
coming out,leak check,investigates,1
coming out,ran up,investigates,1
coming out,verified,investigates,1
contact,found,investigates,1
contacted,inspected,investigates,1
corroded,replaced,addresses,1
coughed,ran,investigates,1
coughed often,bore scoped,investigates,1
coughed often,checked,investigates,1
coughed often,finished reinstallation,addresses,1
coughed often,ground run,investigates,1
coughed often,installed,addresses,1
coughed often,ran,investigates,1
coughed often,reinstalled,addresses,1
coughed often,verified,investigates,1
could not restart,started,investigates,1
could not start,ground run,investigates,1
could not start,ran,investigates,1
could not start,started,investigates,1
crack,applied,addresses,1
crack,observed,investigates,1
crack,stop drill,addresses,1
crack,verified,investigates,1
cracked,assembled,addresses,1
cracked,began,addresses,1
cracked,began . replacing,addresses,1
cracked,began fabricating,addresses,1
cracked,change,investigates,1
cracked,check,investigates,1
cracked,cleaned,addresses,1
cracked,cleaned up,addresses,1
cracked,completed installation,addresses,1
cracked,compression test,investigates,1
cracked,disconnected,addresses,1
cracked,displaced,addresses,1
cracked,dry tappet clearance check,investigates,1
cracked,fabricating,addresses,1
cracked,filled,addresses,1
cracked,finished installation,addresses,1
cracked,finished reassembly,addresses,1
cracked,inspection,investigates,1
cracked,installed repaired,addresses,1
cracked,leak and operations check,investigates,1
cracked,procured,addresses,1
cracked,reinstalled repaired,addresses,1
cracked,replacement,addresses,1
cracked,riveted,investigates,1
cracked,started creating,addresses,1
cracked,swapped,addresses,1
cracked,torqued,addresses,1
cracks,filled,addresses,1
cracks,inspected,investigates,1
cracks,installed,addresses,1
cracks,painted,investigates,1
cracks,replaced,addresses,1
cut off,started,investigates,1
damage,adjusted,addresses,1
damage,further inspection,investigates,1
damage,installed,addresses,1
damage,reasssembled,addresses,1
damaged,completed reassembly,addresses,1
damaged,dressed,addresses,1
damaged,leak check,investigates,1
damaged,replacement,addresses,1
damaged,rigged,addresses,1
damaged,torqued,addresses,1
dead,reinstalled,addresses,1
dead,replaced,addresses,1
decreased to zero,cleared,addresses,1
decreased to zero,idle check,investigates,1
decreased to zero,operations checked,investigates,1
decreased to zero,ran up,investigates,1
dent,replaced,addresses,1
did not start,started,investigates,1
die,checks,investigates,1
die,ran,investigates,1
died,adju,addresses,1
died,magneto check,investigates,1
died,ran up,investigates,1
died,warmed up,investigates,1
dirty,reinstalled,addresses,1
dirty,replaced,addresses,1
does not align,trimmed,addresses,1
does not run,borescop,investigates,1
does not run,compression test,investigates,1
does not run,leak check,investigates,1
does not run,operations,investigates,1
does not run,replaced,addresses,1
does not run,torqued,investigates,1
does not run,verified,investigates,1
drop in rpm,ground run,investigates,1
drop in rpm,performed,investigates,1
dropped,completed reassembly,addresses,1
dropped,confirmed,investigates,1
dropped,leak checked,investigates,1
dropped,ran,investigates,1
drops to zero,ground ran,investigates,1
drops to zero,operations check,investigates,1
drops to zero,replaced,addresses,1
ducting rubbing,installed,addresses,1
eating into,inspected,investigates,1
elaking,replaced,addresses,1
elongated,riveted,addresses,1
enlarged,fabricated,addresses,1
exceeded,check,investigates,1
exceeded,inspected,investigates,1
exceeded,reviewed,investigates,1
exceeded,verified,investigates,1
excessive,installed,addresses,1
excessive,lash check,investigates,1
excessive end play,inspected,investigates,1
excessive vibration,replaced,addresses,1
excessive vibration,torqued,investigates,1
failed,adjusted,addresses,1
failed,break-in flight,investigates,1
failed,checked,investigates,1
failed,inspected,investigates,1
failed,leak and operations check,investigates,1
failed,maintenance break-in flight,investigates,1
failed,operations,investigates,1
failed,operations check,investigates,1
failed,override speed check,investigates,1
failed,ran,investigates,1
failed,ran up,investigates,1
failed,reinstalled,addresses,1
failed,replace,addresses,1
failed,run up,investigates,1
failed,started,investigates,1
failed,tried,addresses,1
fails,checks,investigates,1
fails,mixture and idle checks,investigates,1
fails,mixture override check,investigates,1
fails,operations check,investigates,1
failure,idle mixture check,investigates,1
failure,inspecte,investigates,1
failure,ran,investigates,1
falling,replaced,addresses,1
fan,replaced,addresses,1
faulty,ground run,investigates,1
faulty,operations checked,investigates,1
faulty,ran faulty magneto check,investigates,1
fingers,replaced,addresses,1
flame came out,ground run,investigates,1
flame came out,inspected,investigates,1
flame came out,operations checked,investigates,1
flames,inspected,investigates,1
flames comi,ground run,investigates,1
flames comi,nspected,investigates,1
flames comi,operations checked,investigates,1
fluctuating,inspect,investigates,1
fluctuating,operations check,investigates,1
fluctuating,ran,investigates,1
fluctuating,ran up,investigates,1
fluctuating,replaced,addresses,1
fouled,ran up,investigates,1
fouled,run up,investigates,1
gains and drops,ground run,investigates,1
gains and drops,operations checked,investigates,1
galled,installed,addresses,1
gouged,installed,addresses,1
gouged,leak check,investigates,1
gouged,run,investigates,1
gouged,secured,addresses,1
gouged,torqued,investigates,1
grass,cleaned,addresses,1
grinding noise,cleaned,addresses,1
head,inspected,investigates,1
hesitation/roughness,ran,investigates,1
high,checked,investigates,1
high,ground . ran,investigates,1
high,operations check,investigates,1
high frequency vibration,adjusted,addresses,1
high frequency vibration,completed installation,addresses,1
high frequency vibration,ground run,investigates,1
high frequency vibration,leak check,investigates,1
high frequency vibration,operations,investigates,1
high frequency vibration,ran up,investigates,1
high pitched squealing noise,operations check,investigates,1
high pitched squealing noise,ran up,investigates,1
"high pitched whine , squeal , wh",ran,investigates,1
hitting mount,inspected,investigates,1
hoisting loop,leak check,investigates,1
hoisting loop,sealed,addresses,1
hoisting loop,torqued,addresses,1
idles extremely rough,ground run,investigates,1
idles extremely rough,seasonal adjustment,addresses,1
idles very irratically,began replacement,addresses,1
idles very irratically,operations check,investigates,1
idles very irratically,retimed,addresses,1
idles very irratically,started,investigates,1
idles very irratically,tried making several idle mixture adjustments,addresses,1
idling too low,adju,addresses,1
idling too low,ground run,investigates,1
increases in volume,ground run,investigates,1
increases in volume,inspected,investigates,1
indicates zero,alternators check,investigates,1
indicates zero,ran,investigates,1
inoperable,disconnected,investigates,1
inoperable,dry tappet clearance check,investigates,1
inoperable,magnetos check,investigates,1
inoperable,power and leak check,investigates,1
inoperable,ran,investigates,1
inoperable,reassembled,addresses,1
inoperable,reinstalled,addresses,1
jumps into red,cleaned,addresses,1
jumps into red,fuel pressure checked,investigates,1
kept hesitating,ground run,investigates,1
kept hesitating,operations checked,investigates,1
killed,run up,investigates,1
kinked,replaced,addresses,1
kinked,secured,addresses,1
kinked,unkinked,addresses,1
knocking,inspected,investigates,1
knocking noise,confirmed,investigates,1
knocking noise,ran,investigates,1
large gouge,replaced,addresses,1
large pool of oil,added,addresses,1
large pool of oil,observed,investigates,1
large pool of oil,ran,investigates,1
large puddle of liquid,ran,investigates,1
leak,check,investigates,1
leak,completed removal,addresses,1
leak,connected,investigates,1
leak,found,investigates,1
leak,further inspection,investigates,1
leak,ground run leak check,investigates,1
leak,operations,investigates,1
leak,resafetied,addresses,1
leak,reswedged,addresses,1
leak,serviced,addresses,1
leak,serviced,investigates,1
leak,tightened,addresses,1
leak,washed,addresses,1
leakage,replaced,addresses,1
leaki,inspected,investigates,1
leakin,leak check,investigates,1
leaking,began replacement,addresses,1
leaking,chased threads,investigates,1
leaking,confirmed,investigates,1
leaking,deterimed,investigates,1
leaking,dressed,addresses,1
leaking,found,investigates,1
leaking,further inspection,investigates,1
leaking,ground seat,addresses,1
leaking,ground seat,investigates,1
leaking,honed,addresses,1
leaking,inspection,investigates,1
leaking,observed,investigates,1
leaking,ok,addresses,1
leaking,ordered,addresses,1
leaking,readjusted,addresses,1
leaking,repairced,addresses,1
leaking,replac,addresses,1
leaking,repositioned,addresses,1
leaking,reseat,investigates,1
leaking,reset,addresses,1
leaking,reset,investigates,1
leaking,revealed,addresses,1
leaking,rotated,addresses,1
leaking,run up leak check,investigates,1
leaking,secured,addresses,1
leaking,serviced,addresses,1
leaking,serviced,investigates,1
leaking,staked,addresses,1
leaking,torqued,investigates,1
leaking,tried to stake,addresses,1
leaking,tried to stake,investigates,1
leaking,verified,investigates,1
leaking,washed,addresses,1
leaking through,finished removing,investigates,1
leaking through,found,investigates,1
leaking through,installed,addresses,1
leaking through,installed repaired,addresses,1
leaking through,leak check,investigates,1
leaking through,reck ' ed,investigates,1
leaking through,repaired,addresses,1
leaks,complied,investigates,1
leaks,deterimed,investigates,1
leaks,leak checked,investigates,1
leaks,secured,addresses,1
leaks,secured,investigates,1
leaks,swedged,addresses,1
leaky,replaced,addresses,1
listed,installed,addresses,1
little rough,started,investigates,1
locking,installed,addresses,1
loose,assembled,addresses,1
loose,inspection,investigates,1
loose,loosened,addresses,1
loose,operations check,investigates,1
loose,prepped,addresses,1
loose,ran,investigates,1
loose,reglued,addresses,1
loose,repaired,addresses,1
loose,repositioned,addresses,1
loose,resealed,addresses,1
loose,reswaged,addresses,1
loose,retightened,addresses,1
loose,safetied,addresses,1
loose,safetied,investigates,1
loose,sealed,addresses,1
loose,secure,addresses,1
loose,tapped,addresses,1
loose,tighten,addresses,1
loose,torqued,addresses,1
loose cracked,assembled,addresses,1
loose cracked,cleaned,addresses,1
loose cracked,inspection,investigates,1
lost,changed,addresses,1
lost,ran,investigates,1
lost,replaced,addresses,1
loud knock,inspected,investigates,1
loud soun,ran,investigates,1
loud tap,ran,investigates,1
loud tap,ran up,investigates,1
low,added,addresses,1
low,attempted staking,investigates,1
low,attempted to start,investigates,1
low,began replacement,addresses,1
low,chased threads,investigates,1
low,checked,investigates,1
low,checks,investigates,1
low,compelted installation,addresses,1
low,completed install,addresses,1
low,compression,investigates,1
low,drained,investigates,1
low,dry tappet cl,investigates,1
low,dry tappet clearance check,investigates,1
low,finished grounding,addresses,1
low,finished installation,addresses,1
low,finished removing,investigates,1
low,fitted,investigates,1
low,fitting,addresses,1
low,found,investigates,1
low,ground,investigates,1
low,install,investigates,1
low,installation,addresses,1
low,lapped,investigates,1
low,leak and run up check,investigates,1
low,measured,investigates,1
low,observed,investigates,1
low,rechecked compressions,investigates,1
low,reck ' ed,investigates,1
low,replacement,addresses,1
low,serviced,addresses,1
low,started grinding,addresses,1
low,torqued,addresses,1
low,tried stacking,addresses,1
low,tried staking,addresses,1
low,verified,investigates,1
low power,inspected,investigates,1
low power,maintenance flight,investigates,1
lower,compression test,investigates,1
major shaking,ground run,investigates,1
major shaking,operations checked,investigates,1
making contact,clearanced,addresses,1
many missing,installed,addresses,1
metal found,filter insp,investigates,1
metal found,oil change,investigates,1
metal found in oil,applied,addresses,1
metal found in oil,check,investigates,1
metal found in oil,cleaned,addresses,1
metal found in oil,installation,addresses,1
metal found in oil,replaced,addresses,1
metal found in oil,sealed,addresses,1
metal found in oil,washed,addresses,1
missing,applied,addresses,1
missing,cleaned,addresses,1
missing,compression check,investigates,1
missing,gapped,addresses,1
missing,installed fastener,addresses,1
missing,operations,investigates,1
missing,operations check,investigates,1
missing,patched,addresses,1
missing,ran,investigates,1
missing,reattached,addresses,1
missing,reglued,addresses,1
missing,repaired,addresses,1
missing,replacement,addresses,1
missing,retrieved,investigates,1
missing,sealed,addresses,1
missing,stripped,addresses,1
missing,tested,investigates,1
missing,torqued,addresses,1
momentary loss,inspected,investigates,1
momentary loss,ran,investigates,1
momentary loss,test,investigates,1
momentary loss,test ran,investigates,1
momentary overspeed,analyzed,investigates,1
momentary power hesitation,run up,investigates,1
momentary rpm drop aroun,operations check,investigates,1
momentary rpm drop aroun,ran up,investigates,1
moves erratically,ground ran,investigates,1
moves erratically,operations check,investigates,1
moves erratically,replaced,addresses,1
nicked,replaced,addresses,1
nicked,researched,investigates,1
nicked,verified,investigates,1
no bolts,inspected,investigates,1
no bolts missing,inspected,investigates,1
no compresion,inspected,investigates,1
no compression,completed install,addresses,1
no compression,completed reinstallation,addresses,1
no compression,dry tappet clearance check,investigates,1
no compression,ran up,investigates,1
no compression,reinstalled,addresses,1
no compression,run up,investigates,1
no compression,staked,investigates,1
no compression,torqued,addresses,1
no compression,verified,investigates,1
no cylinder compression note,compression test,investigates,1
no egt,checked,investigates,1
no egt,cleaned,addresses,1
no egt ind,installed,addresses,1
no rise,checks,investigates,1
no rise,mixture check,investigates,1
no rise,operations check,investigates,1
no rpm rise,adjusted,addresses,1
no rpm rise,mixture check,investigates,1
no rpm rise,operations check,investigates,1
no smoothness,ground run,investigates,1
no smoothness,operations checked,investigates,1
no tem,checked,investigates,1
no tem,ground run,investigates,1
no tem,leak check,investigates,1
no tem,operations,investigates,1
no tem,ran,investigates,1
no tem,replaced,addresses,1
no threads showing,installed,addresses,1
no torque seal,checked torque,addresses,1
no torque seal,torque sealed,addresses,1
normally,run up,investigates,1
normally,started,investigates,1
normally,started,investigates,1
not activate,operations check,investigates,1
not align,trimmed,addresses,1
not applicable,replacement,addresses,1
not attached,found,investigates,1
not attached,reattached,addresses,1
not attached,replaced,addresses,1
not connected,reconnected,addresses,1
not hitting,checks,investigates,1
not hitting,operations check,investigates,1
not hooked up,installed,addresses,1
not hooked up,reinstalled,addresses,1
not hooked up,tightened,addresses,1
not producing fu,idle mixture check,investigates,1
not producing fu,ran,investigates,1
not put,ran,investigates,1
not rubbing,inspection,investigates,1
not running,ran,investigates,1
not sealing,replaced,addresses,1
not secured,resecured,addresses,1
not secured,secured,addresses,1
not secured,unkinked,addresses,1
not within tolerance,found,investigates,1
not within tolerance,ran,investigates,1
oil found,leak check,investigates,1
oil found,operations,investigates,1
oil found,ran,investigates,1
oil leak,adjust,addresses,1
oil leak,inspection,investigates,1
oil leak,installed,addresses,1
oil leak,leak checked,investigates,1
oil leak,operational,investigates,1
oil leak,ran,investigates,1
oil leak,reinstalled,addresses,1
oil leak,replaced,addresses,1
oil leak,sealed,addresses,1
oil leak,tightened,addresses,1
ok,adjusted,addresses,1
out of limits,found,investigates,1
out of place,reinstalled,addresses,1
out of place,resecured,addresses,1
out of standards,magneto check,investigates,1
out of standards,ran,investigates,1
over reved,downloaded,investigates,1
over temperature,checked,investigates,1
over temperature,ground run,investigates,1
over temperature,systems check,investigates,1
overspe,found,investigates,1
overspe,reviewed,investigates,1
oversped,analyzed,investigates,1
oversped,check,investigates,1
oversped,found,investigates,1
oversped,inspected,investigates,1
oversped,reviewed,investigates,1
oversped,verified,investigates,1
overspeed,analyzed,investigates,1
overspeed,began insp,investigates,1
overspeed,checked,investigates,1
overspeed,completed inspection,investigates,1
overspeed,down load,investigates,1
overspeed,identified,investigates,1
overspeed,leak check,investigates,1
overspeed,reinstalled,addresses,1
overspeed,removed,investigates,1
overspeed,reviewed flight data,investigates,1
overspeed 2750,reviewed flight data,investigates,1
overspeed 2750,verified,investigates,1
overspeed generally,maintenance fligh,investigates,1
overspeed generally,ran,investigates,1
overspeed generally,rpm checks,investigates,1
ovespeed,down load,investigates,1
partial power loss,check,investigates,1
partial power loss,checked,investigates,1
partial power loss,ground run,investigates,1
partial power loss,observed,investigates,1
partial power loss,replaced,addresses,1
partial power loss,serviced,investigates,1
power reduc,completed reassembly,addresses,1
power reduc,operations check,investigates,1
power reduc,ran up,investigates,1
pulled,installed,addresses,1
pulled through,resecured,addresses,1
pulled through,secured,addresses,1
pulling through,replaced,addresses,1
quit,checks,investigates,1
quit,ground run,investigates,1
quit,idle mixture check,investigates,1
quit,ran,investigates,1
quit,replaced,addresses,1
quit,started,investigates,1
quit,tested idle,investigates,1
ran consistantly rough,confirmed,investigates,1
ran consistantly rough,installed,addresses,1
ran consistantly rough,leak check,investigates,1
ran consistantly rough,ran,investigates,1
ran consistantly rough,replaced,addresses,1
ran rough,adjusted,addresses,1
ran rough,clean,addresses,1
ran rough,compression check,investigates,1
ran rough,compression test,investigates,1
ran rough,dry tappet cl,investigates,1
ran rough,ground,addresses,1
ran rough,idle and idle mixture . rise check,investigates,1
ran rough,installation,addresses,1
ran rough,lapped,addresses,1
ran rough,magneto,investigates,1
ran rough,magneto checks,investigates,1
ran rough,magnetos check,investigates,1
ran rough,operations,investigates,1
ran rough,replaced,addresses,1
ran rough,shut off,investigates,1
ran rough,started,investigates,1
ran rough,verified,investigates,1
ran very rough,compression check,investigates,1
ran very rough,ground run,investigates,1
ran very rough,inspected,investigates,1
ran very rough,magneto check,investigates,1
ran very rough,reamed,addresses,1
ran very rough,reamed,investigates,1
ran very rough,removed,investigates,1
ran very rough,replaced,addresses,1
