source,relation,target,record_count
ACTION:removed,ACTION_ON_ITEM,MAINT_ITEM:intake gaskets,229
MAINT_ITEM:cylinder,HAS_LOCATION,LOC:number one,229
FAULT:cracked,ISSUE_ON_ITEM,MAINT_ITEM:baffle,227
ABN_PROC:leaking,ISSUE_ON_ITEM,MAINT_ITEM:rocker cover gaskets,213
MAINT_ITEM:engine,HAS_PART,MAINT_ITEM:baffle,194
MAINT_ITEM:intake gasket,HAS_LOCATION,LOC:number two,192
MAINT_ITEM:engine,HAS_PART,MAINT_ITEM:intake,189
MAINT_ITEM:intake,HAS_LOCATION,LOC:number two,186
ACTION:tightened,ACTION_ADDRESSES_ISSUE,FAULT:loose,178
MAINT_ITEM:cylinder,HAS_PART,MAINT_ITEM:rocker cover gasket,178
ABN_PROC:leaking,ISSUE_ON_ITEM,MAINT_ITEM:rocker covers,177
ACTION:installed,ACTION_ADDRESSES_ISSUE,ABN_PROC:leaking,171
ACTION:installed,ACTION_ADDRESSES_ISSUE,FAULT:missing,171
ACTION:leak check,ACTION_RESULTS_IN_OUTCOME,OUTCOME:good,170
MAINT_ITEM:intake gasket,HAS_LOCATION,LOC:number four,164
FAULT:crack,ISSUE_ON_ITEM,MAINT_ITEM:baffle,163
ACTION:stop drilled,ACTION_ON_ITEM,MAINT_ITEM:baffle,161
MAINT_ITEM:engine,HAS_PART,MAINT_ITEM:intakes,159
MAINT_ITEM:cylinder,HAS_PART,MAINT_ITEM:baffle,158
ACTION:stop drilled,ACTION_ADDRESSES_ISSUE,FAULT:cracked,155
FAULT:low,ISSUE_ON_ITEM,MAINT_ITEM:cylinder,145
MAINT_ITEM:intake,HAS_LOCATION,LOC:number four,144
MAINT_ITEM:engine,HAS_PART,MAINT_ITEM:intake gasket,143
ACTION:replaced,ACTION_ADDRESSES_ISSUE,FAULT:broken,124
ACTION:ran,ACTION_ON_ITEM,MAINT_ITEM:aircraft,123
MAINT_ITEM:intake gasket,HAS_LOCATION,LOC:number three,121
TECH_OBS:compression,OBSERVATION_OF_ITEM,MAINT_ITEM:cylinder,118
MAINT_ITEM:baffle,HAS_LOCATION,LOC:aft,117
MAINT_ITEM:intake,HAS_LOCATION,LOC:number three,116
MAINT_ITEM:engine,HAS_PART,MAINT_ITEM:intake gaskets,113
MAINT_ITEM:cylinder,HAS_PART,MAINT_ITEM:rocker cover gaskets,112
ACTION:removed,ACTION_ON_ITEM,MAINT_ITEM:baffle,103
ACTION:stop drilled,ACTION_ADDRESSES_ISSUE,FAULT:crack,102
MAINT_ITEM:rocker cover gasket,HAS_LOCATION,LOC:number three,101
MAINT_ITEM:baffle,HAS_LOCATION,LOC:right-hand,100
ACTION:replaced,ACTION_ADDRESSES_ISSUE,ABN_PROC:leaks,97
ACTION:removed,ACTION_ON_ITEM,MAINT_ITEM:cylinder,97
MAINT_ITEM:rocker cover gasket,HAS_LOCATION,LOC:number two,95
ACTION:installed,ACTION_ON_ITEM,MAINT_ITEM:screw,91
FAULT:loose,ISSUE_ON_ITEM,MAINT_ITEM:baffle seal,86
MAINT_ITEM:rocker cover,HAS_LOCATION,LOC:number three,85
MAINT_ITEM:rocker cover gasket,HAS_LOCATION,LOC:number four,83
MAINT_ITEM:baffle,HAS_LOCATION,LOC:forward,80
MAINT_ITEM:cylinder,HAS_LOCATION,LOC:right-hand,80
MAINT_ITEM:cylinder,HAS_PART,MAINT_ITEM:intake gaskets,79
MAINT_ITEM:rocker cover,HAS_LOCATION,LOC:number two,77
MAINT_ITEM:baffle,HAS_LOCATION,LOC:left-hand,76
MAINT_ITEM:engine,HAS_PART,MAINT_ITEM:rocker cover,76
FAULT:missing,ISSUE_ON_ITEM,MAINT_ITEM:screw,75
ACTION:replaced,ACTION_ADDRESSES_ISSUE,FAULT:worn,74
MAINT_ITEM:engine,HAS_PART,MAINT_ITEM:rocker covers,72
MAINT_ITEM:cylinder,HAS_PART,MAINT_ITEM:intake,69
ACTION:leak check,ACTION_INVESTIGATES_ISSUE,ABN_PROC:leaking,68
MAINT_ITEM:engine,HAS_PART,MAINT_ITEM:baffle seal,66
MAINT_ITEM:cylinder,HAS_LOCATION,LOC:number two and number four,65
MAINT_ITEM:cylinder,HAS_PART,MAINT_ITEM:baffle seal,65
ACTION:replaced,ACTION_ADDRESSES_ISSUE,FAULT:missing,64
ACTION:resecured,ACTION_ADDRESSES_ISSUE,FAULT:loose,63
ACTION:cleaned,ACTION_ADDRESSES_ISSUE,ABN_PROC:leaking,61
MAINT_ITEM:engine,HAS_PART,MAINT_ITEM:rocker cover gaskets,61
ACTION:fabricated,ACTION_ADDRESSES_ISSUE,FAULT:cracked,59
ACTION:fabricated,ACTION_ON_ITEM,MAINT_ITEM:patch,58
ACTION:removed,ACTION_ON_ITEM,MAINT_ITEM:engine,58
ACTION:replaced,ACTION_ON_ITEM,MAINT_ITEM:baffle plugs,58
MAINT_ITEM:baffle seal,HAS_LOCATION,LOC:forward,57
MAINT_ITEM:baffle,HAS_LOCATION,LOC:number three,56
MAINT_ITEM:cylinder,HAS_LOCATION,LOC:aft,56
MAINT_ITEM:cylinder,HAS_LOCATION,LOC:left-hand,56
ACTION:replaced,ACTION_ON_ITEM,MAINT_ITEM:cylinder,55
MAINT_ITEM:engine,HAS_LOCATION,LOC:forward,55
MAINT_ITEM:intake gaskets,HAS_LOCATION,LOC:number two and number four,55
ABN_PROC:leaking,ISSUE_ON_ITEM,MAINT_ITEM:induction tube gasket,54
ACTION:tightened,ACTION_ON_ITEM,MAINT_ITEM:screws,53
MAINT_ITEM:engine,HAS_LOCATION,LOC:rear,53
ACTION:replaced,ACTION_ADDRESSES_ISSUE,FAULT:cracked,52
ABN_PROC:leaking,ISSUE_ON_ITEM,MAINT_ITEM:rocker gaskets,52
MAINT_ITEM:rocker cover,HAS_LOCATION,LOC:number four,51
MAINT_ITEM:cylinder,HAS_PART,MAINT_ITEM:exhaust valve,51
MAINT_ITEM:engine,HAS_PART,MAINT_ITEM:rocker cover gasket,51
ACTION:ran,ACTION_ON_ITEM,MAINT_ITEM:engine,50
MAINT_ITEM:intakes,HAS_LOCATION,LOC:number two and number four,50
ACTION:resecured,ACTION_ON_ITEM,MAINT_ITEM:baffle seal,49
ACTION:replaced,ACTION_ADDRESSES_ISSUE,FAULT:loose,48
ACTION:installed,ACTION_ADDRESSES_ISSUE,FAULT:worn,47
ACTION:secured,ACTION_ADDRESSES_ISSUE,FAULT:loose,47
ACTION:operations,ACTION_RESULTS_IN_OUTCOME,OUTCOME:good,47
MAINT_ITEM:rocker cover gasket,HAS_LOCATION,LOC:number one,47
MAINT_ITEM:baffle,HAS_PART,MAINT_ITEM:screw,47
ACTION:installed,ACTION_ADDRESSES_ISSUE,FAULT:cracked,45
ACTION:ran up,ACTION_ON_ITEM,MAINT_ITEM:aircraft,45
ACTION:fabricated,ACTION_USES_ITEM,MAINT_ITEM:like material,45
ABN_PROC:leaking,ISSUE_ON_ITEM,MAINT_ITEM:intake tube gasket,45
MAINT_ITEM:rocker cover,HAS_LOCATION,LOC:number one,43
MAINT_ITEM:baffle seal,HAS_LOCATION,LOC:right-hand,42
MAINT_ITEM:intake,HAS_LOCATION,LOC:number one,42
ACTION:secured,ACTION_ON_ITEM,MAINT_ITEM:baffle seal,41
ACTION:installed,ACTION_ON_ITEM,MAINT_ITEM:baffle,40
ACTION:operations check,ACTION_RESULTS_IN_OUTCOME,OUTCOME:good,40
ACTION:tightened,ACTION_ON_ITEM,MAINT_ITEM:screw,39
MAINT_ITEM:cylinder,HAS_PART,MAINT_ITEM:rocker cover,39
ACTION:replaced,ACTION_ADDRESSES_ISSUE,FAULT:damaged,38
ABN_PROC:leaks,ISSUE_ON_ITEM,MAINT_ITEM:intake gasket,38
MAINT_ITEM:cylinder,HAS_LOCATION,LOC:number three and number four,37
FAULT:worn,ISSUE_ON_ITEM,MAINT_ITEM:baffle plugs,37
ACTION:installed,ACTION_ADDRESSES_ISSUE,FAULT:broken,36
ACTION:installed,ACTION_ON_ITEM,MAINT_ITEM:gasket,36
ACTION:leak check,ACTION_ON_ITEM,MAINT_ITEM:cylinder,36
ACTION:removed,ACTION_ON_ITEM,MAINT_ITEM:baffle plugs,36
ACTION:started,ACTION_ON_ITEM,MAINT_ITEM:aircraft,36
MAINT_ITEM:intake gasket,HAS_LOCATION,LOC:number one,36
MAINT_ITEM:rocker cover gaskets,HAS_LOCATION,LOC:number two and number three,36
ABN_PROC:leaking,ISSUE_ON_ITEM,MAINT_ITEM:rocker gasket,36
ACTION:replaced,ACTION_ADDRESSES_ISSUE,FAULT:torn,35
ACTION:replaced,ACTION_ON_ITEM,MAINT_ITEM:screw,35
MAINT_ITEM:cylinder,HAS_LOCATION,LOC:number two and number three,35
FAULT:missing,ISSUE_ON_ITEM,MAINT_ITEM:baffle screw,35
MAINT_ITEM:baffle,HAS_LOCATION,LOC:number four,34
MAINT_ITEM:engine,HAS_LOCATION,LOC:left,34
FAULT:cracked,ISSUE_ON_ITEM,MAINT_ITEM:cylinder,33
MAINT_ITEM:intake gaskets,HAS_LOCATION,LOC:number three and number four,32
MAINT_ITEM:rocker covers,HAS_LOCATION,LOC:number two and number four,32
MAINT_ITEM:baffle,HAS_PART,MAINT_ITEM:cylinder,32
FAULT:missing,ISSUE_ON_ITEM,MAINT_ITEM:baffle,31
ACTION:installed,ACTION_ON_ITEM,MAINT_ITEM:patch,30
MAINT_ITEM:cylinder,HAS_LOCATION,LOC:number 4,30
MAINT_ITEM:intake gaskets,HAS_LOCATION,LOC:number two and number three,30
ACTION:replaced,ACTION_ON_ITEM,MAINT_ITEM:baffle plug,29
MAINT_ITEM:cylinder,HAS_PART,MAINT_ITEM:intake tube,29
ABN_PROC:leaks,ISSUE_ON_ITEM,MAINT_ITEM:intake,29
ACTION:installed,ACTION_ADDRESSES_ISSUE,FAULT:loose,28
ACTION:tightened,ACTION_ADDRESSES_ISSUE,ABN_PROC:leaking,28
MAINT_ITEM:intakes,HAS_LOCATION,LOC:number three and number four,28
MAINT_ITEM:cylinder,HAS_PART,MAINT_ITEM:screw,28
MAINT_ITEM:engine,HAS_PART,MAINT_ITEM:screw,28
FAULT:failed,ISSUE_ON_ITEM,MAINT_ITEM:cylinder,28
ACTION:replaced,ACTION_ADDRESSES_ISSUE,ABN_PROC:leak,27
ACTION:installed,ACTION_ON_ITEM,MAINT_ITEM:induction tube gasket,27
ACTION:replaced,ACTION_ON_ITEM,MAINT_ITEM:baffle,27
MAINT_ITEM:baffle plug,HAS_LOCATION,LOC:right-hand,27
MAINT_ITEM:cylinder,HAS_LOCATION,LOC:forward,27
MAINT_ITEM:intakes,HAS_LOCATION,LOC:number two and number three,27
FAULT:loose,ISSUE_ON_ITEM,MAINT_ITEM:baffle screw,27
ABN_PROC:ran rough,ISSUE_ON_ITEM,MAINT_ITEM:engine,27
ACTION:installed,ACTION_ON_ITEM,MAINT_ITEM:intake gasket,26
MAINT_ITEM:cylinder,HAS_PART,MAINT_ITEM:baffling,26
ABN_PROC:leaking,ISSUE_ON_ITEM,MAINT_ITEM:intake tube,26
FAULT:loose,ISSUE_ON_ITEM,MAINT_ITEM:baffle,26
FAULT:loose,ISSUE_ON_ITEM,MAINT_ITEM:rocker box cover screws,26
FAULT:sheared,ISSUE_ON_ITEM,MAINT_ITEM:rivets,26
MAINT_ITEM:intakes,HAS_LOCATION,"LOC:two , three and four",25
MAINT_ITEM:rocker cover gaskets,HAS_LOCATION,LOC:number two and number four,25
ACTION:cleaned,ACTION_ADDRESSES_ISSUE,FAULT:dirty,24
ACTION:leak check,ACTION_ON_ITEM,MAINT_ITEM:engine,24
ACTION:replaced,ACTION_ON_ITEM,MAINT_ITEM:plugs,24
MAINT_ITEM:induction tube gasket,HAS_LOCATION,LOC:number two,24
MAINT_ITEM:cylinder,HAS_PART,MAINT_ITEM:rocker covers,24
MAINT_ITEM:engine,HAS_PART,MAINT_ITEM:baffle screw,24
FAULT:torn,ISSUE_ON_ITEM,MAINT_ITEM:baffle seal,24
ACTION:ground run,ACTION_ON_ITEM,MAINT_ITEM:engine,23
ACTION:leak check,ACTION_ON_ITEM,MAINT_ITEM:aircraft,23
ACTION:replaced,ACTION_ON_ITEM,MAINT_ITEM:baffle seal,23
ACTION:replaced,ACTION_ON_ITEM,MAINT_ITEM:rocker gaskets,23
ACTION:started,ACTION_ON_ITEM,MAINT_ITEM:engine,23
MAINT_ITEM:baffle,HAS_LOCATION,LOC:number one,23
MAINT_ITEM:baffle,HAS_LOCATION,LOC:rear,23
MAINT_ITEM:cylinder,HAS_LOCATION,LOC:number one and number three,23
MAINT_ITEM:intake gaskets,HAS_LOCATION,"LOC:numbers two , three , and four",23
MAINT_ITEM:intake tube gasket,HAS_LOCATION,LOC:number three,23
MAINT_ITEM:cylinder,HAS_PART,MAINT_ITEM:baffle screw,23
ABN_PROC:overspeed,ISSUE_ON_ITEM,MAINT_ITEM:engine,23
ACTION:repair,ACTION_ON_ITEM,MAINT_ITEM:engine,22
ACTION:replaced,ACTION_ON_ITEM,MAINT_ITEM:rivets,22
MAINT_ITEM:cylinder,HAS_LOCATION,LOC:above,22
MAINT_ITEM:intake gasket,HAS_LOCATION,LOC:left-hand,22
ABN_PROC:roughness,ISSUE_ON_ITEM,MAINT_ITEM:engine,22
ACTION:replaced,ACTION_ADDRESSES_ISSUE,FAULT:sheared,21
ACTION:removed,ACTION_ON_ITEM,MAINT_ITEM:baffle plug,21
ACTION:removed,ACTION_ON_ITEM,MAINT_ITEM:rivets,21
MAINT_ITEM:baffle,HAS_LOCATION,LOC:front,21
MAINT_ITEM:rocker covers,HAS_LOCATION,LOC:number two and number three,21
MAINT_ITEM:cylinder,HAS_PART,MAINT_ITEM:cylinder,21
FAULT:missing,ISSUE_ON_ITEM,MAINT_ITEM:baffle plug,21
FAULT:no compression,ISSUE_ON_ITEM,MAINT_ITEM:cylinder,21
ACTION:installed,ACTION_ON_ITEM,MAINT_ITEM:plug,20
ACTION:operations,ACTION_ON_ITEM,MAINT_ITEM:aircraft,20
ACTION:removed,ACTION_ON_ITEM,MAINT_ITEM:rocker cover,20
ACTION:tightened,ACTION_ON_ITEM,MAINT_ITEM:hose clamps,20
MAINT_ITEM:baffle screw,HAS_LOCATION,LOC:right-hand,20
MAINT_ITEM:rocker cover gaskets,HAS_LOCATION,LOC:number three and number four,20
MAINT_ITEM:rocker covers,HAS_LOCATION,LOC:number three and number four,20
MAINT_ITEM:engine,HAS_PART,MAINT_ITEM:baffle plugs,20
MAINT_ITEM:engine,HAS_PART,MAINT_ITEM:baffle tie rod,20
MAINT_ITEM:engine,HAS_PART,MAINT_ITEM:oil cooler,20
MAINT_ITEM:engine,HAS_PART,MAINT_ITEM:seal,20
FAULT:crack,ISSUE_ON_ITEM,MAINT_ITEM:baffling,20
FAULT:loose,ISSUE_ON_ITEM,MAINT_ITEM:rocker cover screws,20
FAULT:loose,ISSUE_ON_ITEM,MAINT_ITEM:screw,20
FAULT:missing,ISSUE_ON_ITEM,MAINT_ITEM:hardware,20
ACTION:leak check,ACTION_INVESTIGATES_ISSUE,FAULT:low,19
ACTION:installed,ACTION_ON_ITEM,MAINT_ITEM:baffle plug,19
ACTION:installed,ACTION_ON_ITEM,MAINT_ITEM:hardware,19
MAINT_ITEM:baffle,HAS_LOCATION,LOC:side,19
MAINT_ITEM:baffle seal,HAS_LOCATION,LOC:left-hand,19
MAINT_ITEM:intake gaskets,HAS_LOCATION,"LOC:numbers two , three and four",19
MAINT_ITEM:rocker cover,HAS_PART,MAINT_ITEM:screw,19
FAULT:loose,ISSUE_ON_ITEM,MAINT_ITEM:hose clamps,19
ACTION:cleaned,ACTION_ON_ITEM,MAINT_ITEM:engine,18
ACTION:installed,ACTION_ON_ITEM,MAINT_ITEM:gaskets,18
ACTION:operations,ACTION_ON_ITEM,MAINT_ITEM:cylinder,18
ACTION:removed,ACTION_ON_ITEM,MAINT_ITEM:bolt,18
ACTION:checks,ACTION_RESULTS_IN_OUTCOME,OUTCOME:good,18
ACTION:installed,ACTION_USES_ITEM,MAINT_ITEM:rtv,18
MAINT_ITEM:baffle seal,HAS_LOCATION,LOC:number two,18
MAINT_ITEM:cylinder,HAS_LOCATION,"LOC:numbers two , three and four",18
MAINT_ITEM:engine,HAS_LOCATION,LOC:aft,18
MAINT_ITEM:engine,HAS_PART,MAINT_ITEM:baffling,18
MAINT_ITEM:engine,HAS_PART,MAINT_ITEM:bolt,18
MAINT_ITEM:engine,HAS_PART,MAINT_ITEM:rivets,18
ABN_PROC:leaks,ISSUE_ON_ITEM,MAINT_ITEM:rocker cover gasket,18
ABN_PROC:rough,ISSUE_ON_ITEM,MAINT_ITEM:engine,18
ACTION:reattached,ACTION_ADDRESSES_ISSUE,FAULT:loose,17
ACTION:adjusted,ACTION_ON_ITEM,MAINT_ITEM:engine,17
ACTION:cleaned,ACTION_ON_ITEM,MAINT_ITEM:sniffler valves,17
ACTION:installed,ACTION_ON_ITEM,MAINT_ITEM:cylinder,17
ACTION:installed,ACTION_ON_ITEM,MAINT_ITEM:cylinder assembly,17
ACTION:installed,ACTION_ON_ITEM,MAINT_ITEM:rivets,17
ACTION:installed,ACTION_ON_ITEM,MAINT_ITEM:rocker box cover gasket,17
ACTION:replaced,ACTION_ON_ITEM,MAINT_ITEM:plug,17
ACTION:tightened,ACTION_ON_ITEM,MAINT_ITEM:clamps,17
FAULT:cracked,ISSUE_ON_ITEM,MAINT_ITEM:baffling,17
ABN_PROC:leaking,ISSUE_ON_ITEM,MAINT_ITEM:cylinder,17
ABN_PROC:rough running,ISSUE_ON_ITEM,MAINT_ITEM:engine,17
ACTION:installed,ACTION_ADDRESSES_ISSUE,FAULT:sheared,16
ACTION:staked,ACTION_ADDRESSES_ISSUE,FAULT:low,16
ACTION:changed,ACTION_ON_ITEM,MAINT_ITEM:cylinder,16
ACTION:fabricated,ACTION_ON_ITEM,MAINT_ITEM:baffle,16
ACTION:fabricated,ACTION_ON_ITEM,MAINT_ITEM:like material,16
ACTION:installed,ACTION_ON_ITEM,MAINT_ITEM:seal,16
ACTION:ran up,ACTION_ON_ITEM,MAINT_ITEM:engine,16
ACTION:removed,ACTION_ON_ITEM,MAINT_ITEM:rocker covers,16
ACTION:replaced,ACTION_ON_ITEM,MAINT_ITEM:rivet,16
ACTION:stop drilled,ACTION_ON_ITEM,MAINT_ITEM:baffling,16
MAINT_ITEM:baffle plug,HAS_LOCATION,LOC:left-hand,16
MAINT_ITEM:cylinder,HAS_LOCATION,LOC:number 3,16
MAINT_ITEM:intake gasket,HAS_LOCATION,LOC:right-hand,16
MAINT_ITEM:intake tube gasket,HAS_LOCATION,LOC:number two,16
MAINT_ITEM:intakes,HAS_LOCATION,LOC:two and four,16
MAINT_ITEM:magneto,HAS_LOCATION,LOC:left-hand,16
MAINT_ITEM:rocker covers,HAS_LOCATION,LOC:number one and number three,16
MAINT_ITEM:induction tube,HAS_PART,MAINT_ITEM:hose clamps,16
FAULT:broken,ISSUE_ON_ITEM,MAINT_ITEM:baffle tie rod,16
FAULT:failed,ISSUE_ON_ITEM,MAINT_ITEM:exhaust valve,16
ABN_PROC:running rough,ISSUE_ON_ITEM,MAINT_ITEM:engine,16
TECH_OBS:idle,OBSERVATION_OF_ITEM,MAINT_ITEM:engine,16
ACTION:applied,ACTION_ADDRESSES_ISSUE,FAULT:worn,15
ACTION:ran,ACTION_INVESTIGATES_ISSUE,FAULT:low,15
ACTION:installed,ACTION_ON_ITEM,MAINT_ITEM:baffle plugs,15
ACTION:installed,ACTION_ON_ITEM,MAINT_ITEM:screws,15
ACTION:removed,ACTION_ON_ITEM,MAINT_ITEM:baffling,15
ACTION:removed,ACTION_ON_ITEM,MAINT_ITEM:intake,15
ACTION:removed,ACTION_ON_ITEM,MAINT_ITEM:oil cooler,15
ACTION:removed,ACTION_ON_ITEM,MAINT_ITEM:rocker gaskets,15
ACTION:replaced,ACTION_ON_ITEM,MAINT_ITEM:cylinder assembly,15
ACTION:replaced,ACTION_ON_ITEM,MAINT_ITEM:rocker gasket,15
ACTION:run up,ACTION_ON_ITEM,MAINT_ITEM:engine,15
MAINT_ITEM:baffle bracket,HAS_LOCATION,LOC:aft,15
MAINT_ITEM:baffle screw,HAS_LOCATION,LOC:aft,15
MAINT_ITEM:induction tube gasket,HAS_LOCATION,LOC:number four,15
MAINT_ITEM:seal,HAS_LOCATION,LOC:forward,15
MAINT_ITEM:cylinder,HAS_PART,MAINT_ITEM:rivets,15
MAINT_ITEM:engine,HAS_PART,MAINT_ITEM:rocker gaskets,15
FAULT:broken,ISSUE_ON_ITEM,MAINT_ITEM:baffle plug,15
FAULT:broken,ISSUE_ON_ITEM,MAINT_ITEM:baffle spring,15
FAULT:damaged,ISSUE_ON_ITEM,MAINT_ITEM:baffle plugs,15
ABN_PROC:leaking,ISSUE_ON_ITEM,MAINT_ITEM:rocker box cover gasket,15
FAULT:missing,ISSUE_ON_ITEM,MAINT_ITEM:bolt,15
ABN_PROC:overspeed,ISSUE_ON_ITEM,MAINT_ITEM:propeller,15
ABN_PROC:vibration,ISSUE_ON_ITEM,MAINT_ITEM:engine,15
ACTION:cleaned,ACTION_ADDRESSES_ISSUE,ABN_PROC:leaks,14
ACTION:inspected,ACTION_ON_ITEM,MAINT_ITEM:engine,14
ACTION:installed,ACTION_ON_ITEM,MAINT_ITEM:baffle seal,14
ACTION:installed,ACTION_ON_ITEM,MAINT_ITEM:rocker box cover gaskets,14
ACTION:operations,ACTION_ON_ITEM,MAINT_ITEM:engine,14
ACTION:operations check,ACTION_ON_ITEM,MAINT_ITEM:aircraft,14
ACTION:operations check,ACTION_ON_ITEM,MAINT_ITEM:engine,14
ACTION:reinstalled,ACTION_ON_ITEM,MAINT_ITEM:baffle,14
ACTION:removed,ACTION_ON_ITEM,MAINT_ITEM:baffle seal,14
ACTION:removed,ACTION_ON_ITEM,MAINT_ITEM:bracket,14
ACTION:removed,ACTION_ON_ITEM,MAINT_ITEM:cylinder assembly,14
ACTION:replaced,ACTION_ON_ITEM,MAINT_ITEM:bracket,14
ACTION:replaced,ACTION_ON_ITEM,MAINT_ITEM:rocker cover,14
MAINT_ITEM:baffle,HAS_LOCATION,LOC:number two,14
MAINT_ITEM:baffle,HAS_LOCATION,LOC:right-hand side,14
MAINT_ITEM:baffle seal,HAS_LOCATION,LOC:front,14
MAINT_ITEM:engine,HAS_LOCATION,LOC:lower,14
MAINT_ITEM:engine,HAS_LOCATION,LOC:right-hand side,14
MAINT_ITEM:intake gaskets,HAS_LOCATION,LOC:right-hand,14
MAINT_ITEM:rocker gasket,HAS_LOCATION,LOC:number four,14
MAINT_ITEM:baffle,HAS_PART,MAINT_ITEM:hardware,14
MAINT_ITEM:baffle bracket,HAS_PART,MAINT_ITEM:rivets,14
MAINT_ITEM:cylinder,HAS_PART,MAINT_ITEM:intakes,14
MAINT_ITEM:cylinder,HAS_PART,MAINT_ITEM:oil return line,14
MAINT_ITEM:cylinder,HAS_PART,MAINT_ITEM:rivet,14
MAINT_ITEM:cylinders,HAS_PART,MAINT_ITEM:hose clamps,14
MAINT_ITEM:engine,HAS_PART,MAINT_ITEM:baffle plug,14
FAULT:sheared,ISSUE_ON_ITEM,MAINT_ITEM:rivet,14
FAULT:worn,ISSUE_ON_ITEM,MAINT_ITEM:baffle plug,14
FAULT:worn,ISSUE_ON_ITEM,MAINT_ITEM:seal,14
ACTION:inspection,ACTION_ON_ITEM,MAINT_ITEM:engine,13
ACTION:installed,ACTION_ON_ITEM,MAINT_ITEM:bolt,13
ACTION:installed,ACTION_ON_ITEM,MAINT_ITEM:intake gaskets,13
ACTION:removed,ACTION_ON_ITEM,MAINT_ITEM:baffles,13
ACTION:removed,ACTION_ON_ITEM,MAINT_ITEM:exhaust,13
ACTION:removed,ACTION_ON_ITEM,MAINT_ITEM:fod,13
ACTION:removed,ACTION_ON_ITEM,MAINT_ITEM:piston,13
ACTION:removed,ACTION_ON_ITEM,MAINT_ITEM:rivet,13
ACTION:riveted,ACTION_ON_ITEM,MAINT_ITEM:patch,13
MAINT_ITEM:baffle,HAS_LOCATION,LOC:above,13
MAINT_ITEM:cylinder,HAS_LOCATION,"LOC:numbers two , three , and four",13
MAINT_ITEM:engine,HAS_LOCATION,LOC:left-hand side,13
MAINT_ITEM:induction tube gasket,HAS_LOCATION,LOC:number three,13
MAINT_ITEM:baffle,HAS_PART,MAINT_ITEM:rivet,13
MAINT_ITEM:engine,HAS_PART,MAINT_ITEM:intake tube gasket,13
FAULT:cracks,ISSUE_ON_ITEM,MAINT_ITEM:baffle,13
FAULT:dirty,ISSUE_ON_ITEM,MAINT_ITEM:sniffler valves,13
FAULT:worn,ISSUE_ON_ITEM,MAINT_ITEM:baffle seal,13
TECH_OBS:rpm,OBSERVATION_OF_ITEM,MAINT_ITEM:engine,13
ACTION:installed,ACTION_ADDRESSES_ISSUE,FAULT:crack,12
ACTION:installed,ACTION_ADDRESSES_ISSUE,FAULT:failed,12
ACTION:installed,ACTION_ADDRESSES_ISSUE,FAULT:low,12
ACTION:cleaned,ACTION_ON_ITEM,MAINT_ITEM:gasket,12
ACTION:installed,ACTION_ON_ITEM,MAINT_ITEM:engine,12
ACTION:installed,ACTION_ON_ITEM,MAINT_ITEM:rivet,12
ACTION:removed,ACTION_ON_ITEM,MAINT_ITEM:cowling,12
ACTION:removed,ACTION_ON_ITEM,MAINT_ITEM:rocker gasket,12
ACTION:start assist,ACTION_ON_ITEM,MAINT_ITEM:aircraft,12
ACTION:operations checked,ACTION_RESULTS_IN_OUTCOME,OUTCOME:good,12
MAINT_ITEM:baffle screw,HAS_LOCATION,LOC:number three,12
MAINT_ITEM:baffle seal,HAS_LOCATION,LOC:above,12
